id,r,g,b,hex,per
0,168,43,43,#a82b2b,0.04040404040404041
1,237,239,232,#edefe8,0.052525252525252523
2,144,137,117,#908975,0.05454545454545454
3,233,193,24,#e9c118,0.08282828282828283
4,42,82,89,#2a5259,0.022222222222222223
5,211,198,160,#d3c6a0,0.03434343434343434
6,23,111,187,#176fbb,0.028282828282828285
7,62,45,30,#3e2d1e,0.052525252525252523
8,199,137,33,#c78921,0.050505050505050504
9,85,90,70,#555a46,0.04040404040404041
10,83,141,193,#538dc1,0.030303030303030304
11,99,59,31,#633b1f,0.0707070707070707
12,17,49,106,#11316a,0.03636363636363636
13,236,211,102,#ecd366,0.026262626262626262
14,167,184,188,#a7b8bc,0.03636363636363636
15,222,224,213,#dee0d5,0.05656565656565657
16,30,76,152,#1e4c98,0.044444444444444446
17,136,27,18,#881b12,0.03838383838383838
18,32,181,208,#20b5d0,0.01818181818181818
19,174,167,141,#aea78d,0.044444444444444446
20,198,30,24,#c61e18,0.030303030303030304
21,31,146,46,#1f922e,0.010101010101010102
22,163,113,26,#a3711a,0.05858585858585859
23,120,118,91,#78765b,0.04040404040404041
