r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
62,43,35,2,4074275,17.77777777777777,0.4354838709677419,0.24313725490196078
65,45,38,3,4271398,15.555555555555543,0.41538461538461535,0.2549019607843137
76,77,73,4,5000521,74.99999999999994,0.05194805194805195,0.30196078431372547
116,111,110,5,7630702,10.0,0.05172413793103442,0.4549019607843137
39,38,44,6,2565676,250.00000000000003,0.13636363636363635,0.17254901960784313
50,25,48,7,3283248,304.8,0.5,0.19607843137254902
48,27,44,8,3152684,311.42857142857144,0.4375,0.18823529411764706
83,74,76,9,5458508,346.6666666666667,0.10843373493975898,0.3254901960784314
113,101,94,10,7431518,22.10526315789474,0.16814159292035388,0.44313725490196076
109,93,83,11,7167315,23.076923076923094,0.23853211009174305,0.42745098039215684
102,86,85,12,6706773,3.5294117647059124,0.16666666666666677,0.4
68,46,44,13,4468268,5.0,0.35294117647058826,0.26666666666666666
113,100,90,14,7431258,26.086956521739125,0.20353982300884946,0.44313725490196076
0,0,0,15,0,0,0,0.0
62,57,64,16,4077888,282.85714285714283,0.10937499999999994,0.25098039215686274
83,81,81,17,5460305,0.0,0.02409638554216876,0.3254901960784314
73,66,70,18,4801094,325.71428571428567,0.09589041095890397,0.28627450980392155
99,87,82,19,6510418,17.64705882352939,0.17171717171717168,0.38823529411764707
17,11,21,20,1116949,276.0,0.47619047619047616,0.08235294117647059
16,16,23,21,1052695,240.0,0.30434782608695654,0.09019607843137255
26,33,30,22,1712414,154.28571428571428,0.2121212121212122,0.12941176470588237
56,50,47,23,3682863,20.0,0.16071428571428564,0.2196078431372549
56,54,42,24,3683882,51.428571428571445,0.25,0.2196078431372549
74,68,61,25,4867133,32.307692307692264,0.1756756756756757,0.2901960784313726
83,71,64,26,5457728,22.10526315789474,0.22891566265060245,0.3254901960784314
101,90,68,27,6642244,40.0,0.3267326732673267,0.396078431372549
82,67,63,28,5391167,12.631578947368439,0.23170731707317074,0.3215686274509804
96,90,87,29,6314583,20.000000000000057,0.09374999999999996,0.3764705882352941
34,31,30,30,2236190,15.0,0.11764705882352941,0.13333333333333333
58,54,51,31,3814963,25.714285714285722,0.12068965517241373,0.22745098039215686
64,54,44,32,4208172,30.0,0.3125,0.25098039215686274
49,42,40,33,3222056,13.333333333333314,0.18367346938775517,0.19215686274509805
63,57,55,34,4143415,15.0,0.12698412698412698,0.24705882352941178
79,68,67,35,5194819,5.0,0.1518987341772152,0.30980392156862746
73,62,57,36,4800057,18.75,0.21917808219178073,0.28627450980392155
79,68,67,37,5194819,5.0,0.1518987341772152,0.30980392156862746
73,66,66,38,4801090,0.0,0.09589041095890397,0.28627450980392155
76,66,61,39,4997693,20.0,0.19736842105263153,0.2980392156862745
66,58,51,40,4340275,28.0,0.2272727272727273,0.25882352941176473
68,69,64,41,4474176,71.99999999999997,0.07246376811594198,0.27058823529411763
56,50,51,42,3682867,349.99999999999994,0.10714285714285714,0.2196078431372549
71,72,70,43,4671558,90.0,0.02777777777777768,0.2823529411764706
50,43,46,44,3287854,334.2857142857143,0.13999999999999993,0.19607843137254902
88,70,64,45,5785152,15.0,0.2727272727272727,0.34509803921568627
92,69,62,46,6047038,14.0,0.32608695652173914,0.3607843137254902
73,59,53,47,4799285,18.0,0.27397260273972596,0.28627450980392155
