r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
80,76,80,2,5262416,300.0,0.05,0.3137254901960784
65,65,91,3,4276571,240.0,0.28571428571428575,0.3568627450980392
15,23,30,4,988958,208.0,0.5,0.11764705882352941
27,33,41,5,1777961,214.28571428571428,0.3414634146341464,0.1607843137254902
10,15,17,6,659217,197.14285714285714,0.4117647058823529,0.06666666666666667
48,41,39,7,3156263,13.333333333333314,0.18749999999999992,0.18823529411764706
67,67,64,8,4408128,60.0,0.04477611940298513,0.2627450980392157
63,64,71,9,4145223,232.50000000000003,0.11267605633802816,0.2784313725490196
80,80,83,10,5263443,240.0,0.03614457831325305,0.3254901960784314
66,65,63,11,4342079,39.99999999999983,0.045454545454545504,0.25882352941176473
72,61,55,12,4734263,21.176470588235304,0.23611111111111105,0.2823529411764706
75,65,64,13,4931904,5.454545454545439,0.1466666666666667,0.29411764705882354
69,50,51,14,4534835,356.84210526315786,0.27536231884057966,0.27058823529411763
80,67,68,15,5260100,355.3846153846154,0.16249999999999995,0.3137254901960784
56,57,50,16,3684658,68.5714285714286,0.1228070175438597,0.2235294117647059
37,38,35,17,2434595,79.99999999999996,0.07894736842105254,0.14901960784313725
77,77,65,18,5066049,60.0,0.15584415584415584,0.30196078431372547
92,84,60,19,6050876,45.0,0.34782608695652173,0.3607843137254902
67,66,47,20,4407855,57.0,0.29850746268656714,0.2627450980392157
61,63,57,21,4013881,80.0,0.09523809523809523,0.24705882352941178
67,78,61,22,4410941,98.82352941176471,0.21794871794871798,0.3058823529411765
53,81,52,23,3494196,117.93103448275862,0.35802469135802467,0.3176470588235294
47,57,44,24,3094828,106.15384615384615,0.22807017543859653,0.2235294117647059
81,81,56,25,5329208,60.0,0.30864197530864196,0.3176470588235294
61,79,56,26,4017976,106.95652173913042,0.29113924050632917,0.30980392156862746
121,113,86,27,7958870,46.28571428571428,0.28925619834710736,0.4745098039215686
58,71,48,28,3819312,93.91304347826087,0.323943661971831,0.2784313725490196
69,63,48,29,4538160,42.85714285714289,0.3043478260869565,0.27058823529411763
123,104,74,30,8087626,36.734693877551024,0.39837398373983735,0.4823529411764706
131,128,83,31,8618067,56.25,0.36641221374045796,0.5137254901960784
36,41,41,32,2369833,180.0,0.1219512195121952,0.1607843137254902
34,33,39,33,2236711,249.99999999999997,0.15384615384615383,0.15294117647058825
34,39,58,34,2238266,227.5,0.41379310344827586,0.22745098039215686
38,42,60,35,2501180,229.0909090909091,0.36666666666666664,0.23529411764705882
36,42,62,36,2370110,226.15384615384616,0.41935483870967744,0.24313725490196078
41,56,77,37,2701389,215.0,0.46753246753246747,0.30196078431372547
20,36,53,38,1319989,210.9090909090909,0.6226415094339622,0.20784313725490197
131,78,43,39,8605227,23.863636363636374,0.6717557251908396,0.5137254901960784
22,20,20,40,1446932,0.0,0.09090909090909091,0.08627450980392157
52,54,69,41,3421765,232.94117647058823,0.24637681159420285,0.27058823529411763
32,32,41,42,2105385,240.0,0.21951219512195128,0.1607843137254902
64,53,64,43,4207936,300.0,0.17187499999999994,0.25098039215686274
72,68,87,44,4736087,252.6315789473684,0.2183908045977012,0.3411764705882353
79,74,95,45,5196383,254.28571428571428,0.22105263157894733,0.37254901960784315
82,79,88,46,5394264,260.00000000000006,0.10227272727272724,0.34509803921568627
