r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
72,73,69,2,4737349,74.99999999999994,0.05479452054794521,0.28627450980392155
82,48,48,3,5386288,0.0,0.41463414634146345,0.3215686274509804
64,51,43,4,4207403,22.85714285714289,0.32812499999999994,0.25098039215686274
146,147,138,5,9606026,66.66666666666664,0.061224489795918345,0.5764705882352941
42,35,49,6,2761521,270.0,0.2857142857142857,0.19215686274509805
101,104,119,7,6645879,230.0,0.15126050420168072,0.4666666666666667
105,88,95,8,6903903,335.2941176470588,0.16190476190476188,0.4117647058823529
123,101,100,9,8086884,2.6086956521738784,0.1869918699186992,0.4823529411764706
82,73,71,10,5392711,10.909090909090878,0.13414634146341467,0.3215686274509804
111,92,92,11,7298140,0.0,0.1711711711711712,0.43529411764705883
134,124,121,12,8813689,13.846153846153868,0.0970149253731344,0.5254901960784314
83,73,93,13,5458269,270.0,0.21505376344086022,0.36470588235294116
96,96,87,14,6316119,60.0,0.09374999999999996,0.3764705882352941
107,90,75,15,7035467,28.125,0.29906542056074764,0.4196078431372549
86,83,89,16,5657433,270.00000000000006,0.06741573033707858,0.34901960784313724
78,97,96,17,5136736,176.84210526315792,0.1958762886597937,0.3803921568627451
86,76,76,18,5655628,0.0,0.11627906976744193,0.33725490196078434
119,102,105,19,7825001,349.4117647058824,0.14285714285714282,0.4666666666666667
105,102,95,20,6907487,42.00000000000006,0.09523809523809518,0.4117647058823529
23,33,48,21,1515824,216.0,0.5208333333333334,0.18823529411764706
76,75,93,22,5000029,243.33333333333331,0.19354838709677413,0.36470588235294116
122,105,117,23,8022389,317.64705882352945,0.13934426229508204,0.47843137254901963
79,79,83,24,5197651,240.0,0.048192771084337345,0.3254901960784314
69,74,85,25,4541013,221.24999999999997,0.18823529411764706,0.3333333333333333
89,94,106,26,5856874,222.35294117647055,0.16037735849056614,0.41568627450980394
56,57,49,27,3684657,67.50000000000003,0.14035087719298245,0.2235294117647059
128,112,102,28,8417382,23.076923076923094,0.20312499999999994,0.5019607843137255
94,81,74,29,6181194,20.999999999999943,0.21276595744680848,0.3686274509803922
122,110,110,30,8023662,0.0,0.09836065573770492,0.47843137254901963
116,111,112,31,7630704,348.00000000000006,0.04310344827586204,0.4549019607843137
114,106,100,32,7498340,25.714285714285722,0.1228070175438597,0.4470588235294118
133,155,182,33,8756150,213.06122448979593,0.2692307692307692,0.7137254901960784
102,86,80,34,6706768,16.363636363636374,0.215686274509804,0.4
151,137,116,35,9931124,36.0,0.2317880794701987,0.592156862745098
116,113,108,36,7631212,37.5,0.06896551724137931,0.4549019607843137
68,70,82,37,4474450,231.4285714285714,0.17073170731707324,0.3215686274509804
101,106,110,38,6646382,206.66666666666663,0.08181818181818191,0.43137254901960786
108,92,95,39,7101535,348.75,0.14814814814814814,0.4235294117647059
103,110,115,40,6778483,205.0,0.10434782608695652,0.45098039215686275
73,89,100,41,4807012,204.44444444444446,0.27,0.39215686274509803
126,115,120,42,8287096,332.72727272727275,0.08730158730158732,0.49411764705882355
126,113,121,43,8286585,323.0769230769231,0.10317460317460325,0.49411764705882355
106,83,106,44,6968170,300.0,0.2169811320754717,0.41568627450980394
114,110,119,45,7499383,266.6666666666667,0.0756302521008403,0.4666666666666667
54,44,68,46,3550276,265.0,0.35294117647058826,0.26666666666666666
