r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
49,58,34,2,3226146,82.5,0.41379310344827586,0.22745098039215686
24,46,30,3,1584670,136.36363636363637,0.4782608695652174,0.1803921568627451
30,40,101,4,1976421,231.54929577464787,0.702970297029703,0.396078431372549
79,83,57,5,5198649,69.23076923076923,0.3132530120481928,0.3254901960784314
135,111,92,6,8875868,26.51162790697674,0.31851851851851853,0.5294117647058824
67,77,98,7,4410722,220.6451612903226,0.3163265306122449,0.3843137254901961
74,86,130,8,4871810,227.14285714285714,0.4307692307692307,0.5098039215686274
55,43,48,9,3615536,335.0,0.21818181818181817,0.21568627450980393
98,64,72,10,6438984,345.88235294117646,0.34693877551020413,0.3843137254901961
70,43,47,11,4598575,351.1111111111111,0.38571428571428573,0.27450980392156865
83,39,60,12,5449532,331.3636363636364,0.5301204819277108,0.3254901960784314
100,83,82,13,6574930,3.3333333333333144,0.17999999999999994,0.39215686274509803
48,1,95,14,3146079,270.0,0.9894736842105264,0.37254901960784315
20,26,19,15,1317395,111.42857142857143,0.2692307692307692,0.10196078431372549
62,58,60,16,4078140,330.0,0.06451612903225806,0.24313725490196078
75,56,56,17,4929592,0.0,0.25333333333333335,0.29411764705882354
71,82,76,18,4674124,147.27272727272725,0.13414634146341467,0.3215686274509804
89,56,53,19,5847093,5.0,0.40449438202247184,0.34901960784313724
89,60,52,20,5848116,12.972972972972968,0.41573033707865165,0.34901960784313724
34,40,54,21,2238518,222.0,0.37037037037037035,0.21176470588235294
31,37,36,22,2041124,169.99999999999997,0.16216216216216225,0.1450980392156863
29,23,20,23,1906452,20.0,0.3103448275862069,0.11372549019607843
57,43,47,24,3746607,342.85714285714283,0.24561403508771928,0.2235294117647059
72,42,35,25,4729379,11.351351351351354,0.5138888888888888,0.2823529411764706
73,57,64,26,4798784,333.75,0.21917808219178073,0.28627450980392155
53,51,51,27,3486515,0.0,0.03773584905660377,0.20784313725490197
78,45,56,28,5123384,340.0,0.4230769230769231,0.3058823529411765
69,57,54,29,4536630,12.0,0.21739130434782605,0.27058823529411763
70,47,61,30,4599613,323.47826086956525,0.32857142857142857,0.27450980392156865
25,26,37,31,1645093,235.0,0.3243243243243244,0.1450980392156863
111,127,130,32,7307138,189.4736842105263,0.14615384615384608,0.5098039215686274
51,62,45,33,3358253,98.8235294117647,0.2741935483870967,0.24313725490196078
51,63,42,34,3358506,94.28571428571428,0.33333333333333337,0.24705882352941178
54,46,56,35,3550776,288.0,0.17857142857142858,0.2196078431372549
43,56,40,36,2832424,108.74999999999999,0.2857142857142857,0.2196078431372549
37,39,34,37,2434850,83.99999999999997,0.12820512820512828,0.15294117647058825
106,68,47,38,6964271,21.35593220338984,0.5566037735849056,0.41568627450980394
81,60,50,39,5323826,19.354838709677438,0.38271604938271603,0.3176470588235294
84,51,41,40,5518121,13.953488372093034,0.5119047619047619,0.32941176470588235
62,40,28,41,4073500,21.176470588235304,0.5483870967741935,0.24313725490196078
70,44,31,42,4598815,20.0,0.5571428571428572,0.27450980392156865
92,45,48,43,6040880,356.17021276595744,0.5108695652173912,0.3607843137254902
98,52,54,44,6435894,357.39130434782606,0.46938775510204084,0.3843137254901961
88,50,53,45,5780021,355.2631578947368,0.4318181818181818,0.34509803921568627
