r,g,b,x,y,h,s,v
4,4,4,0,263172,0,0.0,0.01568627450980392
4,4,4,1,263172,0,0.0,0.01568627450980392
0,0,0,2,0,0,0,0.0
71,112,112,3,4681840,180.0,0.36607142857142855,0.4392156862745098
135,123,117,4,8878965,20.0,0.1333333333333334,0.5294117647058824
107,110,98,5,7040610,75.00000000000003,0.10909090909090909,0.43137254901960786
149,124,101,6,9796709,28.75,0.3221476510067115,0.5843137254901961
142,132,116,7,9340020,36.92307692307696,0.1830985915492958,0.5568627450980392
131,142,123,8,8621691,94.73684210526321,0.13380281690140847,0.5568627450980392
172,166,154,9,11314842,40.0,0.10465116279069779,0.6745098039215687
144,124,120,10,9469048,10.0,0.16666666666666666,0.5647058823529412
97,89,81,11,6379857,30.0,0.16494845360824742,0.3803921568627451
49,39,29,12,3221277,30.0,0.4081632653061225,0.19215686274509805
104,83,69,13,6837061,24.0,0.33653846153846156,0.40784313725490196
106,86,75,14,6968907,21.29032258064518,0.29245283018867924,0.41568627450980394
102,84,71,15,6706247,25.161290322580612,0.303921568627451,0.4
132,113,99,16,8679779,25.45454545454544,0.25000000000000006,0.5176470588235295
96,82,73,17,6312521,23.478260869565247,0.23958333333333337,0.3764705882352941
81,66,57,18,5325369,22.5,0.2962962962962962,0.3176470588235294
84,66,55,19,5521975,22.758620689655174,0.3452380952380952,0.32941176470588235
119,95,80,20,7823184,23.076923076923094,0.3277310924369748,0.4666666666666667
62,53,48,21,4076848,21.428571428571445,0.22580645161290322,0.24313725490196078
86,63,52,22,5652276,19.411764705882376,0.39534883720930236,0.33725490196078434
89,65,54,23,5849398,18.857142857142833,0.3932584269662921,0.34901960784313724
47,39,34,24,3090210,23.076923076923094,0.27659574468085113,0.1843137254901961
53,41,34,25,3483938,22.10526315789474,0.3584905660377359,0.20784313725490197
68,50,41,26,4469289,20.0,0.3970588235294117,0.26666666666666666
63,44,30,27,4140062,25.45454545454544,0.5238095238095238,0.24705882352941178
51,35,29,28,3351325,16.363636363636374,0.43137254901960786,0.2
64,45,32,29,4205856,24.375,0.5,0.25098039215686274
22,17,14,30,1446158,22.5,0.36363636363636365,0.08627450980392157
55,34,22,31,3613206,21.818181818181813,0.6,0.21568627450980393
