r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
38,58,111,2,2505327,223.56164383561645,0.6576576576576576,0.43529411764705883
114,120,119,3,7501943,170.00000000000003,0.04999999999999994,0.47058823529411764
95,100,100,4,6251620,180.0,0.04999999999999996,0.39215686274509803
127,127,118,5,8355702,60.0,0.07086614173228344,0.4980392156862745
14,51,77,6,930637,204.76190476190476,0.8181818181818181,0.30196078431372547
10,38,69,7,665157,211.52542372881356,0.855072463768116,0.27058823529411763
22,36,64,8,1451072,220.0,0.65625,0.25098039215686274
49,62,57,9,3227193,156.92307692307693,0.20967741935483866,0.24313725490196078
43,69,73,10,2835785,188.0,0.41095890410958896,0.28627450980392155
113,126,121,11,7437945,156.9230769230769,0.10317460317460325,0.49411764705882355
49,54,68,12,3225156,224.21052631578948,0.2794117647058823,0.26666666666666666
33,30,31,13,2170399,340.0,0.09090909090909101,0.12941176470588237
26,28,27,14,1711131,150.0,0.07142857142857142,0.10980392156862745
9,20,18,15,594962,169.0909090909091,0.55,0.0784313725490196
10,36,33,16,664609,173.0769230769231,0.7222222222222222,0.1411764705882353
40,57,74,17,2636106,210.0,0.4594594594594595,0.2901960784313726
27,39,39,18,1779495,180.0,0.30769230769230776,0.15294117647058825
99,152,165,19,6527141,191.8181818181818,0.4,0.6470588235294118
135,136,118,20,8882294,63.33333333333332,0.13235294117647053,0.5333333333333333
156,155,159,21,10263455,255.0000000000003,0.025157232704402604,0.6235294117647059
149,165,173,22,9807277,200.0,0.13872832369942195,0.6784313725490196
43,44,9,23,2829321,61.71428571428571,0.7954545454545455,0.17254901960784313
33,37,48,24,2172208,224.0,0.31249999999999994,0.18823529411764706
4,4,8,25,263176,240.0,0.5,0.03137254901960784
50,62,62,26,3292734,180.0,0.1935483870967742,0.24313725490196078
94,95,94,27,6184798,120.0,0.010526315789473646,0.37254901960784315
59,36,43,28,3875883,341.7391304347826,0.3898305084745763,0.23137254901960785
68,72,69,29,4474949,134.99999999999994,0.05555555555555555,0.2823529411764706
43,56,71,30,2832455,212.14285714285717,0.39436619718309857,0.2784313725490196
18,36,54,31,1188918,210.0,0.6666666666666666,0.21176470588235294
32,43,66,32,2108226,220.58823529411765,0.5151515151515152,0.25882352941176473
44,40,56,33,2893880,255.0,0.2857142857142857,0.2196078431372549
31,31,44,34,2039596,240.0,0.29545454545454547,0.17254901960784313
28,58,91,35,1849947,211.42857142857144,0.6923076923076923,0.3568627450980392
46,41,61,36,3025213,255.0,0.32786885245901637,0.23921568627450981
24,37,66,37,1582402,221.42857142857142,0.6363636363636364,0.25882352941176473
38,59,79,38,2505551,209.2682926829268,0.5189873417721519,0.30980392156862746
20,44,58,39,1322042,202.10526315789474,0.6551724137931034,0.22745098039215686
41,59,77,40,2702157,210.0,0.46753246753246747,0.30196078431372547
46,63,114,41,3030898,225.0,0.5964912280701755,0.4470588235294118
79,42,31,42,5188127,13.75,0.6075949367088608,0.30980392156862746
72,50,31,43,4731423,27.804878048780495,0.5694444444444444,0.2823529411764706
66,71,79,44,4343631,216.92307692307693,0.16455696202531642,0.30980392156862746
20,33,44,45,1319212,207.5,0.5454545454545454,0.17254901960784313
33,30,26,46,2170394,34.28571428571428,0.2121212121212122,0.12941176470588237
