r,g,b,x,y,h,s,v
4,4,2,0,263170,60.0,0.5,0.01568627450980392
4,4,2,1,263170,60.0,0.5,0.01568627450980392
46,62,177,2,3030705,232.67175572519085,0.7401129943502824,0.6941176470588235
4,7,11,3,263947,214.28571428571428,0.6363636363636364,0.043137254901960784
63,53,69,4,4142405,277.5,0.2318840579710144,0.27058823529411763
41,83,96,5,2708320,194.1818181818182,0.5729166666666666,0.3764705882352941
23,16,26,6,1511450,282.0,0.38461538461538464,0.10196078431372549
15,20,27,7,988187,215.0,0.4444444444444444,0.10588235294117647
168,119,79,8,11040591,26.966292134831463,0.5297619047619048,0.6588235294117647
146,89,72,9,9591112,13.783783783783804,0.5068493150684932,0.5725490196078431
80,51,49,10,5255985,3.8709677419354875,0.38749999999999996,0.3137254901960784
136,79,62,11,8933182,13.783783783783804,0.5441176470588235,0.5333333333333333
126,86,69,12,8279621,17.89473684210526,0.45238095238095244,0.49411764705882355
178,122,97,13,11696737,18.518518518518533,0.4550561797752809,0.6980392156862745
143,103,69,14,9398085,27.56756756756755,0.5174825174825175,0.5607843137254902
114,82,70,15,7492166,16.363636363636374,0.38596491228070173,0.4470588235294118
156,87,63,16,10245951,15.48387096774195,0.5961538461538461,0.611764705882353
146,109,91,17,9596251,19.636363636363626,0.37671232876712324,0.5725490196078431
129,103,94,18,8480606,15.428571428571445,0.27131782945736427,0.5058823529411764
80,44,29,19,5254173,17.64705882352939,0.6375000000000001,0.3137254901960784
66,44,26,20,4336666,27.0,0.6060606060606061,0.25882352941176473
122,85,79,21,8017231,8.372093023255786,0.3524590163934426,0.47843137254901963
104,60,49,22,6831153,12.0,0.5288461538461539,0.40784313725490196
101,58,48,23,6634032,11.320754716981128,0.5247524752475248,0.396078431372549
96,79,57,24,6311737,33.84615384615387,0.40624999999999994,0.3764705882352941
58,38,27,25,3810843,21.29032258064518,0.5344827586206896,0.22745098039215686
84,59,43,26,5520171,23.414634146341484,0.488095238095238,0.32941176470588235
75,50,42,27,4928042,14.545454545454561,0.44,0.29411764705882354
19,29,44,28,1252652,216.0,0.5681818181818182,0.17254901960784313
13,19,34,29,856866,222.85714285714286,0.6176470588235294,0.13333333333333333
20,22,33,30,1316385,230.76923076923077,0.393939393939394,0.12941176470588237
18,18,22,31,1184278,240.0,0.18181818181818182,0.08627450980392157
41,32,40,32,2695208,306.6666666666667,0.21951219512195128,0.1607843137254902
57,28,24,33,3742744,7.272727272727252,0.5789473684210527,0.2235294117647059
25,33,47,34,1646895,218.1818181818182,0.4680851063829788,0.1843137254901961
33,18,30,35,2167326,312.0,0.4545454545454546,0.12941176470588237
26,14,34,36,1707554,276.0,0.5882352941176471,0.13333333333333333
118,120,69,37,7764037,62.35294117647058,0.42500000000000004,0.47058823529411764
138,83,66,38,9065282,14.166666666666686,0.5217391304347825,0.5411764705882353
128,87,67,39,8410947,19.672131147540995,0.4765625,0.5019607843137255
121,92,28,40,7953436,41.29032258064518,0.768595041322314,0.4745098039215686
140,109,88,41,9203032,24.230769230769226,0.3714285714285715,0.5490196078431373
190,143,141,42,12488589,2.4489795918367463,0.25789473684210523,0.7450980392156863
180,121,96,43,11827552,17.857142857142833,0.46666666666666673,0.7058823529411765
30,36,57,44,1975353,226.66666666666666,0.4736842105263158,0.2235294117647059
96,59,68,45,6306628,345.4054054054054,0.38541666666666663,0.3764705882352941
53,38,63,46,3483199,276.0,0.39682539682539686,0.24705882352941178
20,31,34,47,1318690,192.85714285714286,0.4117647058823529,0.13333333333333333
25,21,27,48,1643803,280.0,0.2222222222222222,0.10588235294117647
28,26,43,49,1841707,247.05882352941177,0.39534883720930236,0.16862745098039217
