r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
20,32,65,2,1318977,224.0,0.6923076923076923,0.2549019607843137
134,45,15,3,8793359,15.126050420168099,0.8880597014925373,0.5254901960784314
17,6,27,4,1115675,271.42857142857144,0.7777777777777778,0.10588235294117647
45,44,122,5,2960506,240.76923076923077,0.639344262295082,0.47843137254901963
38,34,92,6,2499164,244.13793103448276,0.6304347826086957,0.3607843137254902
33,38,105,7,2172521,235.83333333333334,0.6857142857142857,0.4117647058823529
29,11,121,8,1903481,249.8181818181818,0.9090909090909091,0.4745098039215686
14,3,113,9,918385,246.0,0.9734513274336283,0.44313725490196076
18,4,45,10,1180717,260.4878048780488,0.9111111111111111,0.17647058823529413
97,32,62,11,6365246,332.3076923076923,0.6701030927835051,0.3803921568627451
78,11,60,12,5114684,316.11940298507466,0.8589743589743589,0.3058823529411765
65,50,140,13,4272780,250.0,0.6428571428571429,0.5490196078431373
19,1,77,14,1245517,254.21052631578948,0.987012987012987,0.30196078431372547
134,91,121,15,8805241,318.13953488372096,0.3208955223880597,0.5254901960784314
178,96,59,16,11690043,18.655462184873954,0.6685393258426966,0.6980392156862745
66,64,138,17,4341898,241.6216216216216,0.536231884057971,0.5411764705882353
98,79,125,18,6442877,264.7826086956522,0.36799999999999994,0.49019607843137253
113,20,13,19,7410701,4.199999999999989,0.8849557522123894,0.44313725490196076
89,38,41,20,5842473,356.4705882352941,0.5730337078651685,0.34901960784313724
111,19,40,21,7279400,346.30434782608694,0.8288288288288288,0.43529411764705883
84,21,24,22,5510424,357.14285714285717,0.75,0.32941176470588235
133,49,41,23,8728873,5.217391304347814,0.6917293233082707,0.5215686274509804
131,42,27,24,8595995,8.653846153846132,0.7938931297709924,0.5137254901960784
9,25,71,25,596295,224.51612903225805,0.8732394366197184,0.2784313725490196
91,42,33,26,5974561,9.31034482758622,0.6373626373626373,0.3568627450980392
90,65,32,27,5914912,34.13793103448273,0.6444444444444445,0.35294117647058826
85,77,57,28,5590329,42.85714285714283,0.3294117647058823,0.3333333333333333
174,109,61,29,11431229,25.48672566371681,0.6494252873563218,0.6823529411764706
129,53,39,30,8467751,9.333333333333314,0.6976744186046512,0.5058823529411764
158,71,39,31,10372903,16.134453781512605,0.7531645569620253,0.6196078431372549
118,45,26,32,7744794,12.391304347826065,0.7796610169491526,0.4627450980392157
112,40,30,33,7350302,7.317073170731703,0.7321428571428571,0.4392156862745098
13,26,52,34,858676,220.0,0.7500000000000001,0.20392156862745098
40,37,92,35,2631004,243.27272727272728,0.5978260869565217,0.3607843137254902
185,101,41,36,12150057,25.0,0.7783783783783784,0.7254901960784313
132,36,34,37,8660002,1.2244897959183731,0.7424242424242425,0.5176470588235295
126,31,30,38,8265502,0.625,0.7619047619047619,0.49411764705882355
116,34,34,39,7610914,0.0,0.7068965517241379,0.4549019607843137
162,76,56,40,10636344,11.320754716981128,0.654320987654321,0.6352941176470588
112,18,17,41,7344657,0.631578947368439,0.8482142857142857,0.4392156862745098
101,12,27,42,6622235,349.8876404494382,0.8811881188118812,0.396078431372549
149,13,79,43,9768271,330.88235294117646,0.9127516778523489,0.5843137254901961
89,23,30,44,5838622,353.6363636363636,0.7415730337078651,0.34901960784313724
84,14,46,45,5508654,332.57142857142856,0.8333333333333334,0.32941176470588235
