r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
33,36,106,2,2172010,237.53424657534248,0.6886792452830188,0.41568627450980394
194,92,34,3,12737570,21.75,0.8247422680412372,0.7607843137254902
87,129,120,4,5734776,167.14285714285714,0.3255813953488372,0.5058823529411764
154,87,73,5,10114889,10.370370370370381,0.525974025974026,0.6039215686274509
150,115,95,6,9859935,21.818181818181813,0.3666666666666667,0.5882352941176471
118,66,37,7,7750181,21.481481481481467,0.6864406779661016,0.4627450980392157
145,88,47,8,9525295,25.102040816326507,0.6758620689655173,0.5686274509803921
88,83,69,9,5788485,44.21052631578948,0.21590909090909094,0.34509803921568627
114,107,94,10,7498590,39.0,0.17543859649122806,0.4470588235294118
84,40,42,11,5515306,357.27272727272725,0.5238095238095238,0.32941176470588235
107,50,51,12,7025203,358.9473684210526,0.5327102803738318,0.4196078431372549
79,36,37,13,5186597,358.6046511627907,0.5443037974683544,0.30980392156862746
91,105,101,14,5990757,162.85714285714286,0.13333333333333328,0.4117647058823529
61,44,40,15,4009000,11.428571428571445,0.34426229508196726,0.23921568627450981
25,45,60,16,1649980,205.71428571428572,0.5833333333333334,0.23529411764705882
28,41,81,17,1845585,225.2830188679245,0.654320987654321,0.3176470588235294
48,29,30,18,3153182,356.8421052631579,0.3958333333333333,0.18823529411764706
75,71,129,19,4933505,244.13793103448276,0.44961240310077516,0.5058823529411764
114,123,130,20,7502722,206.25,0.12307692307692297,0.5098039215686274
97,124,99,21,6388835,124.44444444444446,0.217741935483871,0.48627450980392156
82,158,176,22,5414576,191.48936170212767,0.5340909090909091,0.6901960784313725
93,128,117,23,6127733,161.14285714285714,0.2734375,0.5019607843137255
121,128,131,24,7962755,197.99999999999994,0.07633587786259537,0.5137254901960784
80,60,68,25,5258308,336.0,0.25,0.3137254901960784
85,92,100,26,5594212,212.0,0.15000000000000002,0.39215686274509803
61,59,71,27,4012871,250.0,0.16901408450704225,0.2784313725490196
112,129,138,28,7373194,200.76923076923077,0.18840579710144922,0.5411764705882353
130,114,105,29,8548969,21.600000000000023,0.1923076923076923,0.5098039215686274
120,126,105,30,7896681,77.14285714285715,0.16666666666666674,0.49411764705882355
101,117,113,31,6649201,165.0,0.13675213675213677,0.4588235294117647
144,44,24,32,9448472,10.0,0.8333333333333334,0.5647058823529412
46,101,75,33,3040587,151.63636363636363,0.5445544554455445,0.396078431372549
189,153,59,34,12425531,43.38461538461536,0.6878306878306878,0.7411764705882353
129,115,163,35,8483747,257.5,0.2944785276073619,0.6392156862745098
116,120,141,36,7633037,230.4,0.17730496453900715,0.5529411764705883
170,124,120,37,11172984,4.800000000000011,0.2941176470588235,0.6666666666666666
73,62,67,38,4800067,332.7272727272727,0.15068493150684928,0.28627450980392155
91,60,69,39,5979205,342.5806451612903,0.34065934065934067,0.3568627450980392
91,68,76,40,5981260,339.1304347826087,0.2527472527472528,0.3568627450980392
104,68,65,41,6833217,4.615384615384642,0.37500000000000006,0.40784313725490196
69,58,65,42,4536897,321.8181818181818,0.15942028985507242,0.27058823529411763
78,1,9,43,5112073,353.76623376623377,0.9871794871794872,0.3058823529411765
34,14,35,44,2231843,297.1428571428571,0.6000000000000001,0.13725490196078433
32,19,28,45,2102044,318.46153846153845,0.40625,0.12549019607843137
