r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
32,43,93,2,2108253,229.18032786885246,0.6559139784946236,0.36470588235294116
133,98,65,3,8741441,29.117647058823536,0.5112781954887219,0.5215686274509804
103,62,49,4,6766129,14.444444444444457,0.5242718446601942,0.403921568627451
123,118,107,5,8091243,41.25,0.13008130081300812,0.4823529411764706
109,82,58,6,7164474,28.235294117647072,0.4678899082568807,0.42745098039215684
123,98,76,7,8086092,28.085106382978722,0.3821138211382114,0.4823529411764706
141,114,98,8,9269858,22.32558139534882,0.3049645390070922,0.5529411764705883
128,126,117,9,8420981,49.09090909090912,0.08593750000000003,0.5019607843137255
110,75,55,10,7228215,21.818181818181813,0.5,0.43137254901960786
114,86,73,11,7493193,19.024390243902474,0.3596491228070176,0.4470588235294118
109,71,55,12,7161655,17.77777777777777,0.4954128440366972,0.42745098039215684
108,61,45,13,7093549,15.23809523809524,0.5833333333333333,0.4235294117647059
93,44,36,14,6106148,8.42105263157896,0.6129032258064516,0.36470588235294116
129,115,92,15,8483676,37.29729729729729,0.28682170542635654,0.5058823529411764
100,68,47,16,6571055,23.773584905660357,0.5299999999999999,0.39215686274509803
86,65,43,17,5652779,30.697674418604663,0.5,0.33725490196078434
129,116,92,18,8483932,38.918918918918905,0.28682170542635654,0.5058823529411764
167,162,124,19,10986108,53.02325581395348,0.2574850299401198,0.6549019607843137
125,111,98,20,8220514,28.888888888888914,0.21599999999999991,0.49019607843137253
79,65,54,21,5194038,26.399999999999977,0.31645569620253167,0.30980392156862746
134,99,75,22,8807243,24.40677966101697,0.44029850746268656,0.5254901960784314
125,107,81,23,8219473,35.45454545454544,0.35200000000000004,0.49019607843137253
83,72,47,24,5457967,41.66666666666663,0.43373493975903615,0.3254901960784314
114,80,54,25,7491638,26.0,0.5263157894736843,0.4470588235294118
97,81,71,26,6377799,23.076923076923094,0.268041237113402,0.3803921568627451
176,118,76,27,11564620,25.19999999999999,0.5681818181818182,0.6901960784313725
94,70,43,28,6178347,31.764705882352928,0.5425531914893617,0.3686274509803922
139,105,92,29,9136476,16.595744680851055,0.33812949640287765,0.5450980392156862
137,110,100,30,9006692,16.216216216216253,0.27007299270072993,0.5372549019607843
125,75,42,31,8211242,23.85542168674698,0.6639999999999999,0.49019607843137253
115,108,95,32,7564383,39.0,0.17391304347826086,0.45098039215686275
144,129,94,33,9470302,42.0,0.34722222222222215,0.5647058823529412
122,110,95,34,8023647,33.333333333333314,0.2213114754098361,0.47843137254901963
118,97,78,35,7758158,28.5,0.3389830508474576,0.4627450980392157
142,122,97,36,9337441,33.33333333333337,0.3169014084507043,0.5568627450980392
107,87,74,37,7034698,23.636363636363626,0.308411214953271,0.4196078431372549
97,99,95,38,6382431,90.00000000000011,0.0404040404040404,0.38823529411764707
115,88,72,39,7559240,22.32558139534882,0.3739130434782609,0.45098039215686275
115,132,131,40,7570563,176.47058823529403,0.12878787878787887,0.5176470588235295
113,89,80,41,7428432,16.363636363636374,0.29203539823008845,0.44313725490196076
113,79,80,42,7425872,358.2352941176471,0.30088495575221236,0.44313725490196076
93,66,44,43,6111788,26.938775510204096,0.5268817204301075,0.36470588235294116
140,96,62,44,9199678,26.153846153846132,0.5571428571428572,0.5490196078431373
