r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
16,27,53,2,1055541
14,40,71,3,927815
36,104,138,4,2386058
38,27,96,5,2497376
20,3,41,6,1311529
81,131,135,7,5342087
39,60,63,8,2571327
20,70,110,9,1328750
29,67,97,10,1917793
23,51,86,11,1520470
22,52,86,12,1455190
18,45,118,13,1191286
5,87,78,14,350030
11,41,92,15,731484
11,39,92,16,730972
12,52,93,17,799837
22,74,121,18,1460857
8,36,55,19,533559
2,42,45,20,141869
7,56,77,21,473165
10,60,78,22,670798
26,82,110,23,1725038
31,112,138,24,2060426
26,28,112,25,1711216
38,72,81,26,2508881
13,55,86,27,866134
6,51,87,28,406359
46,70,88,29,3032664
47,72,86,30,3098710
1,33,39,31,74023
90,87,88,32,5920600
19,28,39,33,1252391
29,43,86,34,1911638
64,59,120,35,4209528
66,57,122,36,4340090
66,67,96,37,4342624
79,82,108,38,5198444
61,78,120,39,4017784
73,80,110,40,4804718
75,93,102,41,4939110
50,53,64,42,3290432
93,90,109,43,6117997
99,80,90,44,6508634
90,83,122,45,5919610
88,96,104,46,5791848
96,94,111,47,6315631
92,117,123,48,6059387
81,102,105,49,5334633
70,83,94,50,4608862
96,118,115,51,6321779
141,95,75,52,9264971
80,89,100,53,5265764
97,74,91,54,6376027
91,73,95,55,5982559
72,70,109,56,4736621
77,64,107,57,5062763
78,68,99,58,5129315
83,50,79,59,5452367
46,67,82,60,3031890
65,60,88,61,4275288
38,16,40,62,2494504
31,14,22,63,2035222
30,12,9,64,1969161
70,38,46,65,4597294
40,23,29,66,2627357
47,30,42,67,3087914
60,12,13,68,3935245
33,3,11,69,2163467
1,2,34,70,66082
4,3,15,71,262927
2,46,51,72,142899
47,26,37,73,3086885
63,52,43,74,4142123
58,15,30,75,3804958
58,8,13,76,3803149
1,1,1,77,65793
19,37,58,78,1254714
106,112,77,79,6975565
72,136,111,80,4753519
77,121,98,81,5077346
136,120,66,82,8943682
29,48,62,83,1912894
30,52,67,84,1979459
25,43,59,85,1649467
14,11,15,86,920335
23,16,16,87,1511440
34,37,45,88,2237741
39,30,38,89,2563622
82,63,39,90,5390119
95,83,62,91,6247230
80,60,32,92,5258272
49,35,27,93,3220251
35,37,85,94,2303317
73,80,90,95,4804698
52,36,43,96,3417131
32,24,28,97,2103324
28,21,36,98,1840420
24,20,32,99,1578016
61,60,58,100,4013114
73,76,64,101,4803648
24,16,48,102,1577008
65,42,41,103,4270633
68,44,41,104,4467753
9,34,60,105,598588
17,46,73,106,1125961
94,98,69,107,6185541
89,60,74,108,5848138
118,69,28,109,7750940
143,117,65,110,9401665
33,42,60,111,2173500
25,32,48,112,1646640
6,75,115,113,412531
112,71,46,114,7358254
107,65,49,115,7029041
62,39,23,116,4073239
99,62,28,117,6503964
84,73,46,118,5523758
101,75,59,119,6638395
17,42,74,120,1124938
30,45,57,121,1977657
3,21,34,122,202018
43,69,60,123,2835772
39,41,37,124,2566437
14,15,12,125,921356
35,22,20,126,2299412
46,35,31,127,3023647
117,16,2,128,7671810
97,94,86,129,6381142
37,42,39,130,2435623
58,68,67,131,3818563
30,39,38,132,1976102
35,42,42,133,2304554
46,49,49,134,3027249
63,75,78,135,4148046
83,75,23,136,5458711
83,89,73,137,5462345
77,111,83,138,5074771
11,40,68,139,731204
10,24,40,140,661544
15,43,63,141,994111
23,40,34,142,1517602
40,45,53,143,2633013
45,29,36,144,2956580
30,19,6,145,1970950
16,37,14,146,1058062
