r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
136,91,102,2,8936294
49,44,54,3,3222582
107,101,102,4,7038310
140,164,156,5,9217180
26,38,54,6,1713718
101,99,106,7,6644586
53,49,38,8,3485990
49,46,42,9,3223082
44,38,36,10,2893348
47,38,39,11,3089959
48,42,42,12,3156522
43,36,34,13,2827298
130,108,56,14,8547384
39,28,18,15,2563090
100,81,63,16,6574399
143,131,123,17,9405307
62,54,35,18,4077091
75,73,46,19,4933934
61,49,36,20,4010276
61,44,34,21,4008994
38,61,54,22,2506038
29,39,41,23,1910569
24,38,70,24,1582662
19,23,47,25,1251119
20,35,68,26,1319748
58,65,46,27,3817774
46,45,33,28,3026209
49,59,52,29,3226420
56,63,60,30,3686204
123,120,116,31,8091764
84,84,73,32,5526601
114,121,127,33,7502207
101,96,98,34,6643810
71,100,72,35,4678728
92,85,64,36,6051136
107,88,68,37,7034948
109,111,104,38,7171944
105,76,53,39,6900789
107,90,70,40,7035462
85,68,54,41,5588022
33,54,101,42,2176613
27,30,61,43,1777213
34,32,52,44,2236468
34,27,47,45,2235183
35,38,65,46,2303553
61,100,57,47,4023353
51,62,56,48,3358264
59,69,66,49,3884354
42,50,94,50,2765406
37,42,39,51,2435623
33,54,33,52,2176545
33,30,28,53,2170396
39,42,29,54,2566685
41,39,28,55,2696988
57,60,46,56,3750958
84,62,46,57,5520942
48,45,26,58,3157274
60,61,49,59,3947825
64,51,42,60,4207402
50,47,32,61,3288864
56,44,32,62,3681312
75,64,33,63,4931617
104,100,49,64,6841393
74,57,29,65,4864285
85,69,34,66,5588258
69,74,37,67,4540965
106,77,47,68,6966575
91,75,39,69,5983015
81,79,43,70,5328683
55,68,51,71,3621939
37,48,35,72,2437155
43,66,62,73,2835006
53,66,67,74,3490371
65,71,79,75,4278095
43,51,62,76,2831166
58,65,76,77,3817804
65,59,62,78,4275006
69,61,64,79,4537664
52,55,67,80,3422019
68,59,63,81,4471615
64,66,59,82,4211259
32,50,25,83,2109977
100,92,57,84,6577209
96,84,61,85,6313021
101,96,63,86,6643775
121,102,58,87,7956026
122,95,67,88,8019779
109,94,62,89,7167550
115,89,59,90,7559483
139,102,58,91,9135674
113,100,58,92,7431226
124,101,55,93,8152375
122,95,60,94,8019772
75,45,32,95,4926752
50,42,25,96,3287577
99,87,54,97,6510390
105,94,68,98,6905412
110,79,52,99,7229236
108,80,53,100,7098421
111,84,50,101,7296050
130,112,93,102,8548445
16,55,111,103,1062767
105,70,42,104,6899242
101,78,45,105,6639149
25,34,85,106,1647189
115,95,61,107,7561021
208,141,66,108,13667650
76,63,55,109,4996919
83,82,57,110,5460537
113,77,58,111,7425338
113,85,56,112,7427384
113,88,55,113,7428151
114,89,58,114,7493946
60,76,50,115,3951666
67,68,51,116,4408371
50,58,33,117,3291681
78,63,40,118,5127976
72,61,37,119,4734245
74,66,39,120,4866599
62,54,39,121,4077095
63,56,34,122,4143138
80,62,38,123,5258790
75,56,37,124,4929573
35,36,28,125,2303004
52,38,27,126,3417627
41,47,43,127,2699051
15,29,53,128,990517
25,26,58,129,1645114
26,28,58,130,1711162
22,24,42,131,1447978
21,23,66,132,1382210
22,21,39,133,1447207
52,71,74,134,3426122
53,48,52,135,3485748
91,102,105,136,5989993
102,117,122,137,6714746
108,91,88,138,7101272
107,109,116,139,7040372
59,69,57,140,3884345
107,127,139,141,7045003
25,36,44,142,1647660
21,29,37,143,1383717
101,76,80,144,6638672
23,25,54,145,1513782
70,8,18,146,4589586
24,24,60,147,1579068
16,24,54,148,1054774
15,20,47,149,988207
23,24,44,150,1513516
30,30,56,151,1973816
22,29,66,152,1449282
22,22,49,153,1447473
27,29,76,154,1776972
25,21,55,155,1643831
27,28,69,156,1776709
17,26,64,157,1120832
25,24,66,158,1644610
22,28,68,159,1449028
121,125,140,160,7961996
144,111,85,161,9465685
148,159,178,162,9740210
140,145,160,163,9212320
96,136,178,164,6326450
89,101,65,165,5858625
8,11,40,166,527144
9,13,41,167,593193
17,23,52,168,1120052
13,18,46,169,856622
13,18,47,170,856623
14,19,48,171,922416
17,23,52,172,1120052
22,28,58,173,1449018
17,22,51,174,1119795
