r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
118,98,61,2,7758397
152,115,87,3,9990999
204,178,148,4,13415060
142,124,72,5,9337928
161,139,111,6,10586991
155,135,99,7,10192739
145,129,99,8,9535843
161,105,38,9,10578214
151,129,98,10,9929058
183,179,207,11,12039119
176,176,154,12,11579546
183,188,166,13,12041382
174,202,197,14,11455173
178,154,111,15,11704943
172,145,78,16,11309390
196,184,168,17,12892328
123,106,76,18,8088140
136,129,118,19,8946038
159,135,99,20,10454883
149,112,97,21,9793633
160,186,206,22,10533582
166,167,172,23,10921900
92,121,168,24,6060456
127,124,138,25,8354954
143,134,134,26,9406086
135,109,77,27,8875341
143,120,109,28,9402477
142,125,101,29,9338213
135,116,90,30,8877146
158,145,104,31,10391912
185,147,106,32,12161898
176,157,113,33,11574641
201,190,174,34,13221550
165,148,87,35,10851415
210,182,156,36,13809308
191,178,164,37,12563108
160,140,108,38,10521708
154,123,97,39,10124129
147,115,86,40,9663318
151,122,96,41,9927264
138,113,86,42,9072982
158,118,85,43,10384981
160,115,83,44,10515283
134,112,92,45,8810588
144,117,94,46,9467230
150,115,87,47,9859927
139,118,94,48,9139806
154,121,87,49,10123607
102,74,55,50,6703671
167,124,90,51,10976346
175,154,86,52,11508310
151,141,98,53,9932130
135,118,81,54,8877649
143,135,79,55,9406287
141,114,90,56,9269850
167,136,77,57,10979405
153,120,98,58,10057826
165,144,126,59,10850430
184,168,148,60,12101780
221,198,174,61,14534318
175,128,81,62,11501649
159,178,186,63,10465978
224,226,229,64,14738149
164,146,99,65,10785379
82,98,114,66,5399154
139,136,156,67,9144476
132,132,154,68,8684698
98,82,93,69,6443613
99,74,72,70,6507080
104,80,84,71,6836308
37,40,84,72,2435156
101,66,46,73,6636078
95,58,51,74,6240819
115,71,55,75,7554871
173,157,146,76,11378066
191,169,166,77,12560806
218,182,108,78,14333548
54,30,9,79,3546633
220,174,45,80,14462509
80,130,163,81,5276323
125,121,106,82,8223082
78,73,70,83,5130566
191,163,154,84,12559258
201,194,209,85,13222609
148,124,129,86,9731201
219,208,224,87,14405856
192,180,203,88,12629195
108,85,47,89,7099695
178,135,73,90,11700041
160,129,93,91,10518877
132,107,90,92,8678234
139,99,59,93,9134907
150,97,49,94,9855281
125,89,50,95,8214834
111,78,50,96,7294514
165,112,68,97,10842180
155,103,64,98,10184512
118,81,47,99,7754031
159,110,60,100,10448444
67,78,126,101,4411006
158,125,94,102,10386782
168,122,80,103,11041360
171,136,96,104,11241568
142,108,74,105,9333834
151,100,62,106,9921598
138,110,52,107,9072180
157,121,87,108,10320215
153,118,82,109,10057298
190,134,76,110,12486220
99,84,84,111,6509652
67,70,105,112,4408937
112,102,129,113,7366273
164,115,132,114,10777476
140,120,131,115,9205891
17,17,40,116,1118504
106,88,95,117,6969439
137,146,176,118,9015984
131,142,177,119,8621745
106,131,184,120,6980536
58,55,90,121,3815258
183,197,220,122,12043740
69,78,135,123,4542087
75,80,105,124,4935785
53,57,98,125,3488098
95,95,145,126,6250385
77,82,118,127,5067382
82,84,127,128,5395583
92,95,145,129,6053777
83,84,118,130,5461110
121,125,163,131,7962019
241,244,253,132,15856893
116,119,153,133,7632793
165,168,180,134,10856628
159,160,178,135,10461362
209,217,233,136,13752809
156,157,178,137,10263986
139,140,152,138,9145496
166,172,196,139,10923204
164,141,153,140,10784153
145,133,127,141,9536895
149,117,74,142,9794890
163,123,102,143,10713958
157,119,92,144,10319708
226,205,140,145,14863756
226,206,141,146,14864013
227,207,141,147,14929805
225,204,139,148,14797963
222,201,137,149,14600585
219,198,135,150,14403207
220,200,136,151,14469256
r,g,b,x,y
r,g,b,x,y
