r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
90,89,111,2,5921135
30,37,77,3,1975629
29,40,80,4,1910864
40,50,83,5,2634323
53,73,91,6,3492187
91,103,94,7,5990238
91,119,98,8,5994338
54,65,80,9,3555664
81,97,93,10,5333341
137,15,29,11,8982301
25,26,49,12,1645105
23,18,36,13,1511972
19,27,57,14,1252153
66,33,57,15,4333881
52,78,120,16,3427960
43,65,111,17,2834799
53,84,89,18,3495001
66,60,82,19,4340818
65,61,84,20,4275540
67,58,59,21,4405819
79,52,27,22,5190683
77,109,127,23,5074303
90,96,73,24,5922889
85,60,41,25,5585961
93,63,52,26,6111028
101,64,45,27,6635565
75,32,27,28,4923419
84,85,75,29,5526859
92,89,84,30,6052180
82,89,84,31,5396820
100,88,79,32,6576207
82,85,86,33,5395798
71,56,57,34,4667449
81,83,84,35,5329748
63,74,66,36,4147778
116,96,74,37,7626826
75,57,48,38,4929840
117,112,99,39,7696483
87,65,65,40,5718337
129,84,76,41,8475724
103,104,108,42,6776940
116,80,70,43,7622726
49,24,42,44,3217450
81,80,84,45,5328980
71,68,62,46,4670526
69,82,87,47,4543063
63,51,67,48,4141891
20,32,48,49,1318960
39,56,80,50,2570320
44,62,70,51,2899526
67,91,75,52,4414283
63,89,91,53,4151643
97,102,95,54,6383199
92,84,81,55,6050897
182,94,102,56,11951718
74,84,86,57,4871254
99,97,99,58,6512995
135,110,95,59,8875615
104,90,92,60,6838876
88,105,91,61,5794139
120,102,90,62,7890522
155,87,77,63,10180429
134,104,93,64,8808541
108,50,35,65,7090723
84,38,43,66,5514795
87,38,44,67,5711404
55,32,44,68,3612716
63,30,37,69,4136485
34,16,41,70,2232361
16,38,85,71,1058389
106,83,78,72,6968142
101,73,85,73,6637909
125,89,87,74,8214871
105,107,98,75,6908770
35,47,78,76,2305870
73,68,80,77,4801616
30,52,63,78,1979455
38,72,90,79,2508890
20,27,48,80,1317680
30,38,70,81,1975878
32,46,82,82,2109010
47,72,93,83,3098717
100,66,78,84,6570574
91,92,109,85,5987437
123,103,83,86,8087379
110,85,70,87,7230790
93,80,85,88,6115413
74,94,101,89,4873829
140,128,136,90,9207944
165,115,111,91,10842991
142,102,86,92,9332310
110,96,92,93,7233628
80,88,100,94,5265508
51,111,146,95,3370898
118,108,97,96,7760993
129,79,78,97,8474446
86,60,73,98,5651529
121,86,82,99,7951954
116,82,99,100,7623267
101,67,92,101,6636380
103,69,91,102,6767963
82,69,70,103,5391686
112,81,110,104,7360878
131,68,72,105,8602696
35,27,48,106,2300720
51,50,56,107,3355192
34,26,54,108,2234934
59,71,88,109,3884888
75,73,81,110,4933969
65,55,59,111,4273979
40,58,101,112,2636389
39,67,113,113,2573169
47,53,85,114,3093845
64,84,99,115,4215907
104,76,84,116,6835284
97,84,88,117,6378584
82,97,96,118,5398880
81,90,98,119,5331554
99,92,101,120,6511717
92,84,95,121,6050911
75,69,84,122,4932948
114,96,102,123,7495782
66,71,84,124,4343636
109,111,118,125,7171958
70,118,82,126,4617810
39,37,55,127,2565431
73,80,77,128,4804685
69,79,78,129,4542286
55,67,82,130,3621714
19,15,42,131,1249066
59,80,70,132,3887174
52,63,57,133,3424057
63,72,66,134,4147266
65,57,65,135,4274497
59,56,58,136,3881018
80,88,95,137,5265503
27,15,42,138,1773354
85,27,51,139,5577523
43,42,80,140,2828880
40,40,59,141,2631739
76,62,94,142,4996702
51,71,58,143,3360570
66,68,75,144,4342859
41,24,50,145,2693170
74,65,117,146,4866421
54,40,67,147,3549251
98,55,78,148,6436686
91,72,78,149,5982286
108,74,76,150,7096908
133,58,52,151,8731188
129,88,97,152,8476769
133,81,91,153,8737115
132,70,75,154,8668747
119,75,65,155,7818049
90,66,77,156,5915213
113,84,96,157,7427168
137,78,71,158,8998471
91,106,133,159,5991045
110,112,114,160,7237746
106,97,106,161,6971754
2,2,2,162,131586
11,11,11,163,723723
10,9,9,164,657673
10,9,9,165,657673
13,12,13,166,855053
7,7,7,167,460551
20,19,20,168,1315604
