r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
15,51,66,2,996162
102,82,119,3,6705783
58,95,124,4,3825532
48,41,46,5,3156270
116,76,142,6,7621774
65,72,126,7,4278398
18,24,70,8,1185862
10,17,49,9,659761
13,14,36,10,855588
100,124,124,11,6585468
158,73,75,12,10373451
176,97,87,13,11559255
141,89,73,14,9263433
76,56,83,15,4995155
84,84,99,16,5526627
100,102,114,17,6579826
113,115,116,18,7435124
117,99,105,19,7693161
86,100,108,20,5661804
69,77,86,21,4541782
109,123,121,22,7175033
76,112,115,23,5009523
109,121,96,24,7174496
89,103,92,25,5859164
39,141,152,26,2592152
61,111,114,27,4026226
77,127,107,28,5078891
60,90,90,29,3955290
77,69,65,30,5064001
93,147,183,31,6132663
33,36,28,32,2171932
129,131,122,33,8487802
57,68,57,34,3753017
95,159,140,35,6266764
41,87,108,36,2709356
38,62,103,37,2506343
39,61,99,38,2571619
40,78,103,39,2641511
2,24,44,40,137260
11,38,67,41,730691
15,33,23,42,991511
21,41,26,43,1386778
16,41,35,44,1059107
18,41,32,45,1190176
26,66,45,46,1720877
24,53,34,47,1586466
34,59,40,48,2243368
22,50,25,49,1454617
9,14,14,50,593422
241,203,124,51,15846268
73,86,104,52,4806248
43,63,45,53,2834221
50,80,67,54,3297347
77,72,73,55,5064777
96,89,124,56,6314364
98,92,130,57,6446210
113,128,121,58,7438457
64,97,70,59,4219206
68,100,70,60,4482118
81,92,93,61,5332061
93,98,106,62,6120042
5,32,28,63,335900
10,53,70,64,668998
10,32,43,65,663595
6,26,42,66,399914
2,2,2,67,131586
8,23,32,68,530208
48,104,132,69,3172484
3,11,13,70,199437
7,20,21,71,463893
35,57,66,72,2308418
22,14,16,73,1445392
33,6,3,74,2164227
32,7,10,75,2098954
45,24,23,76,2955287
36,17,17,77,2363665
61,30,32,78,4005408
45,21,25,79,2954521
34,78,35,80,2248227
30,50,71,81,1978951
50,102,136,82,3303048
90,111,134,83,5926790
26,116,186,84,1733818
34,130,180,85,2261684
25,110,175,86,1666735
34,128,182,87,2261174
71,121,140,88,4684172
55,92,109,89,3628141
70,88,105,90,4610153
38,126,220,91,2522844
115,117,208,92,7566800
129,106,182,93,8481462
147,118,197,94,9664197
41,130,221,95,2720477
189,113,212,96,12415444
88,113,136,97,5796232
85,93,93,98,5594461
88,100,110,99,5792878
40,73,45,100,2640173
36,50,47,101,2372143
74,68,58,102,4867130
72,103,88,103,4745048
49,130,154,104,3244698
54,51,30,105,3552030
15,162,219,106,1024731
36,131,176,107,2393008
28,146,190,108,1872574
23,158,192,109,1547968
21,127,182,110,1408950
37,131,167,111,2458535
46,131,162,112,3048354
42,115,162,113,2782114
55,105,177,114,3631537
82,82,107,115,5395051
132,113,141,116,8679821
69,94,69,117,4546117
51,60,51,118,3357747
126,132,109,119,8291437
140,161,153,120,9216409
107,120,106,121,7043178
89,95,81,122,5857105
26,180,217,123,1750233
50,116,133,124,3306629
20,154,215,125,1350359
17,154,207,126,1153743
12,84,149,127,808085
83,116,177,128,5469361
72,101,186,129,4744634
66,85,172,130,4347308
76,107,196,131,5008324
71,101,193,132,4679105
73,105,193,133,4811201
61,90,153,134,4020889
54,99,23,135,3564311
70,124,32,136,4619296
61,92,23,137,4021271
42,106,160,138,2779808
8,13,8,139,527624
29,40,39,140,1910823
46,51,39,141,3027751
33,21,22,142,2168086
34,21,20,143,2233620
21,33,32,144,1384736
30,23,27,145,1971995
33,25,23,146,2169111
61,95,135,147,4022151
25,35,38,148,1647398
116,104,93,149,7628893
164,144,138,150,10784906
97,107,101,151,6384485
119,140,128,152,7834752
107,121,100,153,7043428
133,137,100,154,8751460
81,85,67,155,5330243
115,122,105,156,7567977
156,181,172,157,10270124
107,70,70,158,7030342
64,91,69,159,4217669
101,126,107,160,6651499
108,132,118,161,7111798
106,116,108,162,6976620
92,87,73,163,6051657
49,85,60,164,3233084
58,65,54,165,3817782
47,82,63,166,3101247
50,92,76,167,3300428
54,87,66,168,3561282
49,75,51,169,3230515
34,72,55,170,2246711
32,58,69,171,2112069
44,84,66,172,2905154
38,63,59,173,2506555
54,53,50,174,3552562
20,38,38,175,1320486
25,36,30,176,1647646
45,57,59,177,2963771
51,65,70,178,3359046
51,76,83,179,3361875
20,23,37,180,1316645
69,69,61,181,4539709
131,118,100,182,8615524
77,85,93,183,5068125
101,111,115,184,6647667
42,139,157,185,2788253
100,117,92,186,6583644
