r,g,b,x,y
1,4,6,0,66566
1,4,6,1,66566
23,34,82,2,1516114
35,24,17,3,2299921
6,5,10,4,394506
22,20,24,5,1446936
16,11,16,6,1051408
54,54,51,7,3552819
37,28,21,8,2432021
57,76,78,9,3755086
42,58,59,10,2767419
27,22,17,11,1775121
71,93,88,12,4676952
17,13,18,13,1117458
25,20,26,14,1643546
14,23,37,15,923429
6,8,17,16,395281
123,96,81,17,8085585
114,89,76,18,7493964
115,112,113,19,7565425
126,118,112,20,8287856
84,66,41,21,5521961
154,104,87,22,10119255
113,121,115,23,7436659
113,81,75,24,7426379
126,82,65,25,8278593
89,46,33,26,5844513
94,53,35,27,6173987
141,131,124,28,9274236
52,43,77,29,3418957
34,28,52,30,2235444
94,48,26,31,6172698
102,49,32,32,6697248
98,61,47,33,6438191
38,31,33,34,2498337
112,47,28,35,7352092
89,32,13,36,5840909
116,87,75,37,7624523
62,50,46,38,4076078
84,58,72,39,5519944
46,28,21,40,3021845
45,28,33,41,2956321
90,71,81,42,5916497
63,43,76,43,4139852
52,42,68,44,3418692
59,49,73,45,3879241
86,64,89,46,5652569
56,59,99,47,3685219
39,34,107,48,2564715
49,52,94,49,3224670
55,31,90,50,3612506
79,46,67,51,5189187
80,59,76,52,5258060
88,58,71,53,5782087
75,51,85,54,4928341
68,58,58,55,4471354
44,43,57,56,2894649
106,92,85,57,6970453
89,87,87,58,5855063
101,86,84,59,6641236
53,46,68,60,3485252
57,45,76,61,3747148
81,45,47,62,5319983
45,39,37,63,2959141
47,30,31,64,3087903
50,32,17,65,3285009
45,39,34,66,2959138
85,94,99,67,5594723
115,109,96,68,7564640
69,56,66,69,4536386
85,69,74,70,5588298
77,80,93,71,5066845
68,49,62,72,4469054
39,23,9,73,2561801
95,98,88,74,6251096
75,92,93,75,4938845
48,56,90,76,3160154
62,11,20,77,4066068
62,52,53,78,4076597
71,63,60,79,4669244
49,29,25,80,3218713
55,39,31,81,3614495
51,29,25,82,3349785
87,62,64,83,5717568
82,54,49,84,5387825
88,52,48,85,5780528
44,37,62,86,2893118
114,98,108,87,7496300
56,53,46,88,3683630
78,61,58,89,5127482
125,118,129,90,8222337
133,127,141,91,8748941
44,36,46,92,2892846
141,113,119,93,9269623
116,92,75,94,7625803
129,125,133,95,8486277
98,79,90,96,6442842
28,125,64,97,1867072
33,81,60,98,2183484
125,102,104,99,8218216
100,83,93,100,6574941
101,87,95,101,6641503
78,60,58,102,5127226
59,29,13,103,3874061
73,55,48,104,4798256
76,65,55,105,4997431
77,61,54,106,5061942
56,42,44,107,3680812
56,43,37,108,3681061
80,82,138,109,5264010
53,53,60,110,3487036
118,129,128,111,7766400
93,57,40,112,6109480
87,43,34,113,5712674
104,51,38,114,6828838
102,52,38,115,6698022
100,62,44,116,6569516
124,122,121,117,8157817
85,113,71,118,5599559
127,117,116,119,8353140
79,86,83,120,5199443
130,140,146,121,8555666
88,90,95,122,5790303
111,94,81,123,7298641
104,84,79,124,6837327
102,102,102,125,6710886
103,87,68,126,6772548
121,88,58,127,7952442
142,106,84,128,9333332
112,107,100,129,7367524
83,98,114,130,5464690
56,45,42,131,3681578
77,58,54,132,5061174
92,60,47,133,6044719
75,69,55,134,4932919
101,122,139,135,6650507
95,80,83,136,6246483
88,70,66,137,5785154
115,74,66,138,7555650
128,96,70,139,8413254
103,91,88,140,6773592
105,75,61,141,6900541
128,100,80,142,8414288
83,60,53,143,5454901
111,87,84,144,7296852
127,93,82,145,8346962
117,103,97,146,7694177
113,105,92,147,7432540
112,94,96,148,7364192
12,20,10,149,791562
33,28,53,150,2169909
50,40,41,151,3287081
65,69,91,152,4277595
94,105,131,153,6187395
77,86,110,154,5068398
106,75,77,155,6966093
108,74,77,156,7096909
89,85,82,157,5854546
75,83,103,158,4936551
58,59,72,159,3816264
32,32,42,160,2105386
82,81,104,161,5394792
142,138,160,162,9341600
79,76,108,163,5196908
96,84,81,164,6313041
83,80,78,165,5460046
94,109,110,166,6188398
82,63,67,167,5390147
104,116,122,168,6845562
132,135,154,169,8685466
139,138,156,170,9144988
94,98,106,171,6185578
124,109,138,172,8154506
101,75,89,173,6638425
88,68,64,174,5784640
74,66,64,175,4866624
73,67,71,176,4801351
84,66,64,177,5521984
93,83,87,178,6116183
104,105,115,179,6842739
71,56,57,180,4667449
66,63,32,181,4341536
138,133,141,182,9078157
124,93,94,183,8150366
114,88,76,184,7493708
114,62,49,185,7487025
97,39,34,186,6367010
139,117,96,187,9139552
138,105,80,188,9070928
123,73,70,189,8079686
142,116,91,190,9335899
129,98,76,191,8479308
111,81,73,192,7295305
137,119,100,193,9008996
157,130,116,194,10322548
120,76,68,195,7883844
118,73,67,196,7752003
144,109,97,197,9465185
153,132,126,198,10060926
58,19,56,199,3806008
156,150,150,200,10262166
120,97,81,201,7889233
156,150,128,202,10262144
100,146,184,203,6591160
144,134,130,204,9471618
111,114,120,205,7303800
118,116,108,206,7763052
125,129,134,207,8225158
121,111,109,208,7958381
125,114,107,209,8221291
69,63,83,210,4538195
43,31,22,211,2826006
