r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
95,6,2,2,6227458
73,56,55,3,4798519
93,34,38,4,6103590
4,1,1,5,262401
121,120,117,6,7960693
153,175,174,7,10071982
142,148,151,8,9344151
30,24,32,9,1972256
67,54,51,10,4404787
95,76,55,11,6245431
135,131,117,12,8881013
128,97,73,13,8413513
136,105,45,14,8939821
78,44,22,15,5123094
90,51,28,16,5911324
124,142,165,17,8162981
98,132,172,18,6456492
112,147,183,19,7377847
106,142,178,20,6983346
210,185,168,21,13810088
128,192,98,22,8437858
95,57,51,23,6240563
144,91,82,24,9460562
107,65,60,25,7029052
103,60,63,26,6765631
57,44,43,27,3746859
25,20,28,28,1643548
126,80,64,29,8278080
164,111,94,30,10776414
154,113,85,31,10121557
169,116,94,32,11105374
152,102,98,33,9987682
146,119,73,34,9598793
23,40,83,35,1517651
36,43,76,36,2370380
49,56,86,37,3225686
27,41,81,38,1780049
41,71,112,39,2705264
2,8,21,40,133141
41,31,58,41,2694970
62,42,63,42,4074047
47,32,26,43,3088410
77,35,42,44,5055274
74,51,87,45,4862807
76,72,52,46,4999220
97,22,10,47,6362634
142,125,121,48,9338233
91,77,62,49,5983550
46,46,45,50,3026477
57,44,33,51,3746849
80,80,70,52,5263430
72,34,30,53,4727326
55,40,64,54,3614784
58,40,59,55,3811387
27,34,67,56,1778243
24,22,49,57,1578545
77,38,36,58,5056036
154,85,52,59,10114356
58,89,95,60,3823967
85,75,83,61,5589843
37,39,27,62,2434843
29,85,56,63,1922360
86,40,35,64,5646371
94,64,57,65,6176825
108,129,164,66,7111076
110,84,79,67,7230543
140,157,168,68,9215400
155,154,148,69,10197652
50,53,82,70,3290450
33,35,78,71,2171726
50,38,67,72,3286595
76,59,76,73,4995916
80,66,91,74,5259867
60,65,68,75,3948868
64,75,26,76,4213530
71,73,29,77,4671773
52,83,54,78,3429174
124,113,129,79,8155521
57,72,89,80,3754073
140,144,131,81,9212035
83,100,62,82,5465150
71,70,36,83,4671012
140,144,134,84,9212038
45,66,106,85,2966122
45,65,106,86,2965866
65,31,44,87,4267820
49,34,51,88,3220019
6,19,52,89,398132
98,62,26,90,6438426
137,84,51,91,8999987
81,58,40,92,5323304
76,83,33,93,5002017
94,87,40,94,6182696
118,117,24,95,7763224
62,50,22,96,4076054
27,36,43,97,1778731
54,75,63,98,3558207
51,65,65,99,3359041
112,74,71,100,7359047
25,31,48,101,1646384
38,39,33,102,2500385
153,78,26,103,10047002
118,71,27,104,7751451
19,43,37,105,1256229
16,50,49,106,1061425
38,44,63,107,2501695
36,40,64,108,2369600
95,98,131,109,6251139
20,24,52,110,1316916
50,67,62,111,3294014
42,63,64,112,2768704
32,60,65,113,2112577
72,92,92,114,4742236
54,124,127,115,3570815
34,47,46,116,2240302
6,46,54,117,405046
18,32,59,118,1187899
22,33,58,119,1450298
214,164,93,120,14066781
146,105,73,121,9595209
145,47,47,122,9514799
52,32,39,123,3416103
42,35,54,124,2761526
31,15,21,125,2035477
82,9,7,126,5376263
100,36,27,127,6562843
73,21,18,128,4789522
40,5,4,129,2622724
47,8,4,130,3082244
132,61,47,131,8666415
68,4,6,132,4457478
101,30,24,133,6626840
26,35,71,134,1712967
28,29,62,135,1842494
38,36,59,136,2499643
139,146,134,137,9147014
124,173,187,138,8170939
126,150,119,139,8296055
90,108,101,140,5925989
119,98,90,141,7823962
2,0,0,142,131072
6,0,0,143,393216
2,0,0,144,131072
13,11,4,145,854788
15,13,4,146,986372
12,10,3,147,788995
13,11,3,148,854787
14,12,4,149,920580
12,10,3,150,788995
