r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
9,9,9,2,592137
36,18,31,3,2363935
27,12,20,4,1772564
33,16,29,5,2166813
48,36,32,6,3154976
101,74,48,7,6638128
105,73,48,8,6900016
133,112,95,9,8745055
135,105,78,10,8874318
121,92,119,11,7953527
137,70,75,12,8996427
30,38,81,13,1975889
39,30,27,14,2563611
20,19,31,15,1315615
26,23,28,16,1709852
16,17,31,17,1052959
9,11,21,18,592661
23,20,29,19,1512477
26,17,14,20,1708302
63,41,40,21,4139304
43,43,43,22,2829099
60,60,60,23,3947580
113,113,113,24,7434609
107,101,82,25,7038290
119,127,135,26,7831431
102,109,118,27,6712694
96,104,115,28,6318195
88,63,48,29,5783344
106,90,76,30,6969932
116,104,99,31,7628899
120,100,95,32,7890015
57,57,45,33,3750189
107,114,129,34,7041665
76,77,81,35,5000529
74,55,38,36,4863782
108,81,62,37,7098686
55,42,33,38,3615265
52,39,28,39,3417884
46,33,23,40,3023127
67,47,32,41,4402976
73,53,36,42,4797732
12,13,18,43,789778
8,10,18,44,526866
10,9,12,45,657676
73,31,25,46,4792089
82,54,36,47,5387812
125,117,107,48,8222059
89,83,82,49,5854034
7,8,12,50,460812
54,38,32,51,3548704
28,21,17,52,1840401
51,42,35,53,3353123
35,27,22,54,2300694
100,110,118,55,6581878
141,147,159,56,9278367
109,114,127,57,7172735
122,115,119,58,8024951
186,177,180,59,12235188
149,154,166,60,9804454
77,86,84,61,5068372
88,86,88,62,5789272
74,75,76,63,4868940
14,10,8,64,920072
27,28,33,65,1776673
29,31,35,66,1908515
85,113,138,67,5599626
74,49,30,68,4862238
79,63,50,69,5193522
65,48,38,70,4272166
135,140,144,71,8883344
26,54,55,72,1717815
48,53,61,73,3159357
33,44,26,74,2173978
48,65,51,75,3162419
31,38,45,76,2041389
36,46,40,77,2371112
14,12,13,78,920589
83,25,8,79,5445896
185,147,77,80,12161869
13,7,8,81,853768
56,20,6,82,3675142
68,36,27,83,4465691
176,185,185,84,11581881
123,104,69,85,8087621
148,92,61,86,9722941
74,46,41,87,4861481
104,120,124,88,6846588
112,125,146,89,7372178
137,135,139,90,9013131
126,124,129,91,8289409
138,135,141,92,9078669
105,118,139,93,6911627
69,55,49,94,4536113
39,32,34,95,2564130
122,148,139,96,8033419
45,23,24,97,2955032
111,125,139,98,7306635
37,30,23,99,2432535
96,98,74,100,6316618
35,21,15,101,2299151
66,80,52,102,4345908
129,130,119,103,8487543
68,65,54,104,4473142
86,80,62,105,5656638
134,129,133,106,8814981
8,9,14,107,526606
12,14,23,108,790039
85,95,93,109,5594973
69,67,67,110,4539203
26,24,30,111,1710110
86,89,116,112,5658996
106,109,139,113,6974859
44,48,60,114,2895932
14,23,43,115,923435
6,9,20,116,395540
40,41,48,117,2631984
9,12,20,118,592916
68,72,83,119,4474963
98,23,8,120,6428424
226,147,30,121,14848798
85,75,67,122,5589827
89,98,95,123,5857887
18,24,41,124,1185833
148,173,170,125,9743786
127,126,128,126,8355456
70,74,87,127,4606551
55,57,64,128,3619136
94,61,52,129,6176052
103,81,66,130,6771010
86,71,59,131,5654331
119,129,141,132,7831949
12,17,25,133,790809
55,65,69,134,3621189
45,70,82,135,2967122
87,67,62,136,5718846
82,72,56,137,5392440
74,58,62,138,4864574
34,32,30,139,2236446
130,103,98,140,8546146
81,58,51,141,5323315
30,22,29,142,1971741
129,89,92,143,8477020
51,70,75,144,3360331
51,79,88,145,3362648
104,68,71,146,6833223
13,18,34,147,856610
23,28,45,148,1514541
32,8,4,149,2099204
43,20,12,150,2823180
12,12,22,151,789526
14,11,19,152,920339
34,36,42,153,2237482
1,5,10,154,66826
2,8,26,155,133146
82,93,105,156,5397865
36,44,62,157,2370622
47,34,38,158,3088934
45,34,41,159,2957865
46,21,10,160,3020042
23,8,3,161,1509379
14,5,2,162,918786
32,11,4,163,2099972
76,7,6,164,4982534
37,42,30,165,2435614
21,22,24,166,1381912
45,38,42,167,2958890
51,36,39,168,3351591
29,37,23,169,1910039
36,48,29,170,2371613
34,41,26,171,2238746
139,143,152,172,9146264
34,47,29,173,2240285
90,117,115,174,5928307
10,10,10,175,657930
42,47,25,176,2764569
114,101,81,177,7497041
82,59,43,178,5389099
83,63,51,179,5455667
72,85,68,180,4740420
52,41,48,181,3418416
73,68,66,182,4801602
43,54,62,183,2831934
25,29,38,184,1645862
97,87,90,185,6379354
30,23,25,186,1971993
67,76,87,187,4410455
52,59,71,188,3423047
72,72,75,189,4737099
104,104,112,190,6842480
84,83,94,191,5526366
114,108,116,192,7498868
61,58,60,193,4012604
68,47,54,194,4468534
95,72,82,195,6244434
62,50,60,196,4076092
81,45,49,197,5319985
78,75,82,198,5131090
171,136,89,199,11241561
25,23,27,200,1644315
88,86,88,201,5789272
92,86,83,202,6051411
76,55,51,203,4994867
80,71,78,204,5261134
58,42,31,205,3811871
60,36,31,206,3941407
91,75,61,207,5983037
48,74,81,208,3164753
39,19,22,209,2560790
31,19,21,210,2036501
88,44,21,211,5778453
47,17,22,212,3084566
105,88,65,213,6903873
148,141,140,214,9735564
92,89,83,215,6052179
147,149,154,216,9672090
35,1,1,217,2294017
61,74,178,218,4016818
71,120,69,219,4683845
86,52,12,220,5649420
12,12,12,221,789516
31,30,29,222,2039325
13,13,13,223,855309
20,28,32,224,1317920
24,23,16,225,1578768
15,17,17,226,987409
38,34,33,227,2499105
30,26,26,228,1972762
