r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
98,111,129,2,6451073
2,2,2,3,131586
92,37,36,4,6038820
73,81,107,5,4804971
84,82,108,6,5526124
104,97,77,7,6840653
114,81,68,8,7491908
138,138,135,9,9079431
90,78,74,10,5918282
97,102,90,11,6383194
112,108,100,12,7367780
102,90,97,13,6707809
72,82,71,14,4739655
112,111,123,15,7368571
134,126,129,16,8814209
99,101,121,17,6514041
119,88,84,18,7821396
114,90,80,19,7494224
105,95,101,20,6905701
95,92,112,21,6249584
75,88,77,22,4937805
167,86,81,23,10966609
99,53,56,24,6501688
103,124,153,25,6782105
144,94,67,26,9461315
126,104,116,27,8284276
155,114,96,28,10187360
90,57,54,29,5912886
91,53,46,30,5977390
99,64,42,31,6504490
104,67,46,32,6832942
77,59,35,33,5061411
80,60,68,34,5258308
16,26,26,35,1055258
156,175,155,36,10268571
185,143,108,37,12160876
84,49,52,38,5517620
65,36,32,39,4269088
77,61,54,40,5061942
20,14,22,41,1314326
60,62,81,42,3948113
34,27,39,43,2235175
42,29,7,44,2759943
10,5,18,45,656658
39,25,24,46,2562328
22,18,20,47,1446420
14,10,21,48,920085
45,38,50,49,2958898
22,19,28,50,1446684
47,31,32,51,3088160
49,66,75,52,3228235
16,11,20,53,1051412
72,50,42,54,4731434
5,3,7,55,328455
85,73,70,56,5589318
121,92,91,57,7953499
144,113,109,58,9466221
191,179,165,59,12563365
133,114,102,60,8745574
114,77,62,61,7490878
146,73,55,62,9586999
121,71,65,63,7948097
124,93,74,64,8150346
139,105,86,65,9136470
134,110,98,66,8810082
104,78,69,67,6835781
126,79,61,68,8277821
144,122,112,69,9468528
149,134,125,70,9799293
148,135,126,71,9734014
169,144,131,72,11112579
124,99,98,73,8151906
163,110,101,74,10710629
134,104,92,75,8808540
137,100,88,76,9004120
191,166,151,77,12560023
180,168,164,78,11839652
166,157,154,79,10919322
130,104,126,80,8546430
122,90,93,81,8018525
166,147,136,82,10916744
112,124,138,83,7371914
167,135,112,84,10979184
138,143,142,85,9080718
110,99,105,86,7234409
123,117,122,87,8091002
186,180,170,88,12235946
160,135,132,89,10520452
178,170,162,90,11709090
181,123,113,91,11893617
160,168,168,92,10528936
119,127,129,93,7831425
82,78,63,94,5393983
173,162,148,95,11379348
125,111,95,96,8220511
142,117,102,97,9336166
99,74,79,98,6507087
144,148,148,99,9475220
188,165,148,100,12363156
202,169,149,101,13281685
97,72,75,102,6375499
143,140,139,103,9407627
124,100,92,104,8152156
139,125,130,105,9141634
140,118,119,106,9205367
104,80,73,107,6836297
162,147,137,108,10654601
126,102,99,109,8283747
124,87,84,110,8148820
20,26,64,111,1317440
18,27,67,112,1186627
19,28,68,113,1252420
12,19,51,114,791347
66,54,58,115,4339258
27,30,56,116,1777208
38,22,29,117,2496029
49,26,37,118,3217957
75,37,45,119,4924717
12,12,34,120,789538
66,34,47,121,4334127
62,28,39,122,4070439
54,34,41,123,3547689
46,25,36,124,3021092
91,60,51,125,5979187
44,27,32,126,2890528
135,146,139,127,8884875
76,65,84,128,4997460
101,70,76,129,6637132
90,71,55,130,5916471
90,56,42,131,5912618
185,157,134,132,12164486
95,80,83,133,6246483
97,105,134,134,6384006
163,143,142,135,10719118
73,67,88,136,4801368
98,81,78,137,6443342
97,78,71,138,6377031
128,106,98,139,8415842
181,129,94,140,11895134
122,122,141,141,8026765
67,48,74,142,4403274
146,105,87,143,9595223
150,102,92,144,9856604
203,163,163,145,13345699
157,118,137,146,10319497
228,218,206,147,14998222
209,198,189,148,13747901
138,105,117,149,9070965
149,107,99,150,9792355
121,83,84,151,7951188
111,91,94,152,7297886
124,92,78,153,8150094
166,118,98,154,10909282
147,105,89,155,9660761
104,82,85,156,6836821
118,77,108,157,7753068
62,31,31,158,4071199
69,56,77,159,4536397
82,37,34,160,5383458
82,35,32,161,5382944
134,114,96,162,8811104
144,113,105,163,9466217
149,100,86,164,9790550
159,130,115,165,10453619
115,72,72,166,7555144
128,104,99,167,8415331
139,112,103,168,9138279
76,68,81,169,4998225
72,39,62,170,4728638
37,24,65,171,2431041
41,27,29,172,2693917
57,55,85,173,3749717
39,30,31,174,2563615
72,30,31,175,4726303
74,56,72,176,4864072
133,125,141,177,8748429
63,39,43,178,4138795
49,34,38,179,3220006
57,34,37,180,3744293
102,50,51,181,6697523
53,38,41,182,3483177
44,63,60,183,2899772
46,33,34,184,3023138
43,46,50,185,2829874
35,33,36,186,2302244
151,145,131,187,9933187
117,136,102,188,7702630
154,135,161,189,10127265
154,159,120,190,10133368
121,210,238,191,7983854
137,117,116,192,9008500
142,140,135,193,9342087
129,112,117,194,8482933
139,154,119,195,9149047
114,92,93,196,7494749
90,109,87,197,5926231
115,92,91,198,7560283
133,128,117,199,8749173
109,105,101,200,7170405
130,114,110,201,8548974
97,103,109,202,6383469
134,117,113,203,8811889
116,78,92,204,7622236
150,133,129,205,9864577
137,105,113,206,9005425
114,90,102,207,7494246
117,92,103,208,7691367
130,112,102,209,8548454
85,75,86,210,5589846
121,97,107,211,7954795
107,118,127,212,7042687
137,93,96,213,9002336
90,39,39,214,5908263
96,54,55,215,6305335
166,162,176,216,10920624
146,105,88,217,9595224
63,59,53,218,4143925
40,36,34,219,2630690
46,37,30,220,3024158
61,49,37,221,4010277
58,57,57,222,3815737
52,37,29,223,3417373
26,17,19,224,1708307
41,35,26,225,2695962
47,37,25,226,3089689
18,21,22,227,1185046
54,38,26,228,3548698
39,32,21,229,2564117
45,45,41,230,2960681
