r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
8,6,8,2,525832
54,36,35,3,3548195
37,29,22,4,2432278
51,46,42,5,3354154
55,28,20,6,3611668
79,69,64,7,5195072
33,18,10,8,2167306
69,42,27,9,4532763
47,32,27,10,3088411
30,21,18,11,1971474
61,39,30,12,4007710
73,65,51,13,4800819
68,62,62,14,4472382
52,46,38,15,3419686
57,35,37,16,3744549
63,42,35,17,4139555
29,15,9,18,1904393
48,38,33,19,3155489
45,34,33,20,2957857
68,41,24,21,4466968
32,16,10,22,2101258
39,23,19,23,2561811
48,45,43,24,3157291
52,52,45,25,3421229
10,13,20,26,658708
14,16,23,27,921623
12,15,22,28,790294
31,30,32,29,2039328
49,46,48,30,3223088
91,87,93,31,5986141
55,35,29,32,3613469
54,34,27,33,3547675
8,2,1,34,524801
22,22,28,35,1447452
58,35,43,36,3810091
113,78,58,37,7425594
112,75,52,38,7359284
96,65,48,39,6308144
102,65,45,40,6701357
117,78,59,41,7687739
106,76,64,42,6966336
55,41,37,43,3615013
147,128,114,44,9666674
108,84,67,45,7099459
96,64,53,46,6307893
107,90,79,47,7035471
113,79,59,48,7425851
63,47,41,49,4140841
98,53,37,50,6436133
112,74,52,51,7359028
112,61,39,52,7355687
80,31,17,53,5250833
122,82,61,54,8016445
116,79,60,55,7622460
106,66,44,56,6963756
125,88,65,57,8214593
161,127,104,58,10583912
29,29,39,59,1908007
32,26,30,60,2103838
32,27,31,61,2104095
67,49,36,62,4403492
34,25,23,63,2234647
11,10,13,64,723469
59,35,17,65,3875601
58,33,21,66,3809557
32,19,24,67,2102040
122,88,61,68,8017981
135,92,62,69,8870974
62,47,39,70,4075303
105,83,73,71,6902601
131,95,84,72,8609620
111,87,75,73,7296843
48,37,25,74,3155225
55,39,24,75,3614488
72,52,38,76,4731942
84,57,44,77,5519660
63,39,22,78,4138774
73,33,21,79,4792597
98,64,45,80,6438957
72,41,30,81,4729118
163,106,71,82,10709575
116,81,68,83,7622980
115,79,67,84,7556931
84,47,31,85,5517087
74,44,31,86,4860959
72,39,28,87,4728604
97,53,34,88,6370594
65,36,21,89,4269077
108,70,56,90,7095864
118,78,63,91,7753279
106,83,72,92,6968136
112,71,53,93,7358261
128,90,72,94,8411720
31,16,16,95,2035728
52,17,14,96,3412238
127,89,67,97,8345923
120,84,65,98,7885889
127,91,72,99,8346440
122,85,65,100,8017217
120,82,64,101,7885376
116,65,50,102,7618866
80,33,23,103,5251351
117,81,64,104,7688512
102,67,46,105,6701870
72,37,25,106,4728089
73,32,26,107,4792346
37,21,20,108,2430228
36,17,8,109,2363656
69,38,24,110,4531736
36,19,17,111,2364177
14,5,6,112,918790
25,13,12,113,1641740
83,42,27,114,5450267
87,46,32,115,5713440
34,17,14,116,2232590
52,30,27,117,3415579
36,20,18,118,2364434
40,23,21,119,2627349
100,59,41,120,6568745
16,26,26,121,1055258
22,23,32,122,1447712
80,47,33,123,5254945
77,40,26,124,5056538
107,73,52,125,7031092
114,73,52,126,7489844
117,79,62,127,7687998
109,73,57,128,7162169
115,80,63,129,7557183
93,61,46,130,6110510
92,55,45,131,6043437
93,61,51,132,6110515
99,71,60,133,6506300
37,22,22,134,2430486
43,27,29,135,2824989
51,26,15,136,3349007
84,44,29,137,5516317
78,47,34,138,5123874
69,37,23,139,4531479
63,35,22,140,4137750
34,22,19,141,2233875
16,12,16,142,1051664
43,30,25,143,2825753
91,62,65,144,5979713
70,37,24,145,4597016
37,21,11,146,2430219
72,39,28,147,4728604
40,31,23,148,2629399
102,55,49,149,6698801
72,50,41,150,4731433
46,35,35,151,3023651
84,74,64,152,5524032
33,25,9,153,2169097
91,63,48,154,5979952
102,64,68,155,6701124
72,56,50,156,4732978
79,59,66,157,5192514
93,51,49,158,6107953
66,42,50,159,4336178
75,41,30,160,4925726
67,45,42,161,4402474
49,33,39,162,3219751
28,20,22,163,1840150
104,76,63,164,6835263
43,21,10,165,2823434
54,19,8,166,3543816
34,19,18,167,2233106
22,12,11,168,1444875
90,48,30,169,5910558
62,38,33,170,4072993
106,72,52,171,6965300
44,30,31,172,2891295
52,20,19,173,3413011
47,16,14,174,3084302
21,16,17,175,1380369
18,13,13,176,1182989
22,18,20,177,1446420
100,63,45,178,6569773
35,19,21,179,2298645
150,115,99,180,9859939
98,62,45,181,6438445
130,89,72,182,8542536
82,39,21,183,5383957
71,37,22,184,4662550
56,30,26,185,3677722
85,51,38,186,5583654
64,39,26,187,4204314
96,72,55,188,6309943
65,22,18,189,4265490
101,58,38,190,6634022
78,36,23,191,5121047
127,88,66,192,8345666
170,130,102,193,11174502
133,77,42,194,8736042
63,29,25,195,4136217
51,23,19,196,3348243
63,28,23,197,4135959
52,21,20,198,3413268
19,5,7,199,1246471
39,19,16,200,2560784
26,17,17,201,1708305
18,11,14,202,1182478
113,70,56,203,7423544
53,33,20,204,3481876
65,34,23,205,4268567
48,24,11,206,3151883
0,0,0,207,0
120,60,34,208,7879714
97,105,109,209,6383981
200,145,141,210,13144461
181,104,58,211,11888698
27,28,44,212,1776684
16,17,23,213,1052951
13,15,21,214,855829
18,12,11,215,1182731
67,13,12,216,4394252
33,9,9,217,2165001
52,23,13,218,3413773
