r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
25,40,76,2,1648716
9,10,17,3,592401
110,97,89,4,7233881
113,88,66,5,7428162
94,72,60,6,6178876
112,78,57,7,7360057
139,102,81,8,9135697
119,83,74,9,7820106
81,51,27,10,5321499
117,94,73,11,7691849
144,135,141,12,9471885
63,39,23,13,4138775
49,33,22,14,3219734
44,34,30,15,2892318
42,36,35,16,2761763
37,28,28,17,2432028
56,47,39,18,3682087
12,12,10,19,789514
15,15,12,20,986892
167,140,116,21,10980468
146,116,90,22,9598042
171,140,111,23,11242607
132,106,91,24,8677979
85,57,44,25,5585196
125,88,63,26,8214591
128,87,60,27,8410940
141,112,86,28,9269334
178,138,111,29,11700847
107,91,77,30,7035725
126,105,83,31,8284499
145,129,113,32,9535857
102,89,77,33,6707533
162,134,98,34,10651234
218,189,154,35,14335386
235,220,203,36,15457483
53,49,82,37,3486034
93,63,54,38,6111030
134,95,83,39,8806227
124,92,80,40,8150096
148,121,88,41,9730392
15,14,18,42,986642
104,83,77,43,6837069
136,55,58,44,8927034
96,51,26,45,6304538
87,40,20,46,5711892
106,58,30,47,6961694
79,69,58,48,5195066
29,19,8,49,1905416
43,26,28,50,2824732
38,25,24,51,2496792
24,10,9,52,1575433
39,27,26,53,2562842
34,22,19,54,2233875
30,27,28,55,1973020
55,50,53,56,3617333
64,66,81,57,4211281
62,61,74,58,4078922
7,9,3,59,461059
180,156,129,60,11836545
192,172,146,61,12627090
118,57,46,62,7747886
25,16,24,63,1642520
177,151,135,64,11638663
135,106,89,65,8874585
140,123,117,66,9206645
138,130,121,67,9077369
179,154,130,68,11770498
4,6,10,69,263690
179,148,33,70,11768865
15,15,26,71,986906
24,25,33,72,1579297
96,100,132,73,6317188
95,96,120,74,6250616
82,82,102,75,5395046
86,82,103,76,5657191
75,102,119,77,4941431
123,90,47,78,8084015
80,100,99,79,5268579
75,94,96,80,4939360
71,76,101,81,4672613
124,92,93,82,8150109
112,84,85,83,7361621
118,85,98,84,7755106
122,155,185,85,8035257
159,171,183,86,10464183
37,51,69,87,2437957
148,155,164,88,9739172
12,16,33,89,790561
85,67,60,90,5587772
38,46,66,91,2502210
17,22,34,92,1119778
117,134,161,93,7702177
70,83,115,94,4608883
12,15,22,95,790294
46,49,74,96,3027274
49,52,67,97,3224643
43,47,67,98,2830147
27,34,51,99,1778227
42,88,61,100,2775101
56,76,74,101,3689546
39,41,55,102,2566455
65,73,95,103,4278623
94,165,201,104,6202825
35,29,28,105,2301212
155,155,158,106,10197918
115,129,178,107,7569842
132,141,171,108,8687019
199,224,220,109,13099228
124,123,128,110,8158080
50,60,60,111,3292220
95,111,112,112,6254448
85,94,91,113,5594715
63,64,65,114,4145217
81,83,95,115,5329759
37,40,45,116,2435117
43,47,66,117,2830146
49,46,59,118,3223099
14,10,33,119,920097
42,35,46,120,2761518
61,52,67,121,4011075
23,16,42,122,1511466
59,27,45,123,3873581
47,58,74,124,3095114
28,26,32,125,1841696
45,70,97,126,2967137
31,40,67,127,2041923
27,29,44,128,1776940
54,58,67,129,3553859
75,89,132,130,4938116
34,42,58,131,2239034
52,71,95,132,3426143
14,21,39,133,922919
31,42,73,134,2042441
45,53,62,135,2962750
40,46,61,136,2633277
41,40,52,137,2697268
76,91,152,138,5004184
65,72,91,139,4278363
59,64,71,140,3883079
59,98,86,141,3891798
65,52,61,142,4273213
94,41,62,143,6170942
5,5,8,144,328968
15,11,11,145,985867
36,31,25,146,2367257
199,206,224,147,13094624
72,64,52,148,4735028
120,107,88,149,7891800
116,103,83,150,7628627
151,141,121,151,9932153
152,142,122,152,9997946
88,98,94,153,5792350
58,71,72,154,3819336
36,35,51,155,2368307
34,50,79,156,2241103
111,110,102,157,7302758
61,63,88,158,4013912
33,46,101,159,2174565
119,132,114,160,7832690
130,154,133,161,8559237
104,129,108,162,6848876
90,128,94,163,5931102
52,60,82,164,3423314
46,48,58,165,3027002
110,119,150,166,7239574
82,82,65,167,5395009
132,145,131,168,8688003
57,76,127,169,3755135
163,140,121,170,10718329
121,108,94,171,7957598
126,111,103,172,8286055
37,22,14,173,2430478
117,87,57,174,7690041
50,37,25,175,3286297
138,114,85,176,9073237
197,188,173,177,12958893
108,98,85,178,7103061
146,127,99,179,9600867
137,124,110,180,9010286
86,84,47,181,5657647
116,64,51,182,7618611
111,62,49,183,7290417
157,160,163,184,10330275
92,96,61,185,6053949
38,27,19,186,2497299
9,9,8,187,592136
11,11,11,188,723723
11,11,11,189,723723
21,19,19,190,1381139
13,12,12,191,855052
10,10,10,192,657930
10,10,10,193,657930
25,22,22,194,1644054
