r,g,b,x,y
4,4,4,0,263172
4,4,4,1,263172
40,53,79,2,2635087
51,52,53,3,3355701
83,84,84,4,5461076
47,49,56,5,3092792
99,101,101,6,6514021
118,113,58,7,7762234
111,98,79,8,7299663
71,58,47,9,4667951
72,48,38,10,4730918
79,58,45,11,5192237
62,41,34,12,4073762
72,44,33,13,4729889
107,79,55,14,7032631
24,26,31,15,1579551
116,100,69,16,7627845
151,121,97,17,9927009
130,170,226,18,8563426
103,91,76,19,6773580
120,124,122,20,7896186
83,45,49,21,5451057
95,88,78,22,6248526
119,88,80,23,7821392
25,25,33,24,1644833
98,96,104,25,6447208
62,57,55,26,4077879
31,28,23,27,2038807
169,155,140,28,11115404
147,130,116,29,9667188
174,160,144,30,11444368
157,142,127,31,10325631
77,60,64,32,5061696
97,81,76,33,6377804
111,92,90,34,7298138
75,59,64,35,4930368
140,136,119,36,9209975
119,110,123,37,7827067
121,112,106,38,7958634
31,30,41,39,2039337
109,88,67,40,7166019
55,44,40,41,3615784
88,76,80,42,5786704
158,149,151,43,10392983
153,148,153,44,10065049
135,93,101,45,8871269
148,143,151,46,9736087
166,169,160,47,10922400
116,94,84,48,7626324
131,113,103,49,8614247
32,29,33,50,2104609
119,120,126,51,7829630
94,74,66,52,6179394
140,156,173,53,9215149
80,74,76,54,5261900
48,48,52,55,3158068
28,29,37,56,1842469
9,7,8,57,591624
113,95,92,58,7429980
154,125,102,59,10124646
96,87,89,60,6313817
110,115,144,61,7238544
32,35,46,62,2106158
130,135,165,63,8554405
134,127,143,64,8814479
142,149,179,65,9344435
121,121,139,66,7960971
141,155,184,67,9280440
130,134,151,68,8554135
176,180,206,69,11580622
173,176,183,70,11382967
34,34,35,71,2236963
61,60,48,72,4013104
114,106,82,73,7498322
162,120,95,74,10647647
52,56,35,75,3422243
40,39,30,76,2631454
59,78,58,77,3886650
96,97,84,78,6316372
57,76,63,79,3755071
107,103,89,80,7038809
180,181,183,81,11842999
172,171,172,82,11316140
188,196,198,83,12371142
154,137,122,84,10127738
140,139,136,85,9210760
132,132,132,86,8684676
74,69,58,87,4867386
80,70,60,88,5260860
84,78,66,89,5525058
104,84,75,90,6837323
65,58,60,91,4274748
61,54,51,92,4011571
148,160,147,93,9740435
17,18,19,94,1118739
16,18,20,95,1053204
26,27,26,96,1710874
23,24,24,97,1513496
16,18,19,98,1053203
24,23,23,99,1578775
150,102,111,100,9856623
150,108,119,101,9858167
115,84,94,102,7558238
159,116,125,103,10450045
78,53,52,104,5125428
155,126,134,105,10190470
59,52,55,106,3879991
106,94,93,107,6970973
99,86,83,108,6510163
44,39,37,109,2893605
83,71,68,110,5457732
53,40,28,111,3483676
58,45,33,112,3812641
67,43,33,113,4401953
68,43,34,114,4467490
61,33,22,115,4006166
53,33,21,116,3481877
43,24,18,117,2824210
78,57,36,118,5126436
36,21,14,119,2364686
50,29,17,120,3284241
36,21,13,121,2364685
42,26,18,122,2759186
30,29,30,123,1973534
56,48,46,124,3682350
87,81,81,125,5722449
65,57,53,126,4274485
143,145,149,127,9408917
93,95,102,128,6119270
89,73,75,129,5851467
14,24,42,130,923690
24,33,52,131,1581364
32,38,58,132,2106938
25,33,59,133,1646907
91,102,118,134,5990006
65,34,28,135,4268572
78,45,28,136,5123356
19,20,33,137,1250337
32,18,32,138,2101792
41,22,25,139,2692633
120,102,127,140,7890559
137,144,195,141,9015491
54,42,38,142,3549734
94,86,82,143,6182482
172,152,143,144,11311247
132,126,131,145,8683139
203,183,155,146,13350811
181,151,135,147,11900807
121,104,96,148,7956576
88,86,92,149,5789276
59,46,42,150,3878442
169,168,177,151,11118769
172,205,235,152,11324907
117,101,89,153,7693657
74,81,87,154,4870487
77,66,55,155,5063223
67,67,68,156,4408132
64,54,41,157,4208169
43,40,41,158,2828329
49,37,39,159,3220775
146,151,150,160,9607062
209,233,245,161,13756917
55,69,76,162,3622220
72,50,46,163,4731438
83,84,85,164,5461077
75,77,77,165,4934989
137,128,118,166,9011318
74,72,74,167,4868170
189,209,221,168,12440029
90,88,92,169,5920860
146,135,126,170,9602942
154,187,203,171,10140619
111,116,121,172,7304313
208,222,229,173,13688549
180,149,149,174,11834773
137,111,92,175,9006940
80,57,50,176,5257522
89,50,46,177,5845550
139,131,134,178,9143174
18,12,15,179,1182735
209,197,163,180,13747619
194,177,157,181,12759453
210,192,164,182,13811876
222,209,184,183,14602680
231,217,189,184,15194557
237,224,195,185,15589571
241,227,201,186,15852489
234,222,193,187,15392449
224,211,186,188,14734266
224,211,186,189,14734266
228,218,192,190,14998208
