r,g,b,x,y,h,s,v
5,5,5,0,328965,0,0.0,0.0196078431372549
5,5,5,1,328965,0,0.0,0.0196078431372549
46,63,180,2,3030964,232.38805970149252,0.7444444444444445,0.7058823529411765
18,129,196,3,1212868,202.58426966292134,0.9081632653061225,0.7686274509803922
175,88,88,4,11491416,0.0,0.49714285714285716,0.6862745098039216
184,117,100,5,12088676,12.14285714285711,0.45652173913043476,0.7215686274509804
154,75,79,6,10111823,356.9620253164557,0.512987012987013,0.6039215686274509
145,62,65,7,9518657,357.8313253012048,0.5724137931034482,0.5686274509803921
109,74,68,8,7162436,8.780487804878078,0.37614678899082565,0.42745098039215684
39,44,45,9,2567213,190.00000000000003,0.13333333333333333,0.17647058823529413
136,92,57,10,8936505,26.58227848101268,0.5808823529411765,0.5333333333333333
123,94,65,11,8085057,30.0,0.47154471544715454,0.4823529411764706
107,82,60,12,7033404,28.085106382978722,0.4392523364485981,0.4196078431372549
27,44,54,13,1780790,202.22222222222223,0.5,0.21176470588235294
28,51,62,14,1848126,199.41176470588235,0.5483870967741935,0.24313725490196078
108,92,65,15,7101505,37.67441860465118,0.3981481481481482,0.4235294117647059
174,138,120,16,11438712,20.0,0.3103448275862069,0.6823529411764706
140,96,72,17,9199688,21.176470588235304,0.48571428571428577,0.5490196078431373
111,70,56,18,7292472,15.272727272727252,0.4954954954954955,0.43529411764705883
100,73,62,19,6572350,17.36842105263156,0.38,0.39215686274509803
114,79,65,20,7491393,17.142857142857167,0.42982456140350883,0.4470588235294118
80,50,38,21,5255718,17.142857142857167,0.525,0.3137254901960784
106,63,51,22,6962995,13.090909090909065,0.5188679245283019,0.41568627450980394
146,109,88,23,9596248,21.724137931034477,0.3972602739726027,0.5725490196078431
152,113,91,24,9990491,21.639344262295083,0.4013157894736842,0.596078431372549
127,94,75,25,8347211,21.923076923076906,0.4094488188976378,0.4980392156862745
112,84,66,26,7361602,23.47826086956519,0.41071428571428564,0.4392156862745098
71,44,26,27,4664346,24.0,0.6338028169014085,0.2784313725490196
72,46,29,28,4730397,23.720930232558146,0.5972222222222223,0.2823529411764706
125,86,66,29,8214082,20.338983050847446,0.4719999999999999,0.49019607843137253
213,137,73,30,13994313,27.428571428571445,0.6572769953051644,0.8352941176470589
172,122,60,31,11303484,33.21428571428572,0.6511627906976745,0.6745098039215687
97,68,28,32,6374428,34.782608695652186,0.711340206185567,0.3803921568627451
67,38,20,33,4400660,22.978723404255334,0.7014925373134329,0.2627450980392157
131,86,64,34,8607296,19.70149253731347,0.5114503816793893,0.5137254901960784
119,65,49,35,7815473,13.714285714285722,0.5882352941176471,0.4666666666666667
