r,g,b,x,y
6,6,6,0,394758
6,6,6,1,394758
59,65,158,2,3883422
44,68,66,3,2901058
32,37,37,4,2106661
19,20,18,5,1250322
35,27,23,6,2300695
52,44,45,7,3419181
146,158,191,8,9608895
21,17,32,9,1380640
46,20,16,10,3019792
18,17,36,11,1184036
97,74,57,12,6375993
117,63,67,13,7683907
164,106,79,14,10775119
168,121,91,15,11041115
120,75,51,16,7883571
101,71,65,17,6637377
111,113,108,18,7303532
119,97,96,19,7823712
118,95,80,20,7757648
108,113,81,21,7106897
83,58,51,22,5454387
73,50,46,23,4796974
114,71,63,24,7489343
102,66,53,25,6701621
124,97,87,26,8151383
63,42,39,27,4139559
27,16,13,28,1773581
29,19,13,29,1905421
34,24,26,30,2234394
56,39,34,31,3680034
113,114,115,32,7434867
67,75,65,33,4410177
45,54,54,34,2962998
35,62,51,35,2309683
24,64,73,36,1589321
109,157,165,37,7183781
29,83,77,38,1921869
33,49,27,39,2175259
43,32,27,40,2826267
49,43,47,41,3222319
73,54,50,42,4798002
85,61,54,43,5586230
98,67,58,44,6439738
123,85,68,45,8082756
99,77,67,46,6507843
54,34,37,47,3547685
95,67,61,48,6243133
88,66,57,49,5784121
108,118,73,50,7108169
91,69,57,51,5981497
74,57,56,52,4864312
54,41,46,53,3549486
82,65,61,54,5390653
144,131,137,55,9470857
85,67,67,56,5587779
96,72,71,57,6309959
93,68,69,58,6112325
71,52,49,59,4666417
124,84,76,60,8148044
85,62,53,61,5586485
107,97,103,62,7037287
103,113,83,63,6779219
104,134,75,64,6850123
110,112,77,65,7237709
141,152,71,66,9279559
74,108,79,67,4877391
88,100,69,68,5792837
87,95,75,69,5726027
71,82,62,70,4674110
63,90,85,71,4151893
57,84,70,72,3757126
19,21,34,73,1250594
25,27,38,74,1645350
68,76,54,75,4475958
61,51,53,76,4010805
38,25,20,77,2496788
56,28,25,78,3677209
60,30,29,79,3939869
49,25,21,80,3217685
98,54,47,81,6436399
65,34,26,82,4268570
63,29,18,83,4136210
57,26,15,84,3742223
72,43,32,85,4729632
73,34,23,86,4792855
40,25,19,87,2627859
53,35,31,88,3482399
43,31,28,89,2826012
63,33,17,90,4137233
44,27,18,91,2890514
71,48,38,92,4665382
118,108,113,93,7761009
35,30,35,94,2301475
111,82,64,95,7295552
108,77,64,96,7097664
12,14,28,97,790044
12,12,23,98,789527
15,18,32,99,987680
16,19,33,100,1053473
117,99,58,101,7693114
85,61,43,102,5586219
23,53,60,103,1520956
23,45,76,104,1518924
23,56,91,105,1521755
42,24,32,106,2758688
114,72,58,107,7489594
32,21,28,108,2102556
38,25,35,109,2496803
52,27,28,110,3414812
46,25,31,111,3021087
41,22,27,112,2692635
35,22,28,113,2299420
28,21,37,114,1840421
19,16,35,115,1249315
14,15,37,116,921381
15,17,43,117,987435
17,13,28,118,1117468
14,13,19,119,920851
97,99,77,120,6382413
84,82,65,121,5526081
97,96,74,122,6381642
93,95,78,123,6119246
107,151,167,124,7051175
95,82,78,125,6246990
126,93,87,126,8281431
116,83,71,127,7623495
144,108,87,128,9464919
99,62,77,129,6504013
71,40,44,130,4663340
19,20,44,131,1250348
23,27,57,132,1514297
52,22,19,133,3413523
41,29,50,134,2694450
18,20,42,135,1184810
24,23,49,136,1578801
73,48,53,137,4796469
70,40,54,138,4597814
56,39,53,139,3680053
135,70,63,140,8865343
77,39,55,141,5056311
108,55,61,142,7092029
23,31,51,143,1515315
16,26,40,144,1055272
15,30,50,145,990770
34,54,100,146,2242148
14,25,47,147,923951
17,32,58,148,1122362
36,53,94,149,2372958
14,25,47,150,923951
35,36,40,151,2303016
33,24,30,152,2168862
92,62,76,153,6045260
80,67,73,154,5260105
177,146,116,155,11637364
41,34,36,156,2695716
55,38,44,157,3614252
40,31,37,158,2629413
54,39,45,159,3548973
82,56,42,160,5388330
43,30,28,161,2825756
65,58,52,162,4274740
92,87,90,163,6051674
41,42,49,164,2697777
39,50,52,165,2568756
56,48,51,166,3682355
33,27,34,167,2169634
82,70,80,168,5391952
39,32,34,169,2564130
54,44,44,170,3550252
38,37,43,171,2499883
80,77,80,172,5262672
59,51,52,173,3879732
45,43,46,174,2960174
88,65,59,175,5783867
137,107,72,176,9005896
94,72,68,177,6178884
66,43,40,178,4336424
125,139,159,179,8227743
130,92,106,180,8543338
124,94,95,181,8150623
179,112,93,182,11759709
157,160,171,183,10330283
208,196,161,184,13681825
198,176,142,185,13021326
208,197,160,186,13682080
199,178,143,187,13087375
217,195,158,188,14271390
228,209,167,189,14995879
220,202,163,190,14469795
223,206,167,191,14667431
216,198,161,192,14206625
221,203,164,193,14535588
220,203,165,194,14470053
221,204,164,195,14535844
220,201,162,196,14469538
217,199,160,197,14272416
223,206,167,198,14667431
