r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
40,46,119,2,2633335
23,11,8,3,1510152
64,37,21,4,4203797
57,17,16,5,3739920
117,178,122,6,7713402
102,151,101,7,6723429
75,66,48,8,4932144
145,136,123,9,9537659
72,55,37,10,4732709
134,112,56,11,8810552
193,192,181,12,12697781
56,61,49,13,3685681
150,151,148,14,9869204
63,67,56,15,4145976
74,79,61,16,4869949
75,80,62,17,4935742
98,107,94,18,6450014
99,108,94,19,6515806
137,146,127,20,9015935
89,82,72,21,5853768
150,149,124,22,9868668
132,124,101,23,8682597
131,124,103,24,8617063
141,140,121,25,9276537
154,176,172,26,10137772
151,163,145,27,9937809
126,115,84,28,8287060
130,129,88,29,8552792
155,159,135,30,10198919
191,196,187,31,12567739
157,151,121,32,10327929
144,143,98,33,9473890
217,218,211,34,14277331
224,222,214,35,14737110
92,94,82,36,6053458
89,83,64,37,5854016
108,97,69,38,7102789
72,75,57,39,4737849
112,104,95,40,7366751
77,77,61,41,5066045
16,24,32,42,1054752
27,36,28,43,1778716
32,36,46,44,2106414
31,30,27,45,2039323
21,25,30,46,1382686
145,155,137,47,9542537
186,181,163,48,12236195
137,133,111,49,9012591
168,169,157,50,11053469
98,100,91,51,6448219
154,161,148,52,10133908
147,144,132,53,9670788
124,118,94,54,8156766
115,119,109,55,7567213
187,218,231,56,12311271
164,177,172,57,10793388
169,196,199,58,11125959
133,132,102,59,8750182
84,71,51,60,5523251
138,137,90,61,9079130
181,220,225,62,11918561
152,174,163,63,10006179
154,173,159,64,10136991
85,80,65,65,5591105
65,64,45,66,4276269
88,90,72,67,5790280
102,106,78,68,6711886
186,116,41,69,12219433
125,67,17,70,8209169
193,124,62,71,12680254
128,133,112,72,8422768
139,142,111,73,9145967
128,135,121,74,8423289
139,150,128,75,9148032
133,139,110,76,8751982
66,66,61,77,4342333
118,127,125,78,7765885
117,122,119,79,7699063
121,125,121,80,7961977
68,63,52,81,4472628
79,79,63,82,5197631
87,91,75,83,5725003
75,74,59,84,4934203
36,42,44,85,2370092
40,52,53,86,2634805
52,54,41,87,3421737
216,212,208,88,14210256
61,44,33,89,4008993
55,44,34,90,3615778
77,60,50,91,5061682
145,136,112,92,9537648
158,143,119,93,10391415
162,151,125,94,10655613
156,151,128,95,10262400
138,138,122,96,9079418
150,143,128,97,9867136
163,160,149,98,10723477
82,86,63,99,5396031
106,100,73,100,6972489
82,72,51,101,5392435
126,116,100,102,8287332
126,92,56,103,8281144
125,113,101,104,8221029
129,121,124,105,8485244
120,95,74,106,7888714
116,114,94,107,7631454
88,29,25,108,5774617
79,48,29,109,5189661
76,43,29,110,4991773
83,53,42,111,5453098
81,44,33,112,5319713
174,156,140,113,11443340
229,222,210,114,15064786
229,221,208,115,15064528
128,46,12,116,8400396
234,227,214,117,15393750
235,227,214,118,15459286
231,223,210,119,15196114
234,227,214,120,15393750
232,225,213,121,15262165
236,228,215,122,15525079
232,223,210,123,15261650
