r,g,b,x,y
6,6,6,0,394758
6,6,6,1,394758
31,35,89,2,2040665
85,98,99,3,5595747
83,61,39,4,5455143
77,50,32,5,5059104
84,70,50,6,5522994
23,24,22,7,1513494
36,35,26,8,2368282
146,147,145,9,9606033
115,123,144,10,7568272
34,34,45,11,2236973
145,148,156,12,9540764
46,42,43,13,3025451
122,97,68,14,8020292
62,47,41,15,4075305
54,51,37,16,3552037
171,142,150,17,11243158
133,84,68,18,8737860
53,43,42,19,3484458
69,34,22,20,4530710
91,44,26,21,5975066
92,40,22,22,6039574
117,65,29,23,7684381
92,44,22,24,6040598
81,35,21,25,5317397
64,27,14,26,4201230
47,22,19,27,3085843
25,19,16,28,1643280
30,16,13,29,1970189
40,23,27,30,2627355
57,27,24,31,3742488
89,45,35,32,5844259
64,41,48,33,4204848
118,124,145,34,7765137
48,42,52,35,3156532
48,43,54,36,3156790
119,95,84,37,7823188
67,55,53,38,4405045
77,68,64,39,5063744
52,39,35,40,3417891
60,46,42,41,3943978
64,51,51,42,4207411
84,68,62,43,5522494
89,83,83,44,5854035
55,45,43,45,3616043
136,112,103,46,8941671
89,89,72,47,5855560
120,109,82,48,7892306
129,135,111,49,8488815
161,160,170,50,10592426
113,107,70,51,7433030
147,143,143,52,9670543
172,186,208,53,11320016
105,94,68,54,6905412
164,139,135,55,10783623
68,50,44,56,4469292
51,43,37,57,3353381
53,41,36,58,3483940
45,54,39,59,2962983
61,71,54,60,4015926
45,57,34,61,2963746
32,33,33,62,2105633
19,19,17,63,1250065
71,23,9,64,4658953
58,16,6,65,3805190
70,22,10,66,4593162
64,26,11,67,4200971
98,55,27,68,6436635
46,35,19,69,3023635
30,20,8,70,1971208
62,49,24,71,4075800
49,14,10,72,3214858
52,30,23,73,3415575
28,26,38,74,1841702
80,33,12,75,5251340
39,24,27,76,2562075
47,17,15,77,3084559
68,27,9,78,4463369
56,24,10,79,3676170
47,9,8,80,3082504
42,14,9,81,2756105
29,10,9,82,1903113
51,15,9,83,3346185
42,13,8,84,2755848
39,20,11,85,2561035
33,18,10,86,2167306
64,33,18,87,4202770
46,12,10,88,3017738
54,12,10,89,3542026
43,21,10,90,2823434
50,28,11,91,3283979
23,21,31,92,1512735
17,13,16,93,1117456
23,15,14,94,1511182
27,25,39,95,1775911
21,22,25,96,1381913
25,20,25,97,1643545
19,16,19,98,1249299
11,14,18,99,724498
31,80,62,100,2052158
73,7,19,101,4785939
30,64,51,102,1982515
16,16,22,103,1052694
17,15,18,104,1117970
41,32,33,105,2695201
45,18,8,106,2953736
26,21,27,107,1709339
39,30,33,108,2563617
28,20,22,109,1840150
65,36,26,110,4269082
37,25,20,111,2431252
84,61,50,112,5520690
91,60,38,113,5979174
103,60,26,114,6765594
20,18,17,115,1315345
45,21,17,116,2954513
46,23,20,117,3020564
18,17,16,118,1184016
37,37,39,119,2434343
37,38,43,120,2434603
30,26,35,121,1972771
71,74,86,122,4672086
27,26,33,123,1776161
9,9,11,124,592139
46,49,54,125,3027254
25,26,26,126,1645082
16,14,21,127,1052181
37,16,15,128,2428943
19,14,17,129,1248785
69,23,8,130,4527880
89,38,10,131,5842442
41,18,11,132,2691595
93,33,11,133,6103307
92,30,10,134,6037002
95,31,13,135,6233869
37,15,8,136,2428680
69,21,9,137,4527369
60,30,17,138,3939857
95,45,23,139,6237463
78,33,10,140,5120266
67,30,10,141,4398602
49,19,13,142,3216141
27,16,15,143,1773583
39,16,12,144,2560012
61,24,12,145,4003852
46,16,7,146,3018759
55,23,10,147,3610378
53,30,15,148,3481103
57,26,11,149,3742219
41,22,15,150,2692623
17,16,21,151,1118229
16,14,19,152,1052179
13,13,15,153,855311
45,33,35,154,2957603
28,21,24,155,1840408
40,21,22,156,2626838
15,16,22,157,987158
14,18,29,158,922141
17,16,22,159,1118230
17,15,29,160,1117981
26,23,29,161,1709853
16,15,20,162,1052436
42,27,29,163,2759453
114,82,78,164,7492174
123,48,25,165,8073241
91,60,42,166,5979178
68,45,38,167,4468006
44,49,37,168,2896165
75,66,46,169,4932142
69,71,59,170,4540219
104,89,80,171,6838608
35,41,47,172,2304303
91,122,113,173,5995121
127,90,53,174,8346165
13,11,9,175,854793
17,13,10,176,1117450
24,18,12,177,1577484
20,16,11,178,1314827
20,16,11,179,1314827
21,17,11,180,1380619
21,16,11,181,1380363
19,14,11,182,1248779
17,14,10,183,1117706
21,17,14,184,1380622
30,24,17,185,1972241
