r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
53,68,122,2,3490938
48,37,34,3,3155234
42,38,34,4,2762274
68,55,53,5,4470581
66,49,60,6,4337980
26,22,19,7,1709587
103,86,78,8,6772302
45,31,33,9,2957089
113,79,71,10,7425863
159,107,88,11,10447704
126,95,90,12,8281946
156,102,98,13,10249826
138,98,95,14,9069151
32,25,25,15,2103577
40,24,32,16,2627616
130,106,83,17,8546899
175,142,104,18,11505256
132,84,73,19,8672329
44,39,27,20,2893595
69,47,69,21,4534085
72,36,56,22,4727864
109,82,74,23,7164490
131,86,79,24,8607311
113,83,69,25,7426885
119,71,62,26,7817022
162,106,88,27,10644056
141,77,66,28,9260354
123,70,61,29,8078909
107,53,46,30,7025966
86,40,39,31,5646375
61,34,33,32,4006433
69,34,36,33,4530724
61,39,35,34,4007715
131,113,97,35,8614241
53,54,53,36,3487285
66,27,24,37,4332312
67,32,32,38,4399136
83,117,117,39,5469557
54,82,79,40,3560015
66,98,84,41,4350548
51,55,51,42,3356467
74,53,61,43,4863293
181,116,110,44,11891822
171,118,112,45,11236976
51,37,42,46,3351850
103,37,29,47,6759709
87,71,72,48,5719880
57,89,85,49,3758421
40,40,39,50,2631719
55,78,74,51,3624522
36,56,56,52,2373688
46,67,67,53,3031875
29,30,31,54,1908255
139,106,83,55,9136723
222,131,157,56,14582685
209,128,133,57,13729925
223,139,142,58,14650254
199,173,167,59,13086119
169,82,92,60,11096668
205,202,187,61,13486779
203,200,186,62,13355194
218,121,134,63,14317958
88,71,57,64,5785401
137,120,99,65,9009251
155,113,70,66,10187078
73,73,61,67,4802877
184,120,107,68,12089451
172,129,123,69,11305339
176,131,127,70,11567999
205,152,130,71,13473922
219,163,106,72,14394218
168,115,95,73,11039583
82,42,43,74,5384747
173,114,102,75,11367014
113,98,84,76,7430740
151,81,89,77,9916761
193,107,101,78,12675941
147,85,86,79,9655638
189,106,100,80,12413540
155,77,90,81,10177882
145,97,94,82,9527646
164,96,87,83,10772567
183,108,101,84,12020837
178,108,93,85,11693149
185,152,142,86,12163214
196,118,95,87,12875359
162,97,103,88,10641767
165,98,100,89,10838628
131,67,70,90,8602438
200,111,127,91,13135743
192,90,128,92,12606080
45,23,37,93,2955045
143,73,79,94,9390415
105,48,45,95,6893613
237,165,150,96,15574422
140,81,64,97,9195840
199,117,121,98,13071737
93,107,76,99,6122316
56,27,32,100,3676960
173,118,100,101,11368036
140,88,74,102,9197642
81,57,59,103,5323067
133,64,72,104,8732744
106,59,59,105,6961979
136,96,95,106,8937567
126,80,73,107,8278089
48,23,17,108,3151633
70,27,24,109,4594456
76,36,29,110,4989981
96,46,45,111,6303277
83,40,43,112,5449771
82,39,42,113,5383978
89,45,40,114,5844264
126,51,51,115,8270643
98,52,44,116,6435884
80,42,39,117,5253671
110,54,49,118,7222833
184,191,161,119,12107681
106,45,66,120,6958402
33,19,57,121,2167609
100,143,200,122,6590408
96,83,76,123,6312780
136,123,111,124,8944495
159,133,118,125,10454390
132,57,66,126,8665410
139,65,69,127,9126213
166,72,85,128,10897493
139,100,67,129,9135171
152,101,113,130,9987441
0,0,0,131,0
160,123,125,132,10517373
97,49,61,133,6369597
112,51,50,134,7353138
97,51,54,135,6370102
152,99,103,136,9986919
158,119,123,137,10385275
161,109,109,138,10579309
57,38,37,139,3745317
62,50,50,140,4076082
71,77,78,141,4672846
40,29,30,142,2628894
24,12,10,143,1575946
133,63,54,144,8732470
125,84,57,145,8213561
173,139,119,146,11373431
170,131,126,147,11174782
28,26,21,148,1841685
99,65,47,149,6504751
97,55,42,150,6371114
87,47,43,151,5713707
127,120,111,152,8353903
206,220,208,153,13556944
186,145,135,154,12226951
182,114,93,155,11956829
106,41,50,156,6957362
205,190,179,157,13483699
169,111,108,158,11104108
199,175,162,159,13086626
167,121,111,160,10975599
213,210,206,161,14013134
49,40,37,162,3221541
124,116,100,163,8156260
37,28,28,164,2432028
173,99,38,165,11363110
61,37,27,166,4007195
79,47,32,167,5189408
78,52,49,168,5125169
148,80,79,169,9719887
121,65,61,170,7946557
61,43,36,171,4008740
95,32,34,172,6234146
70,33,34,173,4596002
66,50,45,174,4338221
43,27,21,175,2824981
131,64,39,176,8601639
87,49,51,177,5714227
172,103,100,178,11298660
205,144,108,179,13471852
182,120,97,180,11958369
175,104,98,181,11495522
149,84,82,182,9786450
211,231,218,183,13887450
96,77,69,184,6311237
81,50,45,185,5321261
92,37,31,186,6038815
99,38,38,187,6497830
46,32,42,188,3022890
19,19,24,189,1250072
151,73,86,190,9914710
85,80,57,191,5591097
139,127,120,192,9142136
13,13,15,193,855311
56,43,44,194,3681068
48,42,41,195,3156521
105,89,82,196,6904146
46,48,50,197,3026994
38,42,43,198,2501163
102,68,74,199,6702154
122,104,87,200,8022103
