r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
38,58,98,2,2505314,220.0,0.6122448979591837,0.3843137254901961
3,18,63,3,201279,225.0,0.9523809523809523,0.24705882352941178
51,43,97,4,3353441,248.88888888888889,0.556701030927835,0.3803921568627451
45,27,48,5,2956080,291.42857142857144,0.4375,0.18823529411764706
70,39,74,6,4597578,293.1428571428571,0.47297297297297297,0.2901960784313726
15,22,49,7,988721,227.64705882352942,0.6938775510204083,0.19215686274509805
10,19,28,8,660252,210.0,0.6428571428571429,0.10980392156862745
32,26,81,9,2103889,246.54545454545453,0.6790123456790124,0.3176470588235294
7,13,38,10,462118,228.38709677419354,0.8157894736842105,0.14901960784313725
45,57,101,11,2963813,227.14285714285714,0.5544554455445544,0.396078431372549
48,55,133,12,3159941,235.05882352941177,0.6390977443609023,0.5215686274509804
12,28,47,13,793647,212.57142857142858,0.7446808510638298,0.1843137254901961
18,26,43,14,1186347,220.8,0.5813953488372093,0.16862745098039217
25,31,47,15,1646383,223.63636363636363,0.4680851063829788,0.1843137254901961
31,34,55,16,2040375,232.5,0.4363636363636364,0.21568627450980393
47,38,46,17,3089966,306.6666666666667,0.19148936170212771,0.1843137254901961
82,82,74,18,5395018,60.0,0.09756097560975609,0.3215686274509804
58,68,81,19,3818577,213.91304347826087,0.2839506172839506,0.3176470588235294
47,41,33,20,3090721,34.28571428571428,0.2978723404255319,0.1843137254901961
38,21,29,21,2495773,331.7647058823529,0.4473684210526316,0.14901960784313725
62,75,89,22,4082521,211.1111111111111,0.3033707865168539,0.34901960784313724
30,23,33,23,1972001,282.0,0.3030303030303031,0.12941176470588237
18,13,20,24,1182996,282.8571428571429,0.35,0.0784313725490196
79,75,84,25,5196628,266.6666666666667,0.1071428571428571,0.32941176470588235
96,97,101,26,6316389,228.00000000000003,0.04950495049504947,0.396078431372549
109,70,69,27,7161413,1.5,0.3669724770642202,0.42745098039215684
88,55,50,28,5781298,7.89473684210526,0.4318181818181818,0.34509803921568627
78,60,57,29,5127225,8.571428571428555,0.2692307692307693,0.3058823529411765
74,88,64,30,4872256,94.99999999999999,0.2727272727272727,0.34509803921568627
106,49,51,31,6959411,357.89473684210526,0.5377358490566038,0.41568627450980394
49,50,45,32,3224109,71.99999999999997,0.09999999999999992,0.19607843137254902
69,35,65,33,4531009,307.05882352941177,0.4927536231884057,0.27058823529411763
97,115,138,34,6386570,213.65853658536585,0.2971014492753623,0.5411764705882353
81,84,98,35,5330018,229.41176470588235,0.17346938775510215,0.3843137254901961
70,106,136,36,4614792,207.27272727272725,0.48529411764705876,0.5333333333333333
68,106,140,37,4483724,208.33333333333334,0.5142857142857143,0.5490196078431373
41,39,47,38,2697007,255.0,0.1702127659574468,0.1843137254901961
104,96,97,39,6840417,352.5,0.07692307692307693,0.40784313725490196
75,73,72,40,4933960,19.999999999999886,0.04000000000000004,0.29411764705882354
49,35,34,41,3220258,4.0,0.3061224489795919,0.19215686274509805
52,27,29,42,3414813,355.2,0.4807692307692308,0.20392156862745098
68,40,38,43,4466726,4.0,0.4411764705882353,0.26666666666666666
45,34,32,44,2957856,9.230769230769226,0.2888888888888889,0.17647058823529413
42,29,36,45,2759972,327.6923076923077,0.30952380952380953,0.16470588235294117
