r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
35,43,89,2,2304857
121,87,69,3,7952197
185,120,41,4,12154921
93,100,103,5,6120551
86,68,111,6,5653615
58,73,91,7,3819867
19,36,52,8,1254452
28,32,32,9,1843232
24,25,22,10,1579286
14,20,45,11,922669
14,29,64,12,924992
33,45,54,13,2174262
7,10,8,14,461320
7,10,6,15,461318
112,108,90,16,7367770
110,123,112,17,7240560
71,77,83,18,4672851
167,161,129,19,10985857
45,52,50,20,2962482
124,148,54,21,8164406
82,92,91,22,5397595
51,59,42,23,3357482
110,82,37,24,7229989
87,59,31,25,5716767
107,115,73,26,7041865
34,27,20,27,2235156
45,38,28,28,2958876
15,7,3,29,984835
27,16,6,30,1773574
14,5,3,31,918787
28,21,18,32,1840402
76,53,35,33,4994339
77,54,29,34,5060125
62,74,42,35,4082218
81,72,45,36,5326893
86,83,45,37,5657389
46,33,9,38,3023113
49,23,19,39,3217171
93,48,20,40,6107156
76,27,13,41,4987661
81,50,17,42,5321233
148,94,25,43,9723417
86,66,40,44,5653032
115,117,67,45,7566659
65,62,42,46,4275754
65,57,76,47,4274508
54,47,32,48,3551008
70,67,95,49,4604767
35,17,10,50,2298122
50,30,14,51,3284494
18,7,3,52,1181443
18,13,7,53,1182983
28,20,16,54,1840144
40,35,24,55,2630424
15,8,5,56,985093
35,25,18,57,2300178
46,63,52,58,3030836
66,54,33,59,4339233
96,97,91,60,6316379
72,94,100,61,4742756
92,112,119,62,6058103
94,108,121,63,6188153
81,85,83,64,5330259
97,80,61,65,6377533
81,75,58,66,5327674
89,75,66,67,5851970
95,98,81,68,6251089
94,60,23,69,6175767
95,83,47,70,6247215
72,36,34,71,4727842
102,65,29,72,6701341
89,79,42,73,5852970
9,12,14,74,592910
32,13,5,75,2100485
59,43,27,76,3877659
39,35,24,77,2564888
92,80,42,78,6049834
116,81,50,79,7622962
12,16,21,80,790549
47,38,40,81,3089960
16,30,40,82,1056296
37,15,40,83,2428712
46,40,33,84,3024929
18,16,19,85,1183763
61,10,36,86,4000292
47,3,16,87,3080976
72,6,31,88,4720159
56,29,17,89,3677457
35,15,11,90,2297611
44,20,10,91,2888714
107,108,83,92,7040083
121,82,106,93,7950954
77,108,113,94,5074033
104,121,98,95,6846818
82,71,52,96,5392180
94,66,37,97,6177317
93,64,41,98,6111273
88,52,23,99,5780503
89,80,68,100,5853252
97,53,20,101,6370580
83,68,54,102,5456950
75,61,53,103,4930869
109,75,46,104,7162670
50,23,14,105,3282702
75,33,17,106,4923665
54,12,47,107,3542063
30,33,100,108,1974628
36,9,6,109,2361606
109,20,21,110,7148565
105,61,61,111,6896957
89,89,84,112,5855572
125,111,104,113,8220520
93,88,87,114,6117463
88,84,74,115,5788746
79,71,46,116,5195566
51,37,50,117,3351858
25,25,37,118,1644837
48,40,60,119,3156028
92,71,86,120,6047574
26,30,32,121,1711648
26,25,32,122,1710368
67,48,68,123,4403268
54,34,36,124,3547684
84,67,32,125,5522208
54,46,53,126,3550773
122,108,92,127,8023132
149,136,127,128,9799807
79,69,39,129,5195047
23,55,58,130,1521466
68,76,9,131,4475913
49,68,14,132,3228686
45,51,22,133,2962198
55,61,31,134,3620127
40,45,23,135,2632983
6,12,15,136,396303
59,60,27,137,3882011
68,83,32,138,4477728
104,121,20,139,6846740
84,68,40,140,5522472
20,18,44,141,1315372
46,42,20,142,3025428
16,37,57,143,1058105
49,44,22,144,3222550
57,75,27,145,3754779
25,25,11,146,1644811
96,67,41,147,6308649
76,72,45,148,4999213
86,91,32,149,5659424
65,74,37,150,4278821
63,71,33,151,4146977
28,36,17,152,1844241
60,62,22,153,3948054
14,18,7,154,922119
30,38,11,155,1975819
88,95,41,156,5791529
54,57,26,157,3553562
11,11,6,158,723718
24,33,19,159,1581331
68,104,61,160,4483133
92,80,44,161,6049836
9,7,14,162,591630
11,14,19,163,724499
19,22,20,164,1250836
17,22,23,165,1119767
19,23,20,166,1251092
14,22,26,167,923162
13,16,20,168,856084
89,93,46,169,5856558
8,11,11,170,527115
7,7,6,171,460550
4,5,5,172,263429
7,9,8,173,461064
113,80,9,174,7426057
21,18,5,175,1380869
55,47,9,176,3616521
0,0,0,177,0
92,74,27,178,6048283
132,83,35,179,8672035
96,85,51,180,6313267
82,104,109,181,5400685
88,89,99,182,5790051
71,94,98,183,4677218
38,49,48,184,2502960
63,64,56,185,4145208
59,59,51,186,3881779
91,93,84,187,5987668
106,98,83,188,6971987
98,117,127,189,6452607
15,16,12,190,987148
25,19,21,191,1643285
14,13,14,192,920846
22,20,21,193,1446933
2,2,2,194,131586
11,14,18,195,724498
12,13,16,196,789776
13,16,22,197,856086
16,16,20,198,1052692
14,15,17,199,921361
10,12,15,200,658447
14,16,21,201,921621
13,13,19,202,855315
12,15,21,203,790293
15,19,26,204,987930
14,17,25,205,921881
10,14,19,206,658963
82,59,37,207,5389093
