r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
26,42,86,2,1714774
37,30,53,3,2432565
70,86,122,4,4609658
24,40,70,5,1583174
24,26,34,6,1579554
54,46,63,7,3550783
53,76,108,8,3492972
63,82,124,9,4149884
37,41,51,10,2435379
59,38,28,11,3876380
20,25,31,12,1317151
69,56,39,13,4536359
47,37,30,14,3089694
75,53,41,15,4928809
68,86,93,16,4478557
102,107,109,17,6712173
74,78,78,18,4869710
95,95,86,19,6250326
124,81,115,20,8147315
95,86,79,21,6248015
106,93,84,22,6970708
63,57,52,23,4143412
105,97,91,24,6906203
86,84,76,25,5657676
92,90,82,26,6052434
104,97,91,27,6840667
90,101,98,28,5924194
44,59,67,29,2898755
51,87,117,30,3364725
95,65,50,31,6242610
94,66,47,32,6177327
54,48,54,33,3551286
52,58,51,34,3422771
46,28,32,35,3021856
26,19,18,36,1708818
48,41,34,37,3156258
77,58,71,38,5061191
26,13,13,39,1707277
30,16,18,40,1970194
38,19,19,41,2495251
59,51,53,42,3879733
63,42,48,43,4139568
40,36,37,44,2630693
27,30,43,45,1777195
19,31,31,46,1253151
66,38,32,47,4335136
250,245,241,48,16446961
25,31,38,49,1646374
34,60,66,50,2243650
46,48,51,51,3026995
38,36,34,52,2499618
68,63,57,53,4472633
85,70,54,54,5588534
113,101,85,55,7431509
95,92,85,56,6249557
29,78,90,57,1920602
24,19,18,58,1577746
98,90,81,59,6445649
69,59,56,60,4537144
110,110,106,61,7237226
94,89,91,62,6183259
91,79,72,63,5984072
99,89,102,64,6510950
115,103,79,65,7563087
10,11,17,66,658193
31,45,46,67,2043182
34,50,58,68,2241082
15,18,23,69,987671
18,22,29,70,1185309
115,109,106,71,7564650
110,111,82,72,7237458
118,117,91,73,7763291
32,89,95,74,2120031
75,42,28,75,4925980
61,43,34,76,4008738
91,71,56,77,5982008
79,57,49,78,5191985
51,33,28,79,3350812
69,48,40,80,4534312
84,72,60,81,5523516
93,64,52,82,6111284
77,55,43,83,5060395
97,86,74,84,6379082
53,38,46,85,3483182
80,72,62,86,5261374
99,102,82,87,6514258
31,16,19,88,2035731
124,93,79,89,8150351
36,31,38,90,2367270
59,49,42,91,3879210
30,27,28,92,1973020
20,14,17,93,1314321
29,28,27,94,1907739
20,23,22,95,1316630
39,35,35,96,2564899
61,52,46,97,4011054
69,53,47,98,4535599
18,17,19,99,1184019
47,56,48,100,3094576
23,32,38,101,1515558
14,53,58,102,931130
94,76,60,103,6179900
124,54,20,104,8140308
71,53,50,105,4666674
105,78,71,106,6901319
81,58,53,107,5323317
89,76,74,108,5852234
99,77,68,109,6507844
77,53,49,110,5059889
107,73,60,111,7031100
121,112,78,112,7958606
45,75,74,113,2968394
92,103,97,114,6055777
127,105,87,115,8350039
133,109,97,116,8744289
131,112,90,117,8613978
79,58,55,118,5192247
46,32,35,119,3022883
99,81,73,120,6508873
114,79,92,121,7491420
147,100,92,122,9659484
189,110,121,123,12414585
149,63,88,124,9781080
110,24,45,125,7215149
73,58,100,126,4799076
57,42,64,127,3746368
12,13,13,128,789773
23,23,22,129,1513238
32,19,27,130,2102043
79,107,127,131,5204863
91,121,155,132,5994907
38,50,60,133,2503228
64,68,80,134,4211792
42,54,59,135,2766395
51,51,55,136,3355447
43,39,43,137,2828075
56,45,59,138,3681595
33,43,55,139,2173751
36,18,21,140,2363925
74,30,38,141,4857382
73,26,34,142,4790818
65,31,35,143,4267811
69,35,38,144,4530982
21,31,46,145,1384238
4,40,61,146,272445
35,38,54,147,2303542
82,84,91,148,5395547
120,101,87,149,7890263
130,110,93,150,8547933
30,35,50,151,1975090
35,42,62,152,2304574
25,32,46,153,1646638
97,102,111,154,6383215
81,97,116,155,5333364
160,177,196,156,10531268
112,132,158,157,7373982
106,120,139,158,6977675
62,76,105,159,4082793
81,94,114,160,5332594
85,90,117,161,5593717
101,101,102,162,6645094
27,31,38,163,1777446
134,121,142,164,8812942
177,208,234,165,11653354
45,59,88,166,2964312
122,132,164,167,8029348
84,101,127,168,5531007
102,107,139,169,6712203
97,84,116,170,6378612
205,166,182,171,13477558
45,14,24,172,2952728
32,54,82,173,2111058
58,36,96,174,3810400
109,67,130,175,7160706
109,60,115,176,7158899
116,74,130,177,7621250
111,72,132,178,7293060
85,90,105,179,5593705
77,89,98,180,5069154
152,160,171,181,10002603
114,94,72,182,7495240
107,105,103,183,7039335
126,90,59,184,8280635
176,48,67,185,11546691
167,127,126,186,10977150
159,158,151,187,10460823
166,208,201,188,10932425
154,142,144,189,10129040
85,52,110,190,5583982
137,58,117,191,8993397
135,66,121,192,8864377
130,68,120,193,8537208
120,66,117,194,7881333
117,75,120,195,7687032
101,68,111,196,6636655
86,64,104,197,5652584
76,62,101,198,4996709
84,69,106,199,5522794
80,67,105,200,5260137
81,64,101,201,5324901
