r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
27,35,78,2,1778510
3,3,3,3,197379
176,184,205,4,11581645
42,52,79,5,2765903
224,179,171,6,14726059
106,53,94,7,6960478
113,99,139,8,7431051
145,108,136,9,9530504
161,177,159,10,10596767
127,126,177,11,8355505
119,72,33,12,7817249
177,147,154,13,11637658
31,39,54,14,2041654
95,33,104,15,6234472
109,112,80,16,7172176
123,110,96,17,8089184
120,103,144,18,7890832
89,88,84,19,5855316
124,95,136,20,8150920
120,93,129,21,7888257
108,96,142,22,7102606
143,124,104,23,9403496
115,93,139,24,7560587
117,89,130,25,7690626
99,108,160,26,6515872
102,84,121,27,6706297
65,36,113,28,4269169
90,71,141,29,5916557
66,63,136,30,4341640
91,72,140,31,5982348
110,104,128,32,7235712
38,32,25,33,2498585
118,87,128,34,7755648
120,79,138,35,7884682
94,78,97,36,6180449
128,87,151,37,8411031
90,81,120,38,5919096
36,43,61,39,2370365
164,77,107,40,10767723
35,43,61,41,2304829
94,52,147,42,6173843
106,66,162,43,6963874
115,78,145,44,7556753
124,105,77,45,8153421
139,109,153,46,9137561
150,136,104,47,9865320
137,105,118,48,9005430
134,120,103,49,8812647
131,104,171,50,8612011
76,47,120,51,4992888
207,213,224,52,13620704
170,152,184,53,11180216
175,154,169,54,11508393
115,100,148,55,7562388
95,86,75,56,6248011
108,88,125,57,7100541
53,35,45,58,3482413
44,35,46,59,2892590
76,30,27,60,4988443
129,72,59,61,8472635
115,113,129,62,7565697
47,37,31,63,3089695
129,129,148,64,8487316
116,103,85,65,7628629
158,139,156,66,10390428
130,104,132,67,8546436
82,57,109,68,5388653
122,73,63,69,8014143
176,118,109,70,11564653
162,129,135,71,10649991
150,111,121,72,9858937
143,119,112,73,9402224
131,104,146,74,8611986
147,128,148,75,9666708
174,157,197,76,11443653
135,82,81,77,8868433
135,104,125,78,8874109
108,102,96,79,7104096
106,73,82,80,6965586
135,102,114,81,8873586
178,161,205,82,11706829
94,90,108,83,6183532
94,90,85,84,6183509
218,221,224,85,14343648
237,235,231,86,15592423
236,221,222,87,15523294
160,142,174,88,10522286
118,114,146,89,7762578
128,117,200,90,8418760
119,104,139,91,7825547
58,44,40,92,3812392
111,79,100,93,7294820
41,33,31,94,2695455
133,117,140,95,8746380
122,99,115,96,8020851
146,103,136,97,9594760
127,100,130,98,8348802
149,113,144,99,9793936
146,125,156,100,9600412
130,82,71,101,8540743
91,87,117,102,5986165
101,79,119,103,6639479
99,75,108,104,6507372
50,45,59,105,3288379
95,90,94,106,6249054
20,12,48,107,1313840
48,45,54,108,3157302
44,33,49,109,2892081
130,127,121,110,8552313
143,111,92,111,9400156
93,90,92,112,6117980
49,27,60,113,3218236
76,55,90,114,4994906
32,30,29,115,2104861
39,35,37,116,2564901
80,47,52,117,5254964
57,53,71,118,3749191
71,53,79,119,4666703
79,39,128,120,5187456
166,106,155,121,10906267
127,94,145,122,8347281
67,80,88,123,4411480
95,100,162,124,6251682
115,92,146,125,7560338
76,61,102,126,4996454
66,50,40,127,4338216
106,85,107,128,6968683
144,121,152,129,9468312
95,81,100,130,6246756
164,162,175,131,10789551
100,87,122,132,6575994
154,110,104,133,10120808
17,19,32,134,1119008
10,11,16,135,658192
40,48,62,136,2633790
64,66,74,137,4211274
71,77,89,138,4672857
16,13,28,139,1051932
80,123,148,140,5274516
86,96,112,141,5660784
20,16,32,142,1314848
26,27,33,143,1710881
24,22,27,144,1578523
28,29,45,145,1842477
32,26,31,146,2103839
13,14,23,147,855575
57,43,52,148,3746612
65,64,65,149,4276289
92,62,71,150,6045255
61,53,29,151,4011293
98,97,178,152,6447538
133,105,112,153,8743280
111,99,106,154,7299946
94,79,107,155,6180715
105,101,130,156,6907266
35,33,47,157,2302255
89,101,111,158,5858671
53,52,68,159,3486788
63,58,74,160,4143690
52,38,51,161,3417651
155,139,139,162,10193803
76,79,135,163,5001095
92,79,108,164,6049644
85,57,36,165,5585188
99,61,41,166,6503721
127,122,144,167,8354448
86,78,113,168,5656177
158,130,164,169,10388132
164,135,149,170,10782613
132,110,147,171,8679059
79,8,19,172,5179411
161,172,187,173,10595515
34,47,69,174,2240325
50,25,85,175,3283285
34,42,63,176,2239039
42,46,62,177,2764350
23,36,59,178,1516603
21,33,59,179,1384763
30,43,65,180,1977153
23,36,58,181,1516602
24,35,61,182,1581885
27,38,62,183,1779262
27,39,59,184,1779515
26,38,64,185,1713728
21,34,61,186,1385021
