r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
28,45,89,2,1846617
61,97,150,3,4022678
67,74,135,4,4409991
11,21,4,5,726276
113,144,164,6,7442596
41,40,45,7,2697261
141,99,64,8,9265984
109,65,40,9,7160104
53,27,12,10,3480332
128,112,97,11,8417377
184,175,170,12,12103594
163,170,141,13,10726029
94,189,193,14,6208961
151,145,135,15,9933191
99,63,50,16,6504242
114,94,56,17,7495224
119,114,95,18,7828063
125,118,78,19,8222286
124,93,50,20,8150322
108,58,51,21,7092787
75,38,37,22,4924965
146,88,120,23,9590904
132,106,64,24,8677952
38,37,39,25,2499879
86,58,48,26,5650992
100,95,78,27,6577998
94,104,71,28,6187079
104,96,89,29,6840409
114,98,79,30,7496271
131,124,107,31,8617067
27,36,59,32,1778747
100,87,60,33,6575932
112,100,68,34,7365700
93,87,53,35,6117173
121,115,85,36,7959381
109,113,56,37,7172408
44,165,150,38,2925974
176,164,188,39,11576508
38,74,85,40,2509397
108,81,54,41,7098678
153,144,123,42,10063995
118,76,56,43,7752760
26,20,17,44,1709073
61,37,14,45,4007182
25,17,12,46,1642764
32,117,175,47,2127279
10,18,24,48,659992
68,43,31,49,4467487
143,148,161,50,9409697
82,143,235,51,5410795
84,134,132,52,5539460
7,10,15,53,461327
50,58,64,54,3291712
12,19,23,55,791319
12,20,24,56,791576
11,15,18,57,724754
61,34,19,58,4006419
36,26,22,59,2365974
27,8,8,60,1771528
37,14,8,61,2428424
42,15,7,62,2756359
14,22,37,63,923173
19,71,97,64,1263457
12,111,142,65,814990
116,168,183,66,7645367
175,218,230,67,11524838
125,144,148,68,8229012
15,28,45,69,990253
13,17,24,70,856344
8,13,21,71,527637
159,174,215,72,10464983
170,188,194,73,11189442
110,78,63,74,7228991
126,91,79,75,8280911
119,114,126,76,7828094
162,154,162,77,10656418
133,119,124,78,8746876
154,144,151,79,10129559
117,77,67,80,7687491
147,123,106,81,9665386
147,67,51,82,9650995
31,21,13,83,2037005
117,95,90,84,7692122
43,36,33,85,2827297
140,124,111,86,9206895
167,197,226,87,10995170
121,113,110,88,7958894
95,69,66,89,6243650
88,58,55,90,5782071
130,96,85,91,8544341
116,104,127,92,7628927
105,68,69,93,6898757
112,70,69,94,7358021
101,61,60,95,6634812
135,107,112,96,8874864
110,78,81,97,7229009
139,91,90,98,9132890
85,57,74,99,5585226
72,44,59,100,4729915
86,37,40,101,5645608
128,77,85,102,8408405
66,37,50,103,4334898
50,32,53,104,3285045
60,38,62,105,3941950
62,32,48,106,4071472
6,11,32,107,396064
70,51,68,108,4600644
54,57,38,109,3553574
59,64,66,110,3883074
59,55,50,111,3880754
107,101,90,112,7038298
99,97,89,113,6512985
109,123,130,114,7175042
116,115,109,115,7631725
95,103,103,116,6252391
67,50,67,117,4403779
39,35,85,118,2564949
56,47,61,119,3682109
65,43,50,120,4270898
94,63,63,121,6176575
77,45,52,122,5057844
95,58,73,123,6240841
94,61,76,124,6176076
49,32,46,125,3219502
80,49,46,126,5255470
50,35,49,127,3285809
66,43,46,128,4336430
26,59,82,129,1719122
11,24,31,130,727071
15,36,64,131,992320
61,70,112,132,4015728
95,76,91,133,6245467
119,95,97,134,7823201
9,7,57,135,591673
17,32,76,136,1122380
16,28,67,137,1055811
11,22,58,138,726586
12,22,59,139,792123
15,26,51,140,989747
15,25,60,141,989500
21,34,77,142,1385037
155,80,85,143,10178645
120,90,123,144,7887483
121,93,121,145,7953785
84,127,181,146,5537717
22,25,31,147,1448223
34,32,39,148,2236455
32,30,39,149,2104871
12,11,16,150,789264
17,24,31,151,1120287
44,28,28,152,2890780
16,23,23,153,1054487
17,26,26,154,1120794
24,23,21,155,1578773
18,25,24,156,1186072
15,25,28,157,989468
10,33,37,158,663845
14,20,27,159,922651
35,42,103,160,2304615
18,26,65,161,1186369
9,12,28,162,592924
25,29,72,163,1645896
52,104,205,164,3434701
17,32,85,165,1122389
13,16,18,166,856082
13,20,23,167,857111
103,103,106,168,6776682
161,114,69,169,10580549
56,44,38,170,3681318
39,48,51,171,2568243
118,45,21,172,7744789
143,73,42,173,9390378
101,44,21,174,6630421
51,26,24,175,3349016
47,41,38,176,3090726
72,36,25,177,4727833
46,33,26,178,3023130
87,64,58,179,5718074
110,69,54,180,7226678
88,127,132,181,5799812
109,187,204,182,7191500
87,123,130,183,5733250
54,109,113,184,3566961
87,149,155,185,5739931
89,161,141,186,5874061
107,122,124,187,7043708
186,164,143,188,12231823
95,100,75,189,6251595
128,151,141,190,8427405
148,110,114,191,9727602
134,129,188,192,8815036
131,109,133,193,8613253
35,35,33,194,2302753
43,26,15,195,2824719
55,41,22,196,3614998
60,48,22,197,3944470
21,17,14,198,1380622
167,141,97,199,10980705
170,142,99,200,11177571
169,139,96,201,11111264
169,140,97,202,11111521
173,145,101,203,11374949
171,142,99,204,11243107
174,146,103,205,11440743
169,140,96,206,11111520
169,140,95,207,11111519
173,144,99,208,11374691
172,142,98,209,11308642
173,146,103,210,11375207
168,140,97,211,11045985
