r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
27,43,89,2,1780569
12,34,28,3,795164
52,35,37,4,3416869
43,34,46,5,2826798
35,31,44,6,2301740
50,36,37,7,3286053
170,144,130,8,11178114
139,105,123,9,9136507
165,147,150,10,10851222
148,134,150,11,9733782
146,126,131,12,9600643
64,83,94,13,4215646
66,47,32,14,4337440
136,126,163,15,8945315
56,79,118,16,3690358
122,142,116,17,8031860
110,81,89,18,7229785
166,128,129,19,10911873
155,84,68,20,10179652
181,142,129,21,11898497
88,117,123,22,5797243
150,157,213,23,9870805
35,75,95,24,2313055
135,114,127,25,8876671
90,74,74,26,5917258
84,61,41,27,5520681
31,27,37,28,2038565
200,165,167,29,13149607
144,116,98,30,9466978
143,129,120,31,9404792
126,128,118,32,8290422
104,100,99,33,6841443
108,103,99,34,7104355
128,102,91,35,8414811
106,78,82,36,6966866
108,94,88,37,7102040
139,104,89,38,9136217
194,140,131,39,12749955
178,124,113,40,11697265
159,113,108,41,10449260
156,118,114,42,10253938
144,99,88,43,9462616
176,129,107,44,11567467
102,74,73,45,6703689
159,161,207,46,10461647
117,92,97,47,7691361
108,80,87,48,7098455
135,105,111,49,8874351
119,86,90,50,7820890
117,84,85,51,7689301
90,62,69,52,5914181
158,115,113,53,10384241
74,82,68,54,4870724
50,41,30,55,3287326
58,48,36,56,3813412
147,115,119,57,9663351
134,106,105,58,8809065
110,85,78,59,7230798
139,111,98,60,9138018
150,130,139,61,9863819
152,130,154,62,9994906
146,112,77,63,9597005
90,73,56,64,5916984
101,95,73,65,6643529
105,84,63,66,6902847
89,87,75,67,5855051
130,124,104,68,8551528
133,127,124,69,8748924
96,101,81,70,6317393
109,91,102,71,7166822
169,139,142,72,11111310
104,90,97,73,6838881
93,81,98,74,6115682
133,108,120,75,8744056
36,30,38,76,2367014
43,30,37,77,2825765
121,146,144,78,7967376
138,141,121,79,9080185
139,139,119,80,9145207
144,146,127,81,9474687
143,105,83,82,9398611
155,113,94,83,10187102
184,138,114,84,12094066
148,109,84,85,9727316
134,99,73,86,8807241
156,117,88,87,10253656
134,98,73,88,8806985
155,115,86,89,10187606
30,27,28,90,1973020
32,83,117,91,2118517
14,66,117,92,934517
21,48,77,93,1388621
7,35,69,94,467781
6,39,72,95,403272
12,14,22,96,790038
24,17,12,97,1577228
32,29,31,98,2104607
30,29,34,99,1973538
37,32,32,100,2433056
44,39,37,101,2893605
42,39,38,102,2762534
82,49,44,103,5386540
83,48,41,104,5451817
32,29,22,105,2104598
65,70,85,106,4277845
27,20,11,107,1774603
21,22,16,108,1381904
75,62,48,109,4931120
19,27,29,110,1252125
17,27,28,111,1121052
7,12,13,112,461837
12,16,20,113,790548
38,39,41,114,2500393
41,37,37,115,2696485
36,36,38,116,2368550
14,16,26,117,921626
87,60,35,118,5717027
60,52,49,119,3945521
32,21,24,120,2102552
91,61,71,121,5979463
108,92,121,122,7101561
169,166,133,123,11118213
58,53,54,124,3814710
58,59,65,125,3816257
50,50,50,126,3289650
13,27,41,127,858921
44,40,41,128,2893865
26,38,45,129,1713709
30,47,52,130,1978164
8,12,14,131,527374
6,12,38,132,396326
11,20,31,133,726047
11,16,30,134,725022
21,25,33,135,1382689
16,20,27,136,1053723
69,10,14,137,4524558
188,143,205,138,12357581
101,77,139,139,6638987
88,60,59,140,5782587
163,112,92,141,10711132
166,105,79,142,10905935
96,76,66,143,6310978
81,68,71,144,5325895
98,67,53,145,6439733
90,76,74,146,5917770
114,85,82,147,7492946
103,88,84,148,6772820
99,96,107,149,6512747
56,95,112,150,3694448
48,49,46,151,3158318
193,143,142,152,12685198
70,42,48,153,4598320
67,40,45,154,4401197
60,36,36,155,3941412
135,135,138,156,8882058
147,146,148,157,9671316
101,104,120,158,6645880
130,121,134,159,8550790
65,76,89,160,4279385
50,30,24,161,3284504
41,38,39,162,2696743
32,30,31,163,2104863
133,139,145,164,8752017
137,132,144,165,9012368
109,84,96,166,7165024
38,29,31,167,2497823
13,8,6,168,854022
48,15,27,169,3149595
63,56,38,170,4143142
31,20,12,171,2036748
49,3,33,172,3212065
32,17,11,173,2101515
75,54,45,174,4929069
114,95,101,175,7495525
120,107,120,176,7891832
45,33,21,177,2957589
34,39,47,178,2238255
35,38,43,179,2303531
24,32,38,180,1581094
21,24,28,181,1382428
30,29,27,182,1973531
49,32,21,183,3219477
48,37,31,184,3155231
106,68,33,185,6964257
42,24,7,186,2758663
111,94,79,187,7298639
165,138,142,188,10848910
119,112,105,189,7827561
70,70,101,190,4605541
134,111,108,191,8810348
91,75,90,192,5983066
110,75,112,193,7228272
52,41,81,194,3418449
47,109,101,195,3108197
111,25,89,196,7280985
176,107,62,197,11561790
129,18,56,198,8458808
63,104,141,199,4155533
49,45,73,200,3222857
34,33,64,201,2236736
29,25,39,202,1906983
37,29,45,203,2432301
39,37,45,204,2565421
39,35,43,205,2564907
35,34,42,206,2302506
28,23,38,207,1840934
32,23,40,208,2103080
38,34,39,209,2499111
27,23,36,210,1775396
31,24,35,211,2037795
37,30,40,212,2432552
36,36,41,213,2368553
37,31,39,214,2432807
