r,g,b,x,y,h,s,v
33,68,25,0,2180121,108.83720930232558,0.6323529411764707,0.26666666666666666
33,68,25,1,2180121,108.83720930232558,0.6323529411764707,0.26666666666666666
32,48,106,2,2109546,227.02702702702703,0.6981132075471699,0.41568627450980394
75,32,44,3,4923436,343.25581395348837,0.5733333333333334,0.29411764705882354
123,90,187,4,8084155,260.41237113402065,0.5187165775401069,0.7333333333333333
126,65,81,5,8274257,344.26229508196724,0.4841269841269842,0.49411764705882355
127,166,208,6,8365776,211.11111111111111,0.3894230769230769,0.8156862745098039
166,73,68,7,10897732,3.0612244897959044,0.5903614457831325,0.6509803921568628
91,53,35,8,5977379,19.285714285714278,0.6153846153846153,0.3568627450980392
82,55,58,9,5388090,353.3333333333333,0.32926829268292684,0.3215686274509804
159,103,88,10,10446680,12.676056338028161,0.44654088050314467,0.6235294117647059
132,105,91,11,8677723,20.48780487804879,0.31060606060606066,0.5176470588235295
109,79,99,12,7163747,320.0,0.2752293577981651,0.42745098039215684
20,9,19,13,1313043,305.45454545454544,0.55,0.0784313725490196
137,105,90,14,9005402,19.148936170212778,0.34306569343065685,0.5372549019607843
131,94,77,15,8609357,18.888888888888914,0.41221374045801523,0.5137254901960784
134,90,67,16,8804931,20.597014925373117,0.5,0.5254901960784314
135,101,86,17,8873302,18.367346938775484,0.36296296296296293,0.5294117647058824
165,113,98,18,10842466,13.432835820895491,0.40606060606060607,0.6470588235294118
100,63,53,19,6569781,12.7659574468085,0.47,0.39215686274509803
99,55,50,20,6502194,6.122448979591866,0.494949494949495,0.38823529411764707
119,54,58,21,7812666,356.3076923076923,0.5462184873949579,0.4666666666666667
111,53,62,22,7288126,350.6896551724138,0.5225225225225225,0.43529411764705883
75,56,47,23,4929583,19.285714285714278,0.3733333333333333,0.29411764705882354
19,9,6,24,1247494,13.846153846153868,0.6842105263157895,0.07450980392156863
106,51,20,25,6959892,21.627906976744214,0.8113207547169812,0.41568627450980394
67,36,61,26,4400189,311.61290322580646,0.4626865671641791,0.2627450980392157
102,64,134,27,6701190,272.57142857142856,0.5223880597014926,0.5254901960784314
78,33,38,28,5120294,353.3333333333333,0.5769230769230769,0.3058823529411765
