r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
91,6,3,2,5965315
2,2,2,3,131586
118,108,99,4,7760995
62,51,43,5,4076331
85,76,74,6,5590090
45,39,40,7,2959144
84,51,34,8,5518114
60,53,44,9,3945772
26,22,19,10,1709587
80,34,5,11,5251589
80,61,60,12,5258556
62,53,50,13,4076850
78,56,54,14,5126198
41,36,39,15,2696231
43,36,34,16,2827298
110,111,110,17,7237486
43,30,22,18,2825750
35,39,45,19,2303789
27,26,32,20,1776160
88,63,75,21,5783371
44,26,33,22,2890273
61,40,48,23,4007984
63,34,31,24,4137503
87,51,45,25,5714733
66,39,37,26,4335397
68,41,39,27,4466983
60,39,39,28,3942183
30,41,41,29,1976617
31,32,45,30,2039853
29,29,37,31,1908005
27,29,31,32,1776927
25,34,42,33,1647146
55,37,32,34,3613984
49,43,53,35,3222325
46,33,33,36,3023137
78,56,64,37,5126208
15,9,10,38,985354
79,61,68,39,5193028
43,36,43,40,2827307
38,31,40,41,2498344
63,38,53,42,4138549
60,50,72,43,3945032
66,48,42,44,4337706
40,23,18,45,2627346
48,26,21,46,3152405
37,21,19,47,2430227
52,59,44,48,3423020
106,89,85,49,6969685
106,104,103,50,6973543
141,119,115,51,9271155
68,37,22,52,4465942
79,78,75,53,5197387
117,123,118,54,7699318
108,81,84,55,7098708
108,99,83,56,7103315
142,106,88,57,9333336
24,25,40,58,1579304
123,87,60,59,8083260
87,59,53,60,5716789
124,88,60,61,8149052
25,23,31,62,1644319
64,45,40,63,4205864
115,63,56,64,7552824
74,50,60,65,4862524
61,28,21,66,4004885
173,83,77,67,11359053
150,83,108,68,9851756
4,25,4,69,268548
117,83,96,70,7689056
39,40,39,71,2566183
35,31,32,72,2301728
29,28,34,73,1907746
36,33,39,74,2367783
45,30,27,75,2956827
121,58,36,76,7944740
27,20,17,77,1774609
25,20,27,78,1643547
29,22,25,79,1906201
40,31,29,80,2629405
45,36,27,81,2958363
26,35,46,82,1712942
76,49,44,83,4993324
3,5,6,84,197894
7,8,16,85,460816
58,33,33,86,3809569
46,43,45,87,3025709
66,58,57,88,4340281
89,69,56,89,5850424
28,21,20,90,1840404
32,26,39,91,2103847
14,35,60,92,926524
31,22,23,93,2037271
35,17,6,94,2298118
30,23,27,95,1971995
74,30,17,96,4857361
101,65,57,97,6635833
152,131,97,98,9995105
73,46,41,99,4795945
66,50,52,100,4338228
72,56,55,101,4732983
74,55,57,102,4863801
103,75,62,103,6769470
83,62,67,104,5455427
62,53,79,105,4076879
101,57,62,106,6633790
71,36,34,107,4662306
84,45,53,108,5516597
65,34,34,109,4268578
110,110,115,110,7237235
96,57,46,111,6306094
111,71,59,112,7292731
108,63,53,113,7094069
12,3,2,114,787202
53,65,69,115,3490117
50,36,20,116,3286036
37,27,15,117,2431759
20,14,6,118,1314310
3,5,5,119,197893
13,20,21,120,857109
47,50,43,121,3093035
95,115,137,122,6255497
34,28,21,123,2235413
20,22,23,124,1316375
27,16,26,125,1773594
84,48,49,126,5517361
101,41,33,127,6629665
86,42,55,128,5646903
80,41,51,129,5253427
96,44,46,130,6302766
103,62,69,131,6766149
115,63,52,132,7552820
86,45,41,133,5647657
95,51,45,134,6239021
22,19,20,135,1446676
17,20,31,136,1119263
112,79,75,137,7360331
105,93,91,138,6905179
102,69,67,139,6702403
45,46,48,140,2960944
64,52,52,141,4207668
45,44,46,142,2960430
52,60,64,143,3423296
15,15,22,144,986902
28,15,18,145,1838866
18,13,19,146,1182995
22,15,18,147,1445650
18,9,9,148,1181961
15,11,12,149,985868
15,11,14,150,985870
133,110,104,151,8744552
96,94,104,152,6315624
39,29,54,153,2563382
85,77,120,154,5590392
51,38,70,155,3352134
96,87,132,156,6313860
0,0,0,157,0
10,27,40,158,662312
6,22,35,159,398883
5,21,34,160,333090
12,39,58,161,796474
11,38,53,162,730677
37,38,44,163,2434604
51,33,39,164,3350823
127,134,170,165,8357546
68,41,32,166,4466976
41,16,14,167,2691086
67,46,41,168,4402729
89,66,49,169,5849649
60,48,40,170,3944488
13,15,15,171,855823
22,15,11,172,1445643
13,14,15,173,855567
13,14,15,174,855567
20,27,32,175,1317664
63,74,75,176,4147787
140,147,169,177,9212841
44,49,38,178,2896166
32,32,29,179,2105373
48,65,74,180,3162442
37,46,44,181,2436652
43,45,43,182,2829611
18,22,30,183,1185310
128,108,108,184,8416364
62,54,55,185,4077111
29,20,20,186,1905684
107,63,55,187,7028535
68,42,34,188,4467234
56,40,56,189,3680312
20,30,41,190,1318441
78,59,68,191,5126980
71,64,70,192,4669510
118,74,89,193,7752281
91,64,74,194,5980234
73,61,77,195,4799821
132,94,106,196,8674922
102,93,100,197,6708580
37,30,28,198,2432540
146,87,92,199,9590620
22,32,42,200,1450026
108,78,82,201,7097938
171,78,81,202,11226705
74,50,65,203,4862529
35,30,28,204,2301468
125,80,75,205,8212555
125,62,75,206,8207947
113,71,93,207,7423837
29,66,65,208,1917505
130,59,69,209,8534853
184,114,126,210,12087934
53,35,41,211,3482409
58,41,46,212,3811630
152,106,86,213,9988694
100,48,52,214,6565940
123,73,69,215,8079685
126,82,84,216,8278612
128,86,65,217,8410689
24,40,73,218,1583177
93,87,67,219,6117187
102,67,175,220,6701999
9,36,63,221,599103
13,14,16,222,855568
24,25,22,223,1579286
24,24,24,224,1579032
18,19,19,225,1184531
22,21,20,226,1447188
19,17,15,227,1249551
21,21,22,228,1381654
32,30,29,229,2104861
14,13,13,230,920845
27,27,29,231,1776413
25,23,23,232,1644311
29,27,27,233,1907483
