r,g,b,x,y
0,0,0,0,0
0,0,0,1,0
28,44,86,2,1846358
26,37,46,3,1713454
57,49,54,4,3748150
69,42,48,5,4532784
109,131,131,6,7177091
26,35,50,7,1712946
21,44,49,8,1387569
110,69,63,9,7226687
120,84,61,10,7885885
80,52,40,11,5256232
123,95,69,12,8085317
123,93,71,13,8084807
193,128,110,14,12681326
178,55,74,15,11679562
203,132,104,16,13337704
102,57,50,17,6699314
95,48,43,18,6238251
105,65,54,19,6897974
106,69,57,20,6964537
58,37,29,21,3810589
142,98,74,22,9331274
86,41,36,23,5646628
56,25,26,24,3676442
46,21,28,25,3020060
29,16,38,26,1904678
125,85,76,27,8213836
121,67,54,28,7947062
144,90,65,29,9460289
165,111,86,30,10841942
60,37,49,31,3941681
60,37,44,32,3941676
41,26,45,33,2693677
51,24,45,34,3348525
15,16,21,35,987157
93,76,51,36,6114355
40,19,15,37,2626319
16,20,17,38,1053713
31,52,45,39,2044973
27,63,43,40,1785643
108,51,45,41,7090989
104,137,163,42,6850979
126,152,161,43,8296609
142,148,144,44,9344144
108,72,53,45,7096373
146,145,151,46,9605527
119,98,89,47,7823961
73,112,104,48,4812904
161,175,205,49,10596301
168,131,185,50,11043769
131,82,122,51,8606330
185,162,122,52,12165754
174,160,117,53,11444341
151,138,114,54,9931378
155,117,115,55,10188147
154,117,118,56,10122614
123,142,165,57,8097445
139,150,179,58,9148083
119,150,184,59,7837368
69,48,46,60,4534318
64,39,31,61,4204319
61,51,44,62,4010796
77,40,36,63,5056548
153,104,14,64,10053646
49,31,5,65,3219205
44,33,24,66,2892056
31,17,2,67,2035970
54,36,4,68,3548164
44,28,3,69,2890755
24,15,1,70,1576705
159,92,21,71,10443797
126,99,12,72,8282892
98,71,10,73,6440714
168,110,17,74,11038225
39,16,2,75,2560002
208,140,30,76,13667358
132,61,9,77,8666377
137,73,11,78,8997131
141,76,13,79,9260045
116,55,8,80,7616264
124,55,9,81,8140553
113,56,9,82,7419913
95,50,5,83,6238725
131,81,16,84,8605968
126,130,150,85,8290966
169,177,181,86,11121077
98,63,128,87,6438784
107,47,106,88,7024490
88,48,121,89,5779577
136,70,142,90,8930958
86,38,77,91,5645901
90,45,92,92,5909852
85,46,108,93,5582444
113,128,143,94,7438479
115,108,105,95,7564393
101,57,117,96,6633845
135,113,116,97,8876404
108,83,85,98,7099221
148,79,163,99,9719715
113,146,177,100,7443121
117,52,165,101,7681189
109,38,160,102,7153312
63,21,48,103,4134192
80,27,97,104,5249889
118,75,183,105,7752631
60,51,114,106,3945330
58,38,67,107,3810883
79,28,66,108,5184578
55,61,81,109,3620177
157,113,123,110,10318203
124,83,100,111,8147812
119,83,90,112,7820122
86,50,46,113,5648942
128,75,82,114,8407890
129,74,76,115,8473164
127,83,84,116,8344404
129,86,85,117,8476245
90,43,92,118,5909340
82,44,86,119,5385302
111,80,112,120,7295088
80,79,107,121,5263211
117,148,173,122,7705773
128,142,177,123,8425137
131,120,158,124,8616094
107,132,161,125,7046305
97,123,167,126,6388647
92,79,19,127,6049555
73,140,121,128,4820089
91,37,67,129,5973315
250,215,177,130,16439217
21,24,44,131,1382444
103,61,99,132,6765923
65,32,45,133,4268077
96,119,130,134,6322050
84,79,90,135,5525338
115,53,22,136,7550230
99,45,10,137,6499594
108,65,60,138,7094588
67,91,106,139,4414314
83,93,106,140,5463402
56,20,18,141,3675154
36,25,16,142,2365712
57,35,23,143,3744535
43,24,18,144,2824210
45,36,21,145,2958357
26,20,12,146,1709068
166,124,40,147,10910760
155,110,32,148,10186272
148,95,21,149,9723669
117,75,17,150,7686929
100,80,9,151,6574089
178,100,137,152,11691145
122,63,15,153,8011535
1,0,0,154,65536
113,76,114,155,7425138
87,41,65,156,5712193
106,99,165,157,6972325
107,103,167,158,7038887
108,86,128,159,7100032
67,76,94,160,4410462
25,20,39,161,1643559
65,33,59,162,4268347
105,73,101,163,6900069
105,107,100,164,6908772
25,20,16,165,1643536
33,17,9,166,2167049
34,18,10,167,2232842
43,26,59,168,2824763
76,90,133,169,5003909
83,47,87,170,5451607
31,30,35,171,2039331
45,62,73,172,2965065
90,49,67,173,5910851
37,28,49,174,2432049
41,47,63,175,2699071
54,37,68,176,3548484
47,43,68,177,3091268
59,63,69,178,3882821
52,53,73,179,3421513
57,66,71,180,3752519
56,64,72,181,3686472
54,62,80,182,3554896
68,116,147,183,4486291
62,85,110,184,4085102
88,94,130,185,5791362
132,115,130,186,8680322
89,86,79,187,5854799
128,118,122,188,8418938
101,107,121,189,6646649
101,94,118,190,6643318
100,123,124,191,6585212
99,118,146,192,6518418
206,150,127,193,13538943
106,76,67,194,6966339
66,47,41,195,4337449
82,72,75,196,5392459
154,99,90,197,10117978
135,93,72,198,8871240
175,140,220,199,11504860
130,113,113,200,8548721
113,151,183,201,7444407
99,93,30,202,6511902
74,45,36,203,4861220
143,118,97,204,9401953
120,96,88,205,7888984
114,76,71,206,7490631
229,151,173,207,15046573
42,32,45,208,2760749
42,28,45,209,2759725
52,36,41,210,3417129
60,35,41,211,3941161
29,57,51,212,1915187
53,34,49,213,3482161
23,49,56,214,1519928
49,24,56,215,3217464
41,31,57,216,2694969
32,29,51,217,2104627
41,37,57,218,2696505
43,42,55,219,2828855
53,40,55,220,3483703
42,68,55,221,2769975
34,52,69,222,2241605
25,25,43,223,1644843
11,12,18,224,723986
