r,g,b,x,y
211,186,195,0,13875907
211,186,195,1,13875907
36,56,100,2,2373732
66,82,181,3,4346549
99,123,232,4,6519784
23,12,26,5,1510426
28,24,16,6,1841168
56,59,64,7,3685184
111,92,87,8,7298135
102,65,40,9,6701352
106,67,42,10,6964010
23,18,43,11,1511979
28,25,57,12,1841465
26,21,44,13,1709356
23,20,41,14,1512489
12,10,35,15,789027
41,38,54,16,2696758
97,71,89,17,6375257
98,70,62,18,6440510
119,94,79,19,7822927
187,189,238,20,12303854
145,95,78,21,9527118
99,84,86,22,6509654
75,42,53,23,4926005
98,61,72,24,6438216
109,53,67,25,7157059
60,34,41,26,3940905
52,21,13,27,3413261
56,20,16,28,3675152
56,25,19,29,3676435
48,18,7,30,3150343
43,13,6,31,2821382
39,20,35,32,2561059
58,25,36,33,3807524
36,18,36,34,2363940
14,12,58,35,920634
83,38,26,36,5449242
34,12,12,37,2231308
36,25,53,38,2365749
5,10,20,39,330260
2,2,3,40,131587
13,13,31,41,855327
43,22,30,42,2823710
31,36,81,43,2040913
15,18,43,44,987691
19,20,43,45,1250347
30,27,44,46,1973036
4,7,47,47,263983
31,23,34,48,2037538
80,69,56,49,5260600
18,33,58,50,1188154
33,16,9,51,2166793
34,24,25,52,2234393
117,97,102,53,7692646
171,169,221,54,11250141
192,150,225,55,12621537
168,96,108,56,11034732
125,80,77,57,8212557
117,64,64,58,7684160
85,37,27,59,5580059
124,104,120,60,8153208
142,148,172,61,9344172
22,35,49,62,1450801
118,121,144,63,7764368
96,108,141,64,6319245
42,52,67,65,2765891
86,180,254,66,5682430
40,48,73,67,2633801
43,37,45,68,2827565
62,69,101,69,4080997
18,19,27,70,1184539
36,34,44,71,2368044
21,61,104,72,1391976
15,59,104,73,998248
19,18,27,74,1249819
12,20,30,75,791582
27,34,49,76,1778225
42,16,46,77,2756654
160,37,168,78,10495400
49,34,82,79,3220050
12,9,28,80,788764
23,27,68,81,1514308
11,17,47,82,725295
14,13,34,83,920866
26,27,64,84,1710912
23,28,73,85,1514569
25,29,71,86,1645895
18,20,61,87,1184829
41,30,37,88,2694693
10,9,16,89,657680
9,8,14,90,591886
24,18,24,91,1577496
25,17,21,92,1642773
10,15,22,93,659222
7,10,19,94,461331
13,17,27,95,856347
162,136,147,96,10651795
150,118,117,97,9860725
90,70,78,98,5916238
118,89,98,99,7756130
116,80,102,100,7622758
169,108,83,101,11103315
32,10,16,102,2099728
30,27,63,103,1973055
88,48,67,104,5779523
50,33,82,105,3285330
76,73,86,106,4999510
106,106,132,107,6974084
19,16,14,108,1249294
20,18,16,109,1315344
40,28,23,110,2628631
86,86,92,111,5658204
31,30,28,112,2039324
100,90,105,113,6576745
82,79,97,114,5394273
82,80,95,115,5394527
88,78,92,116,5787228
84,63,89,117,5521241
90,69,93,118,5915997
58,45,63,119,3812671
6,5,9,120,394505
7,2,2,121,459266
15,13,13,122,986381
15,63,114,123,999282
15,24,36,124,989220
33,124,200,125,2194632
13,23,37,126,857893
21,28,44,127,1383468
12,37,76,128,795980
51,108,170,129,3370154
42,52,152,130,2765976
33,55,142,131,2176910
2,4,14,132,132110
4,4,20,133,263188
52,53,98,134,3421538
93,112,233,135,6123753
76,193,239,136,5030383
73,179,235,137,4830187
61,187,243,138,4045811
1,10,28,139,68124
46,38,113,140,3024497
7,3,2,141,459522
28,28,46,142,1842222
19,7,4,143,1246980
21,12,12,144,1379340
23,11,8,145,1510152
28,17,18,146,1839378
15,11,14,147,985870
16,22,35,148,1054243
5,4,4,149,328708
7,5,4,150,460036
2,1,1,151,131329
5,4,3,152,328707
11,8,7,153,722951
3,3,4,154,197380
79,58,58,155,5192250
126,105,120,156,8284536
81,83,104,157,5329768
21,12,13,158,1379341
76,73,86,159,4999510
87,73,85,160,5720405
68,51,59,161,4469563
41,36,48,162,2696240
29,19,16,163,1905424
33,37,42,164,2172202
117,132,159,165,7701663
84,103,134,166,5531526
198,169,175,167,13019567
128,63,47,168,8404783
156,87,73,169,10245961
175,142,166,170,11505318
126,115,144,171,8287120
115,87,89,172,7559001
116,97,111,173,7627119
136,128,156,174,8945820
126,108,128,175,8285312
129,112,136,176,8482952
118,85,104,177,7755112
120,104,97,178,7891041
65,57,68,179,4274500
83,79,90,180,5459802
157,181,253,181,10335741
81,90,112,182,5331568
155,175,218,183,10203098
4,5,8,184,263432
65,15,142,185,4263822
16,5,34,186,1049890
6,6,8,187,394760
26,8,47,188,1706031
12,11,11,189,789259
10,9,9,190,657673
10,9,9,191,657673
14,13,13,192,920845
9,8,8,193,591880
10,9,10,194,657674
12,12,12,195,789516
9,9,9,196,592137
11,10,10,197,723466
14,13,13,198,920845
14,14,14,199,921102
9,8,8,200,591880
11,10,10,201,723466
17,16,16,202,1118224
14,13,13,203,920845
19,19,19,204,1250067
