r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
67,48,42,2,4403242,14.399999999999977,0.373134328358209,0.2627450980392157
63,43,34,3,4139810,18.62068965517244,0.46031746031746035,0.24705882352941178
62,43,35,4,4074275,17.77777777777777,0.4354838709677419,0.24313725490196078
65,43,35,5,4270883,16.0,0.46153846153846145,0.2549019607843137
66,45,38,6,4336934,15.0,0.4242424242424243,0.25882352941176473
65,45,38,7,4271398,15.555555555555543,0.41538461538461535,0.2549019607843137
70,50,43,8,4600363,15.555555555555543,0.38571428571428573,0.27450980392156865
70,50,43,9,4600363,15.555555555555543,0.38571428571428573,0.27450980392156865
76,77,73,10,5000521,74.99999999999994,0.05194805194805195,0.30196078431372547
116,108,106,11,7629930,11.999999999999943,0.08620689655172407,0.4549019607843137
116,109,106,12,7630186,17.999999999999943,0.08620689655172407,0.4549019607843137
116,111,110,13,7630702,10.0,0.05172413793103442,0.4549019607843137
48,45,48,14,3157296,300.0,0.062499999999999924,0.18823529411764706
92,88,99,15,6051939,261.8181818181818,0.11111111111111115,0.38823529411764707
39,38,44,16,2565676,250.00000000000003,0.13636363636363635,0.17254901960784313
42,33,46,17,2761006,281.53846153846155,0.28260869565217384,0.1803921568627451
84,59,36,18,5520164,28.75,0.5714285714285714,0.32941176470588235
50,25,48,19,3283248,304.8,0.5,0.19607843137254902
55,31,54,20,3612470,302.5,0.4363636363636364,0.21568627450980393
54,44,53,21,3550261,306.0,0.18518518518518517,0.21176470588235294
48,27,44,22,3152684,311.42857142857144,0.4375,0.18823529411764706
95,79,80,23,6246224,356.25,0.16842105263157894,0.37254901960784315
93,79,81,24,6115153,351.42857142857144,0.15053763440860207,0.36470588235294116
83,74,76,25,5458508,346.6666666666667,0.10843373493975898,0.3254901960784314
111,95,89,26,7298905,16.363636363636374,0.19819819819819826,0.43529411764705883
105,93,82,27,6905170,28.695652173913004,0.21904761904761896,0.4117647058823529
113,101,94,28,7431518,22.10526315789474,0.16814159292035388,0.44313725490196076
102,95,89,29,6709081,27.69230769230768,0.12745098039215697,0.4
109,95,85,30,7167829,25.0,0.22018348623853212,0.42745098039215684
109,93,83,31,7167315,23.076923076923094,0.23853211009174305,0.42745098039215684
107,96,86,32,7037014,28.571428571428555,0.19626168224299062,0.4196078431372549
37,30,35,33,2432547,317.1428571428571,0.18918918918918926,0.1450980392156863
102,86,85,34,6706773,3.5294117647059124,0.16666666666666677,0.4
104,91,90,35,6839130,4.285714285714278,0.13461538461538455,0.40784313725490196
106,89,86,36,6969686,8.999999999999943,0.18867924528301885,0.41568627450980394
68,46,44,37,4468268,5.0,0.35294117647058826,0.26666666666666666
107,95,93,38,7036765,8.571428571428612,0.13084112149532717,0.4196078431372549
67,60,59,39,4406331,7.5,0.11940298507462686,0.2627450980392157
113,100,90,40,7431258,26.086956521739125,0.20353982300884946,0.44313725490196076
98,83,72,41,6443848,25.38461538461536,0.26530612244897966,0.3843137254901961
129,127,98,42,8486754,56.12903225806451,0.24031007751937977,0.5058823529411764
0,0,0,43,0,0,0,0.0
56,51,61,44,3683133,270.0,0.16393442622950818,0.23921568627450981
68,62,71,45,4472391,280.0,0.12676056338028174,0.2784313725490196
62,57,64,46,4077888,282.85714285714283,0.10937499999999994,0.25098039215686274
