r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
52,44,48,2,3419184,330.0,0.15384615384615385,0.20392156862745098
48,60,75,3,3161163,213.33333333333334,0.36000000000000004,0.29411764705882354
72,73,69,4,4737349,74.99999999999994,0.05479452054794521,0.28627450980392155
62,58,86,5,4078166,248.57142857142856,0.3255813953488373,0.33725490196078434
81,54,58,6,5322298,351.1111111111111,0.3333333333333333,0.3176470588235294
82,48,48,7,5386288,0.0,0.41463414634146345,0.3215686274509804
64,84,64,8,4215872,120.0,0.23809523809523808,0.32941176470588235
42,60,68,9,2767940,198.46153846153845,0.38235294117647056,0.26666666666666666
64,51,43,10,4207403,22.85714285714289,0.32812499999999994,0.25098039215686274
152,151,153,11,10000281,270.0,0.013071895424836555,0.6
170,169,164,12,11184548,50.0,0.0352941176470587,0.6666666666666666
146,147,138,13,9606026,66.66666666666664,0.061224489795918345,0.5764705882352941
119,104,96,14,7825504,20.86956521739131,0.19327731092436978,0.4666666666666667
83,64,80,15,5455952,309.4736842105263,0.22891566265060245,0.3254901960784314
42,35,49,16,2761521,270.0,0.2857142857142857,0.19215686274509805
1,1,2,17,65794,240.0,0.5,0.00784313725490196
71,75,89,18,4672345,226.66666666666666,0.2022471910112359,0.34901960784313724
101,104,119,19,6645879,230.0,0.15126050420168072,0.4666666666666667
126,111,119,20,8286071,328.0,0.11904761904761907,0.49411764705882355
110,100,100,21,7234660,0.0,0.09090909090909097,0.43137254901960786
105,88,95,22,6903903,335.2941176470588,0.16190476190476188,0.4117647058823529
159,165,169,23,10462633,203.99999999999994,0.05917159763313606,0.6627450980392157
95,82,80,24,6246992,8.0,0.15789473684210528,0.37254901960784315
123,101,100,25,8086884,2.6086956521738784,0.1869918699186992,0.4823529411764706
70,72,85,26,4606037,232.00000000000003,0.176470588235294,0.3333333333333333
97,83,93,27,6378333,317.14285714285717,0.14432989690721643,0.3803921568627451
82,73,71,28,5392711,10.909090909090878,0.13414634146341467,0.3215686274509804
52,54,60,29,3421756,225.0,0.13333333333333333,0.23529411764705882
140,122,125,30,9206397,350.00000000000006,0.12857142857142861,0.5490196078431373
111,92,92,31,7298140,0.0,0.1711711711711712,0.43529411764705883
101,102,103,32,6645351,209.99999999999977,0.019417475728155408,0.403921568627451
148,128,132,33,9732228,347.99999999999994,0.13513513513513523,0.5803921568627451
134,124,121,34,8813689,13.846153846153868,0.0970149253731344,0.5254901960784314
68,66,68,35,4473412,300.0,0.02941176470588225,0.26666666666666666
139,107,111,36,9137007,352.5,0.23021582733812943,0.5450980392156862
83,73,93,37,5458269,270.0,0.21505376344086022,0.36470588235294116
61,56,57,38,4012089,347.99999999999994,0.08196721311475415,0.23921568627450981
85,86,97,39,5592673,234.99999999999994,0.12371134020618557,0.3803921568627451
96,96,87,40,6316119,60.0,0.09374999999999996,0.3764705882352941
114,108,106,41,7498858,14.999999999999943,0.07017543859649122,0.4470588235294118
61,88,86,42,4020310,175.55555555555557,0.30681818181818177,0.34509803921568627
107,90,75,43,7035467,28.125,0.29906542056074764,0.4196078431372549
103,93,92,44,6774108,5.454545454545439,0.1067961165048544,0.403921568627451
35,58,67,45,2308675,196.875,0.47761194029850745,0.2627450980392157
86,83,89,46,5657433,270.00000000000006,0.06741573033707858,0.34901960784313724
