r,g,b,x,y,h,s,v
4,4,2,0,263170,60.0,0.5,0.01568627450980392
4,4,2,1,263170,60.0,0.5,0.01568627450980392
32,54,185,2,2111161,231.37254901960785,0.827027027027027,0.7254901960784313
66,84,205,3,4347085,232.23021582733813,0.6780487804878049,0.803921568627451
46,62,177,4,3030705,232.67175572519085,0.7401129943502824,0.6941176470588235
188,173,141,5,12365197,40.85106382978722,0.25,0.7372549019607844
3,2,1,6,197121,30.0,0.6666666666666666,0.011764705882352941
4,7,11,7,263947,214.28571428571428,0.6363636363636364,0.043137254901960784
63,64,63,8,4145215,120.0,0.015624999999999944,0.25098039215686274
94,73,92,9,6179164,305.7142857142857,0.22340425531914904,0.3686274509803922
63,53,69,10,4142405,277.5,0.2318840579710144,0.27058823529411763
66,73,96,11,4344160,226.00000000000003,0.31249999999999994,0.3764705882352941
45,78,97,12,2969185,201.9230769230769,0.5360824742268041,0.3803921568627451
41,83,96,13,2708320,194.1818181818182,0.5729166666666666,0.3764705882352941
56,73,85,14,3688789,204.82758620689657,0.34117647058823525,0.3333333333333333
90,81,74,15,5919050,26.249999999999943,0.17777777777777776,0.35294117647058826
23,16,26,16,1511450,282.0,0.38461538461538464,0.10196078431372549
45,41,68,17,2959684,248.88888888888889,0.3970588235294117,0.26666666666666666
27,28,52,18,1776692,237.6,0.4807692307692308,0.20392156862745098
15,20,27,19,988187,215.0,0.4444444444444444,0.10588235294117647
49,58,86,20,3226198,225.40540540540542,0.43023255813953487,0.33725490196078434
42,29,41,21,2759977,304.6153846153846,0.30952380952380953,0.16470588235294117
168,119,79,22,11040591,26.966292134831463,0.5297619047619048,0.6588235294117647
167,119,88,23,10975064,23.54430379746833,0.47305389221556887,0.6549019607843137
147,102,80,24,9659984,19.70149253731347,0.45578231292517,0.5764705882352941
146,89,72,25,9591112,13.783783783783804,0.5068493150684932,0.5725490196078431
142,98,68,26,9331268,24.324324324324323,0.5211267605633803,0.5568627450980392
83,54,47,27,5453359,11.666666666666686,0.43373493975903615,0.3254901960784314
80,51,49,28,5255985,3.8709677419354875,0.38749999999999996,0.3137254901960784
93,64,48,29,6111280,21.333333333333314,0.48387096774193544,0.36470588235294116
131,78,48,30,8605232,21.686746987951835,0.6335877862595419,0.5137254901960784
136,79,62,31,8933182,13.783783783783804,0.5441176470588235,0.5333333333333333
79,53,42,32,5190954,17.837837837837867,0.46835443037974683,0.30980392156862746
82,59,45,33,5389101,22.70270270270271,0.45121951219512196,0.3215686274509804
126,86,69,34,8279621,17.89473684210526,0.45238095238095244,0.49411764705882355
76,50,50,35,4993586,0.0,0.34210526315789475,0.2980392156862745
187,122,94,36,12286558,18.064516129032256,0.4973262032085561,0.7333333333333333
178,122,97,37,11696737,18.518518518518533,0.4550561797752809,0.6980392156862745
175,122,98,38,11500130,18.701298701298697,0.43999999999999995,0.6862745098039216
139,89,87,39,9132375,2.307692307692321,0.3741007194244604,0.5450980392156862
143,103,69,40,9398085,27.56756756756755,0.5174825174825175,0.5607843137254902
102,99,77,41,6710093,52.80000000000001,0.24509803921568638,0.4
134,100,80,42,8807504,22.22222222222223,0.4029850746268657,0.5254901960784314
114,82,70,43,7492166,16.363636363636374,0.38596491228070173,0.4470588235294118
109,106,97,44,7170657,45.00000000000006,0.11009174311926606,0.42745098039215684
88,58,56,45,5782072,3.75,0.36363636363636365,0.34509803921568627
156,87,63,46,10245951,15.48387096774195,0.5961538461538461,0.611764705882353
123,80,64,47,8081472,16.27118644067798,0.4796747967479675,0.4823529411764706
120,83,74,48,7885642,11.739130434782624,0.38333333333333325,0.47058823529411764
146,109,91,49,9596251,19.636363636363626,0.37671232876712324,0.5725490196078431
