r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
22,31,105,2,1449833,233.49397590361446,0.7904761904761904,0.4117647058823529
49,45,128,3,3222912,242.89156626506025,0.6484374999999999,0.5019607843137255
33,36,106,4,2172010,237.53424657534248,0.6886792452830188,0.41568627450980394
0,0,0,5,0,0,0,0.0
150,24,11,6,9836555,5.611510791366925,0.9266666666666667,0.5882352941176471
194,92,34,7,12737570,21.75,0.8247422680412372,0.7607843137254902
154,99,94,8,10117982,5.0,0.3896103896103895,0.6039215686274509
134,84,50,9,8803378,24.285714285714278,0.6268656716417911,0.5254901960784314
87,129,120,10,5734776,167.14285714285714,0.3255813953488372,0.5058823529411764
122,98,46,11,8020526,41.0526315789474,0.6229508196721312,0.47843137254901963
126,81,58,12,8278330,20.29411764705884,0.5396825396825398,0.49411764705882355
154,87,73,13,10114889,10.370370370370381,0.525974025974026,0.6039215686274509
159,113,104,14,10449256,9.818181818181813,0.3459119496855346,0.6235294117647059
104,97,90,15,6840666,30.0,0.13461538461538455,0.40784313725490196
150,115,95,16,9859935,21.818181818181813,0.3666666666666667,0.5882352941176471
96,81,76,17,6312268,15.0,0.20833333333333334,0.3764705882352941
138,104,76,18,9070668,27.096774193548413,0.4492753623188406,0.5411764705882353
118,66,37,19,7750181,21.481481481481467,0.6864406779661016,0.4627450980392157
83,69,84,20,5457236,296.0,0.1785714285714286,0.32941176470588235
119,105,111,21,7825775,334.2857142857143,0.11764705882352947,0.4666666666666667
145,88,47,22,9525295,25.102040816326507,0.6758620689655173,0.5686274509803921
66,63,94,23,4341598,245.80645161290323,0.3297872340425532,0.3686274509803922
76,83,122,24,5002106,230.8695652173913,0.3770491803278689,0.47843137254901963
88,83,69,25,5788485,44.21052631578948,0.21590909090909094,0.34509803921568627
76,74,94,26,4999774,245.99999999999997,0.21276595744680848,0.3686274509803922
68,58,53,27,4471349,20.0,0.22058823529411759,0.26666666666666666
114,107,94,28,7498590,39.0,0.17543859649122806,0.4470588235294118
0,0,0,29,0,0,0,0.0
95,39,42,30,6235946,356.7857142857143,0.5894736842105263,0.37254901960784315
84,40,42,31,5515306,357.27272727272725,0.5238095238095238,0.32941176470588235
82,40,42,32,5384234,357.14285714285717,0.5121951219512195,0.3215686274509804
104,48,53,33,6828085,354.64285714285717,0.5384615384615384,0.40784313725490196
107,50,51,34,7025203,358.9473684210526,0.5327102803738318,0.4196078431372549
96,57,42,35,6306090,16.666666666666686,0.5625,0.3764705882352941
75,35,34,36,4924194,1.4634146341463747,0.5466666666666666,0.29411764705882354
79,36,37,37,5186597,358.6046511627907,0.5443037974683544,0.30980392156862746
105,40,37,38,6891557,2.6470588235293917,0.6476190476190475,0.4117647058823529
86,28,22,39,5643286,5.625,0.7441860465116279,0.33725490196078434
91,105,101,40,5990757,162.85714285714286,0.13333333333333328,0.4117647058823529
92,72,62,41,6047806,20.0,0.32608695652173914,0.3607843137254902
90,38,21,42,5907989,14.782608695652186,0.7666666666666667,0.35294117647058826
61,44,40,43,4009000,11.428571428571445,0.34426229508196726,0.23921568627450981
113,100,88,44,7431256,28.80000000000001,0.22123893805309733,0.44313725490196076
73,82,76,45,4805196,140.0,0.10975609756097573,0.3215686274509804
25,45,60,46,1649980,205.71428571428572,0.5833333333333334,0.23529411764705882
