r,g,b,x,y,h,s,v
5,5,5,0,328965,0,0.0,0.0196078431372549
5,5,5,1,328965,0,0.0,0.0196078431372549
29,50,181,2,1913525,231.71052631578948,0.8397790055248618,0.7098039215686275
59,77,200,3,3886536,232.3404255319149,0.7050000000000001,0.7843137254901961
46,63,180,4,3030964,232.38805970149252,0.7444444444444445,0.7058823529411765
166,154,131,5,10918531,39.428571428571445,0.210843373493976,0.6509803921568628
14,64,112,6,934000,209.3877551020408,0.8749999999999999,0.4392156862745098
18,129,196,7,1212868,202.58426966292134,0.9081632653061225,0.7686274509803922
29,64,77,8,1917005,196.25,0.6233766233766234,0.30196078431372547
143,62,69,9,9387589,354.81481481481484,0.5664335664335663,0.5607843137254902
175,88,88,10,11491416,0.0,0.49714285714285716,0.6862745098039216
137,68,69,11,8995909,359.1304347826087,0.5036496350364963,0.5372549019607843
173,89,83,12,11360595,4.0,0.5202312138728323,0.6784313725490196
184,117,100,13,12088676,12.14285714285711,0.45652173913043476,0.7215686274509804
152,77,75,14,9981259,1.5584415584415297,0.506578947368421,0.596078431372549
158,85,84,15,10376532,0.8108108108108354,0.46835443037974683,0.6196078431372549
154,75,79,16,10111823,356.9620253164557,0.512987012987013,0.6039215686274509
171,77,84,17,11226452,355.531914893617,0.5497076023391813,0.6705882352941176
155,66,70,18,10175046,357.30337078651684,0.5741935483870967,0.6078431372549019
145,62,65,19,9518657,357.8313253012048,0.5724137931034482,0.5686274509803921
189,102,100,20,12412516,1.3483146067415532,0.47089947089947093,0.7411764705882353
160,65,76,21,10502476,353.05263157894734,0.59375,0.6274509803921569
109,74,68,22,7162436,8.780487804878078,0.37614678899082565,0.42745098039215684
27,61,61,23,1785149,180.0,0.5573770491803279,0.23921568627450981
19,42,47,24,1255983,190.71428571428572,0.5957446808510639,0.1843137254901961
39,44,45,25,2567213,190.00000000000003,0.13333333333333333,0.17647058823529413
151,104,62,26,9922622,28.314606741573016,0.5894039735099338,0.592156862745098
167,122,65,27,10975809,33.529411764705856,0.6107784431137725,0.6549019607843137
136,92,57,28,8936505,26.58227848101268,0.5808823529411765,0.5333333333333333
25,30,31,29,1646111,190.0,0.1935483870967742,0.12156862745098039
113,81,57,30,7426361,25.714285714285722,0.495575221238938,0.44313725490196076
123,94,65,31,8085057,30.0,0.47154471544715454,0.4823529411764706
127,91,62,32,8346430,26.769230769230774,0.5118110236220472,0.4980392156862745
90,81,61,33,5919037,41.37931034482756,0.32222222222222224,0.35294117647058826
107,82,60,34,7033404,28.085106382978722,0.4392523364485981,0.4196078431372549
113,83,55,35,7426871,28.965517241379303,0.5132743362831858,0.44313725490196076
