r,g,b,x,y,h,s,v
6,6,6,0,394758,0,0.0,0.023529411764705882
6,6,6,1,394758,0,0.0,0.023529411764705882
46,56,148,2,3029140,234.11764705882354,0.6891891891891891,0.5803921568627451
83,78,193,3,5459649,242.6086956521739,0.5958549222797928,0.7568627450980392
69,71,173,4,4540333,238.84615384615384,0.6011560693641619,0.6784313725490196
214,193,150,5,14074262,40.3125,0.29906542056074764,0.8392156862745098
6,6,6,6,394758,0,0.0,0.023529411764705882
42,70,69,7,2770501,177.85714285714283,0.4000000000000001,0.27450980392156865
234,183,153,8,15382425,22.22222222222223,0.34615384615384615,0.9176470588235294
26,28,33,9,1711137,222.85714285714286,0.2121212121212122,0.12941176470588237
33,38,37,10,2172453,168.00000000000003,0.13157894736842096,0.14901960784313725
79,68,74,11,5194826,327.27272727272725,0.13924050632911397,0.30980392156862746
56,61,76,12,3685708,225.0,0.2631578947368421,0.2980392156862745
18,19,17,13,1184529,90.0,0.10526315789473684,0.07450980392156863
19,17,20,14,1249556,280.0,0.15,0.0784313725490196
61,42,30,15,4008478,23.225806451612925,0.5081967213114754,0.23921568627450981
39,29,23,16,2563351,22.5,0.4102564102564103,0.15294117647058825
24,21,21,17,1578261,0.0,0.125,0.09411764705882353
30,26,29,18,1972765,315.0,0.13333333333333333,0.11764705882352941
54,45,45,19,3550509,0.0,0.1666666666666666,0.21176470588235294
132,74,50,20,8669746,17.5609756097561,0.6212121212121213,0.5176470588235295
118,83,72,21,7754568,14.347826086956502,0.3898305084745763,0.4627450980392157
148,159,191,22,9740223,224.6511627906977,0.22513089005235595,0.7490196078431373
25,22,35,23,1644067,253.84615384615384,0.3714285714285715,0.13725490196078433
65,36,31,24,4269087,8.823529411764696,0.523076923076923,0.2549019607843137
19,15,29,25,1249053,257.14285714285717,0.4827586206896552,0.11372549019607843
18,16,22,26,1183766,260.0,0.2727272727272727,0.08627450980392157
178,132,41,27,11699241,39.854014598540175,0.7696629213483146,0.6980392156862745
45,18,13,28,2953741,9.375,0.711111111111111,0.17647058823529413
85,29,15,29,5577999,12.0,0.8235294117647058,0.3333333333333333
18,13,27,30,1183003,261.42857142857144,0.5185185185185185,0.10588235294117647
15,14,33,31,986657,243.1578947368421,0.5757575757575758,0.12941176470588237
22,25,46,32,1448238,232.5,0.5217391304347826,0.1803921568627451
116,94,62,33,7626302,35.55555555555554,0.46551724137931033,0.4549019607843137
93,72,58,34,6113338,24.0,0.3763440860215054,0.36470588235294116
99,75,62,35,6507326,21.081081081081095,0.37373737373737376,0.38823529411764707
102,75,65,36,6703937,16.216216216216253,0.3627450980392158,0.4
108,56,61,37,7092285,354.2307692307692,0.48148148148148145,0.4235294117647059
96,60,51,38,6306867,12.0,0.46874999999999994,0.3764705882352941
159,106,81,39,10447441,19.230769230769226,0.4905660377358491,0.6235294117647059
168,106,79,40,11037263,18.202247191011224,0.5297619047619048,0.6588235294117647
111,67,44,41,7291692,20.597014925373117,0.6036036036036037,0.43529411764705883
125,75,55,42,8211255,17.142857142857167,0.5599999999999999,0.49019607843137253
169,118,88,43,11105880,22.22222222222223,0.47928994082840237,0.6627450980392157
141,124,114,44,9272434,22.22222222222223,0.19148936170212766,0.5529411764705883
144,101,71,45,9463111,24.657534246575324,0.5069444444444444,0.5647058823529412
124,77,53,46,8146229,20.281690140845058,0.5725806451612904,0.48627450980392156
108,86,77,47,7099981,17.419354838709694,0.2870370370370371,0.4235294117647059
102,85,74,48,6706506,23.571428571428555,0.2745098039215686,0.4
105,75,68,49,6900548,11.351351351351354,0.35238095238095235,0.4117647058823529
103,73,63,50,6768959,15.0,0.3883495145631068,0.403921568627451
83,92,94,51,5463134,190.90909090909093,0.11702127659574471,0.3686274509803922
110,111,106,52,7237482,71.99999999999997,0.045045045045045015,0.43529411764705883
122,164,191,53,8037567,203.47826086956522,0.3612565445026178,0.7490196078431373
118,115,123,54,7762811,262.5,0.06504065040650406,0.4823529411764706
121,98,98,55,7955042,0.0,0.1900826446280991,0.4745098039215686
100,79,73,56,6573897,13.333333333333371,0.27,0.39215686274509803
77,133,150,57,5080470,193.97260273972603,0.4866666666666667,0.5882352941176471
117,94,79,58,7691855,23.68421052631578,0.32478632478632474,0.4588235294117647
115,91,86,59,7560022,10.344827586206861,0.25217391304347825,0.45098039215686275
86,112,63,60,5664831,91.83673469387755,0.43749999999999994,0.4392156862745098
102,106,79,61,6711887,68.88888888888889,0.25471698113207547,0.41568627450980394
133,150,155,62,8754843,193.6363636363636,0.1419354838709676,0.6078431372549019
79,56,45,63,5191725,19.41176470588232,0.430379746835443,0.30980392156862746
86,59,52,64,5651252,12.352941176470608,0.39534883720930236,0.33725490196078434
101,72,59,65,6637627,18.571428571428555,0.41584158415841577,0.396078431372549
69,47,44,66,4534060,7.199999999999989,0.3623188405797101,0.27058823529411763
73,49,45,67,4796717,8.571428571428555,0.38356164383561636,0.28627450980392155
95,71,62,68,6244158,16.363636363636374,0.3473684210526316,0.37254901960784315
120,84,64,69,7885888,21.428571428571445,0.4666666666666667,0.47058823529411764
115,71,61,70,7554877,11.111111111111086,0.46956521739130436,0.45098039215686275
111,65,54,71,7291190,11.57894736842104,0.5135135135135135,0.43529411764705883
84,52,41,72,5518377,15.348837209302303,0.5119047619047619,0.32941176470588235
100,63,49,73,6569777,16.470588235294144,0.51,0.39215686274509803
101,62,48,74,6635056,15.84905660377359,0.5247524752475248,0.396078431372549
69,53,46,75,4535598,18.260869565217376,0.3333333333333333,0.27058823529411763
123,97,87,76,8085847,16.66666666666663,0.2926829268292683,0.4823529411764706
69,53,46,77,4535598,18.260869565217376,0.3333333333333333,0.27058823529411763
96,76,64,78,6310976,22.5,0.3333333333333333,0.3764705882352941
61,39,37,79,4007717,5.0,0.39344262295081966,0.23921568627450981
79,61,66,80,5193026,343.3333333333333,0.22784810126582278,0.30980392156862746
51,35,32,81,3351328,9.4736842105263,0.3725490196078432,0.2
29,16,12,82,1904652,14.117647058823536,0.5862068965517241,0.11372549019607843
67,44,51,83,4402227,341.7391304347826,0.3432835820895523,0.2627450980392157
74,50,54,84,4862518,350.0,0.3243243243243244,0.2901960784313726
26,15,11,85,1707787,16.0,0.5769230769230769,0.10196078431372549
55,30,14,86,3612174,23.414634146341484,0.7454545454545455,0.21568627450980393
42,26,27,87,2759195,356.25,0.38095238095238093,0.16470588235294117
39,27,29,88,2562845,350.0,0.30769230769230776,0.15294117647058825
16,12,12,89,1051660,0.0,0.25,0.06274509803921569
39,29,28,90,2563356,5.454545454545439,0.2820512820512821,0.15294117647058825
59,41,35,91,3877155,15.0,0.4067796610169491,0.23137254901960785
43,32,32,92,2826272,0.0,0.25581395348837216,0.16862745098039217
54,42,36,93,3549732,20.0,0.3333333333333333,0.21176470588235294
110,107,107,94,7236459,0.0,0.027272727272727303,0.43137254901960786
84,92,102,95,5528678,213.33333333333334,0.17647058823529418,0.4
54,67,60,96,3556156,147.69230769230768,0.1940298507462687,0.2627450980392157
69,76,65,97,4541505,98.18181818181819,0.1447368421052632,0.2980392156862745
49,93,90,98,3235162,175.90909090909093,0.47311827956989244,0.36470588235294116
52,72,76,99,3426380,190.0,0.3157894736842105,0.2980392156862745
41,52,53,100,2700341,185.0,0.22641509433962262,0.20784313725490197
43,59,63,101,2833215,192.0,0.31746031746031744,0.24705882352941178
59,71,64,102,3884864,144.99999999999997,0.16901408450704225,0.2784313725490196
39,67,55,103,2573111,154.28571428571428,0.417910447761194,0.2627450980392157
38,54,54,104,2504246,180.0,0.2962962962962963,0.21176470588235294
31,46,42,105,2043434,164.0,0.32608695652173914,0.1803921568627451
22,63,74,106,1457994,192.69230769230768,0.7027027027027027,0.2901960784313726
62,68,62,107,4080702,120.0,0.08823529411764706,0.26666666666666666
103,149,178,108,6788530,203.2,0.42134831460674155,0.6980392156862745
111,156,165,109,7314597,190.0,0.32727272727272727,0.6470588235294118
115,140,138,110,7572618,175.19999999999993,0.17857142857142863,0.5490196078431373
117,171,213,111,7711701,206.25,0.45070422535211274,0.8352941176470589
28,82,77,112,1856077,174.44444444444443,0.6585365853658537,0.3215686274509804
38,85,68,113,2512196,158.29787234042553,0.5529411764705883,0.3333333333333333
60,96,74,114,3956810,143.33333333333334,0.375,0.3764705882352941
38,58,31,115,2505247,104.44444444444444,0.46551724137931033,0.22745098039215686
45,51,44,116,2962220,111.4285714285714,0.13725490196078438,0.2
163,198,208,117,10733264,193.33333333333331,0.2163461538461539,0.8156862745098039
43,32,26,118,2826266,21.176470588235304,0.39534883720930236,0.16862745098039217
44,38,44,119,2893356,300.0,0.13636363636363635,0.17254901960784313
70,52,52,120,4600884,0.0,0.25714285714285723,0.27450980392156865
51,43,47,121,3353391,330.0,0.1568627450980392,0.2
111,85,71,122,7296327,21.0,0.36036036036036034,0.43529411764705883
71,56,52,123,4667444,12.631578947368439,0.26760563380281693,0.2784313725490196
70,52,47,124,4600879,13.043478260869563,0.32857142857142857,0.27450980392156865
79,59,48,125,5192496,21.29032258064518,0.3924050632911393,0.30980392156862746
76,57,46,126,4995374,22.0,0.39473684210526316,0.2980392156862745
75,54,48,127,4929072,13.333333333333314,0.36000000000000004,0.29411764705882354
82,62,53,128,5389877,18.620689655172384,0.3536585365853659,0.3215686274509804
98,69,58,129,6440250,16.5,0.4081632653061225,0.3843137254901961
97,67,58,130,6374202,13.846153846153868,0.40206185567010305,0.3803921568627451
133,92,79,131,8739919,14.444444444444457,0.406015037593985,0.5215686274509804
100,67,55,132,6570807,16.0,0.44999999999999996,0.39215686274509803
130,90,72,133,8542792,18.62068965517244,0.4461538461538461,0.5098039215686274
131,94,75,134,8609355,20.35714285714289,0.4274809160305343,0.5137254901960784
119,91,76,135,7822156,20.93023255813955,0.36134453781512604,0.4666666666666667
106,82,72,136,6967880,17.64705882352939,0.3207547169811321,0.41568627450980394
98,78,70,137,6442566,17.142857142857167,0.2857142857142857,0.3843137254901961
52,32,35,138,3416099,351.0,0.38461538461538464,0.20392156862745098
53,33,35,139,3481891,354.0,0.3773584905660377,0.20784313725490197
68,43,41,140,4467497,4.444444444444457,0.3970588235294117,0.26666666666666666
63,42,43,141,4139563,357.1428571428571,0.33333333333333337,0.24705882352941178
97,68,63,142,6374463,8.823529411764696,0.3505154639175257,0.3803921568627451
83,56,48,143,5453872,13.714285714285722,0.42168674698795183,0.3254901960784314
91,66,55,144,5980727,18.333333333333314,0.3956043956043956,0.3568627450980392
90,66,56,145,5915192,17.64705882352939,0.3777777777777778,0.35294117647058826
83,62,56,146,5455416,13.333333333333314,0.32530120481927716,0.3254901960784314
139,123,104,147,9141096,32.57142857142861,0.25179856115107907,0.5450980392156862
110,121,73,148,7240009,73.74999999999999,0.39669421487603307,0.4745098039215686
93,69,52,149,6112564,24.878048780487802,0.44086021505376344,0.36470588235294116
64,59,53,150,4209461,32.72727272727275,0.17187499999999994,0.25098039215686274
83,64,54,151,5455926,20.68965517241378,0.3493975903614458,0.3254901960784314
107,87,85,152,7034709,5.454545454545496,0.20560747663551407,0.4196078431372549
68,51,48,153,4469552,9.0,0.29411764705882354,0.26666666666666666
76,56,54,154,4995126,5.454545454545439,0.2894736842105263,0.2980392156862745
65,52,55,155,4273207,346.15384615384613,0.19999999999999996,0.2549019607843137
42,38,41,156,2762281,314.99999999999994,0.09523809523809523,0.16470588235294117
55,41,45,157,3615021,342.85714285714283,0.2545454545454545,0.21568627450980393
71,48,48,158,4665392,0.0,0.323943661971831,0.2784313725490196
79,62,59,159,5193275,9.0,0.2531645569620253,0.30980392156862746
80,63,59,160,5259067,11.428571428571445,0.26249999999999996,0.3137254901960784
82,60,58,161,5389370,5.0,0.29268292682926833,0.3215686274509804
88,67,64,162,5784384,7.5,0.2727272727272727,0.34509803921568627
146,131,135,163,9601927,343.99999999999994,0.1027397260273973,0.5725490196078431
68,44,45,164,4467757,357.5,0.35294117647058826,0.26666666666666666
75,57,62,165,4929854,343.33333333333337,0.24,0.29411764705882354
76,59,60,166,4995900,356.47058823529414,0.22368421052631574,0.2980392156862745
70,54,52,167,4601396,6.666666666666686,0.25714285714285723,0.27450980392156865
92,68,66,168,6046786,4.615384615384585,0.28260869565217384,0.3607843137254902
89,67,66,169,5849922,2.6086956521738784,0.25842696629213474,0.34901960784313724
112,85,72,170,7361864,19.5,0.35714285714285715,0.4392156862745098
109,80,83,171,7163987,353.7931034482759,0.2660550458715596,0.42745098039215684
105,76,76,172,6900812,0.0,0.27619047619047615,0.4117647058823529
128,95,78,173,8413006,20.399999999999977,0.39062499999999994,0.5019607843137255
103,74,78,174,6769230,351.7241379310345,0.28155339805825236,0.403921568627451
70,51,47,175,4600623,10.434782608695627,0.32857142857142857,0.27450980392156865
114,81,69,176,7491909,16.0,0.3947368421052632,0.4470588235294118
89,66,61,177,5849661,10.714285714285722,0.31460674157303364,0.34901960784313724
125,82,74,178,8213066,9.411764705882376,0.4079999999999999,0.49019607843137253
102,76,58,179,6704186,24.54545454545456,0.43137254901960786,0.4
110,82,64,180,7230016,23.478260869565247,0.4181818181818182,0.43137254901960786
87,62,52,181,5717556,17.142857142857167,0.40229885057471265,0.3411764705882353
140,132,113,182,9208945,42.22222222222223,0.19285714285714298,0.5490196078431373
92,109,74,183,6057290,89.14285714285714,0.32110091743119257,0.42745098039215684
112,97,100,184,7364964,348.0,0.13392857142857145,0.4392156862745098
110,98,104,185,7234152,330.00000000000006,0.10909090909090909,0.43137254901960786
113,119,82,186,7436114,69.72972972972974,0.3109243697478991,0.4666666666666667
98,104,81,187,6449233,75.65217391304346,0.2211538461538462,0.40784313725490196
122,139,63,188,8031039,73.42105263157893,0.5467625899280575,0.5450980392156862
109,105,68,189,7170372,54.146341463414615,0.37614678899082565,0.42745098039215684
103,131,73,190,6783817,88.9655172413793,0.4427480916030534,0.5137254901960784
105,126,78,191,6913614,86.25000000000001,0.38095238095238093,0.49411764705882355
77,87,43,192,5068587,73.63636363636365,0.5057471264367815,0.3411764705882353
