r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
18,45,112,2,1191280,222.7659574468085,0.8392857142857143,0.4392156862745098
22,37,79,3,1451343,224.21052631578948,0.7215189873417721,0.30980392156862746
39,59,98,4,2571106,219.66101694915255,0.6020408163265306,0.3843137254901961
29,45,88,5,1912152,223.72881355932202,0.6704545454545455,0.34509803921568627
185,176,159,6,12169375,39.230769230769226,0.1405405405405405,0.7254901960784313
3,18,63,7,201279,225.0,0.9523809523809523,0.24705882352941178
9,22,73,8,595529,227.8125,0.8767123287671234,0.28627450980392155
62,97,163,9,4088227,219.20792079207922,0.6196319018404908,0.6392156862745098
51,43,97,10,3353441,248.88888888888889,0.556701030927835,0.3803921568627451
49,39,88,11,3221336,252.24489795918367,0.5568181818181818,0.34509803921568627
57,32,64,12,3743808,286.875,0.5,0.25098039215686274
45,28,49,13,2956337,288.57142857142856,0.4285714285714286,0.19215686274509805
71,48,91,14,4665435,272.09302325581393,0.47252747252747257,0.3568627450980392
96,54,85,15,6305365,315.7142857142857,0.4375,0.3764705882352941
69,38,73,16,4531785,293.1428571428571,0.4794520547945205,0.28627450980392155
26,16,44,17,1708076,261.42857142857144,0.6363636363636364,0.17254901960784313
12,16,44,18,790572,232.5,0.7272727272727273,0.17254901960784313
15,23,48,19,988976,225.45454545454544,0.6874999999999999,0.18823529411764706
24,33,33,20,1581345,180.0,0.2727272727272728,0.12941176470588237
4,43,80,21,273232,209.21052631578948,0.95,0.3137254901960784
10,19,27,22,660251,208.23529411764707,0.6296296296296297,0.10588235294117647
21,17,61,23,1380669,245.45454545454547,0.721311475409836,0.23921568627450981
32,27,60,24,2104124,249.0909090909091,0.5499999999999999,0.23529411764705882
31,26,81,25,2038353,245.45454545454547,0.6790123456790124,0.3176470588235294
32,23,58,26,2103098,255.42857142857142,0.6034482758620691,0.22745098039215686
39,46,80,27,2567760,229.7560975609756,0.5125,0.3137254901960784
7,12,37,28,461861,230.0,0.8108108108108109,0.1450980392156863
33,42,87,29,2173527,230.0,0.6206896551724138,0.3411764705882353
35,46,95,30,2305631,229.0,0.631578947368421,0.37254901960784315
45,58,102,31,2964070,226.31578947368422,0.5588235294117647,0.4
46,64,112,32,3031152,223.63636363636363,0.5892857142857142,0.4392156862745098
60,71,164,33,3950500,233.65384615384616,0.6341463414634146,0.6431372549019608
47,55,132,34,3094404,234.35294117647058,0.6439393939393939,0.5176470588235295
37,43,87,35,2435927,232.8,0.5747126436781609,0.3411764705882353
8,8,10,36,526346,240.0,0.2,0.0392156862745098
12,28,47,37,793647,212.57142857142858,0.7446808510638298,0.1843137254901961
14,26,31,38,924191,197.6470588235294,0.5483870967741935,0.12156862745098039
14,17,32,39,921888,230.0,0.5625,0.12549019607843137
18,26,43,40,1186347,220.8,0.5813953488372093,0.16862745098039217
23,25,43,41,1513771,234.0,0.4651162790697675,0.16862745098039217
19,26,41,42,1251881,220.9090909090909,0.5365853658536586,0.1607843137254902
25,31,47,43,1646383,223.63636363636363,0.4680851063829788,0.1843137254901961
35,38,70,44,2303558,234.85714285714286,0.5,0.27450980392156865
39,40,72,45,2566216,238.1818181818182,0.45833333333333326,0.2823529411764706
32,34,56,46,2105912,235.0,0.42857142857142855,0.2196078431372549
