r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
24,45,104,2,1584488,224.25,0.7692307692307693,0.40784313725490196
48,66,112,3,3162736,223.125,0.5714285714285714,0.4392156862745098
28,45,89,4,1846617,223.27868852459017,0.6853932584269663,0.34901960784313724
230,194,130,5,15123074,38.39999999999998,0.4347826086956522,0.9019607843137255
0,0,0,6,0,0,0,0.0
61,97,150,7,4022678,215.7303370786517,0.5933333333333333,0.5882352941176471
74,162,130,8,4891266,158.1818181818182,0.5432098765432098,0.6352941176470588
62,129,138,9,4096394,187.10526315789474,0.5507246376811593,0.5411764705882353
67,74,136,10,4409992,233.91304347826087,0.5073529411764706,0.5333333333333333
90,151,205,11,5937101,208.17391304347825,0.5609756097560975,0.803921568627451
44,84,44,12,2905132,120.0,0.47619047619047616,0.32941176470588235
11,21,4,13,726276,95.29411764705883,0.8095238095238095,0.08235294117647059
29,61,22,14,1916182,109.23076923076923,0.639344262295082,0.23921568627450981
39,79,15,15,2576143,97.5,0.810126582278481,0.30980392156862746
113,144,164,16,7442596,203.52941176470588,0.3109756097560976,0.6431372549019608
132,162,197,17,8692421,212.30769230769232,0.3299492385786802,0.7725490196078432
71,59,72,18,4668232,295.3846153846154,0.1805555555555555,0.2823529411764706
41,40,45,19,2697261,252.00000000000003,0.11111111111111117,0.17647058823529413
40,36,56,20,2630712,252.0,0.35714285714285715,0.2196078431372549
58,52,49,21,3814449,20.0,0.1551724137931034,0.22745098039215686
141,99,64,22,9265984,27.272727272727252,0.5460992907801419,0.5529411764705883
90,58,39,23,5913127,22.35294117647061,0.5666666666666667,0.35294117647058826
142,100,65,24,9331777,27.272727272727252,0.5422535211267606,0.5568627450980392
109,65,40,25,7160104,21.739130434782624,0.6330275229357798,0.42745098039215684
145,89,56,26,9525560,22.24719101123594,0.6137931034482759,0.5686274509803921
88,53,30,27,5780766,23.793103448275872,0.6590909090909091,0.34509803921568627
53,27,12,28,3480332,21.95121951219511,0.7735849056603774,0.20784313725490197
119,157,139,29,7839115,151.578947368421,0.24203821656050958,0.615686274509804
164,184,185,30,10795193,182.85714285714283,0.11351351351351342,0.7254901960784313
128,113,98,31,8417634,30.0,0.23437499999999994,0.5019607843137255
55,76,15,32,3623951,80.65573770491804,0.8026315789473684,0.2980392156862745
122,129,108,33,8028524,79.99999999999997,0.1627906976744186,0.5058823529411764
184,175,169,34,12103593,24.0,0.0815217391304348,0.7215686274509804
98,157,157,35,6462877,180.0,0.375796178343949,0.615686274509804
168,187,171,36,11058091,129.4736842105263,0.10160427807486626,0.7333333333333333
163,170,141,37,10726029,74.48275862068968,0.17058823529411754,0.6666666666666666
161,192,168,38,10600616,133.5483870967742,0.16145833333333334,0.7529411764705882
104,158,159,39,6856351,181.0909090909091,0.3459119496855346,0.6235294117647059
94,189,193,40,6208961,182.4242424242424,0.5129533678756476,0.7568627450980392
131,190,192,41,8634048,181.9672131147541,0.31770833333333337,0.7529411764705882
60,141,142,42,3968398,180.7317073170732,0.5774647887323944,0.5568627450980392
151,145,135,43,9933191,37.5,0.10596026490066225,0.592156862745098
159,172,174,44,10464430,187.99999999999997,0.08620689655172416,0.6823529411764706
168,184,183,45,11057335,176.25,0.08695652173913043,0.7215686274509804
99,64,51,46,6504499,16.25,0.4848484848484848,0.38823529411764707
