r,g,b,x,y,h,s,v
0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,0.0
23,42,103,2,1518183,225.75,0.7766990291262136,0.403921568627451
47,64,113,3,3096689,224.54545454545456,0.5840707964601769,0.44313725490196076
27,43,89,4,1780569,224.51612903225805,0.696629213483146,0.34901960784313724
235,207,150,5,15454102,40.23529411764707,0.36170212765957444,0.9215686274509803
0,0,0,6,0,0,0,0.0
12,34,28,7,795164,163.63636363636363,0.6470588235294118,0.13333333333333333
3,13,24,8,199960,211.42857142857144,0.875,0.09411764705882353
3,15,28,9,200476,211.2,0.8928571428571429,0.10980392156862745
52,35,37,10,3416869,352.94117647058823,0.32692307692307687,0.20392156862745098
32,17,16,11,2101520,3.75,0.5,0.12549019607843137
43,33,45,12,2826541,290.0,0.26666666666666666,0.17647058823529413
43,34,46,13,2826798,285.0,0.2608695652173913,0.1803921568627451
35,31,46,14,2301742,256.0,0.32608695652173914,0.1803921568627451
38,39,57,15,2500409,236.8421052631579,0.33333333333333337,0.2235294117647059
35,31,44,16,2301740,258.46153846153845,0.29545454545454547,0.17254901960784313
34,18,18,17,2232850,0.0,0.47058823529411764,0.13333333333333333
35,19,12,18,2298636,18.260869565217376,0.6571428571428571,0.13725490196078433
50,36,37,19,3286053,355.7142857142857,0.28,0.19607843137254902
34,19,18,20,2233106,3.75,0.47058823529411764,0.13333333333333333
154,123,123,21,10124155,0.0,0.20129870129870123,0.6039215686274509
170,144,130,22,11178114,21.0,0.23529411764705882,0.6666666666666666
134,115,101,23,8811365,25.45454545454544,0.24626865671641798,0.5254901960784314
148,125,134,24,9731462,336.52173913043475,0.1554054054054055,0.5803921568627451
139,105,123,25,9136507,328.235294117647,0.24460431654676257,0.5450980392156862
168,122,145,26,11041425,330.0,0.2738095238095238,0.6588235294117647
128,115,117,27,8418165,350.7692307692308,0.10156249999999997,0.5019607843137255
165,147,150,28,10851222,349.99999999999994,0.10909090909090921,0.6470588235294118
131,125,146,29,8617362,257.1428571428571,0.14383561643835616,0.5725490196078431
131,121,140,30,8616332,271.578947368421,0.13571428571428581,0.5490196078431373
148,134,150,31,9733782,292.5,0.10666666666666666,0.5882352941176471
120,102,114,32,7890546,320.0,0.14999999999999994,0.47058823529411764
153,99,85,33,10052437,12.352941176470608,0.4444444444444445,0.6
146,126,131,34,9600643,345.00000000000006,0.13698630136986292,0.5725490196078431
145,125,129,35,9534849,348.0,0.13793103448275862,0.5686274509803921
83,97,112,36,5464432,211.0344827586207,0.2589285714285714,0.4392156862745098
64,83,94,37,4215646,202.0,0.31914893617021284,0.3686274509803922
191,129,93,38,12550493,22.040816326530603,0.5130890052356021,0.7490196078431373
34,43,58,39,2239290,217.5,0.41379310344827586,0.22745098039215686
66,47,32,40,4337440,26.470588235294144,0.5151515151515152,0.25882352941176473
88,115,133,41,5796741,204.0,0.33834586466165417,0.5215686274509804
9,10,15,42,592399,230.0,0.4,0.058823529411764705
136,126,163,43,8945315,256.2162162162162,0.22699386503067476,0.6392156862745098
37,24,12,44,2430988,28.80000000000001,0.6756756756756757,0.1450980392156863
102,138,118,45,6720118,146.66666666666669,0.26086956521739124,0.5411764705882353
56,79,118,46,3690358,217.74193548387098,0.5254237288135594,0.4627450980392157
53,82,127,47,3494527,216.48648648648648,0.5826771653543307,0.4980392156862745
