source,target,picId
10,12,1
10,11,1
10,15,1
10,7,1
10,8,1
10,19,1
10,23,1
10,17,1
10,6,1
11,15,2
11,12,2
11,22,2
11,8,2
11,19,2
11,23,2
11,17,2
10,12,3
10,2,3
10,9,3
10,15,3
10,8,3
10,19,3
10,0,3
10,23,3
10,14,3
16,0,4
16,3,4
16,13,4
16,11,4
16,9,4
16,7,4
10,15,5
10,11,5
10,2,5
10,8,5
10,0,5
10,5,5
10,3,5
20,2,6
20,22,6
20,16,6
20,15,6
20,9,6
20,8,6
20,17,6
20,5,6
20,14,6
10,18,7
10,13,7
10,11,7
10,1,7
10,9,7
10,8,7
10,23,7
10,14,7
10,3,7
20,10,8
20,12,8
20,11,8
20,21,8
20,15,8
20,8,8
20,19,8
20,3,8
18,11,9
18,22,9
18,9,9
18,1,9
18,7,9
18,2,9
18,16,9
18,14,9
18,3,9
11,12,10
11,22,10
11,2,10
11,9,10
11,7,10
11,1,10
11,5,10
11,3,10
12,11,11
12,22,11
12,1,11
12,7,11
12,0,11
12,23,11
12,14,11
12,3,11
12,6,11
12,11,12
12,22,12
12,16,12
12,15,12
12,0,12
12,19,12
12,23,12
12,3,12
15,19,13
15,23,13
15,22,13
15,0,13
15,7,13
15,3,13
3,10,14
3,12,14
3,11,14
3,22,14
3,9,14
3,8,14
3,0,14
3,4,14
0,11,15
0,22,15
0,16,15
0,1,15
0,15,15
0,7,15
0,19,15
0,5,15
3,11,16
3,2,16
3,16,16
3,22,16
3,7,16
3,9,16
3,19,16
3,0,16
15,13,17
15,11,17
15,22,17
15,16,17
15,2,17
15,0,17
15,4,17
15,3,17
10,12,18
10,11,18
10,2,18
10,1,18
10,16,18
10,8,18
10,0,18
10,5,18
10,3,18
11,9,19
11,15,19
11,0,19
11,7,19
11,8,19
11,19,19
11,23,19
11,3,19
11,6,19
11,22,20
11,16,20
11,15,20
11,7,20
11,19,20
11,0,20
11,23,20
11,3,20
19,11,21
19,22,21
19,1,21
19,15,21
19,23,21
19,20,21
19,3,21
19,6,21
7,12,22
7,21,22
7,9,22
7,2,22
7,8,22
7,23,22
7,17,22
7,6,22
22,5,23
22,12,23
22,11,23
22,1,23
22,2,23
22,17,23
22,3,23
7,5,24
7,9,24
7,15,24
7,23,24
7,4,24
7,17,24
7,3,24
7,6,24
19,22,25
19,9,25
19,15,25
19,8,25
19,20,25
19,17,25
19,3,25
10,13,26
10,20,26
10,11,26
10,2,26
10,1,26
10,4,26
10,5,26
10,14,26
10,3,26
10,11,27
10,22,27
10,16,27
10,7,27
10,15,27
10,0,27
10,8,27
10,19,27
10,23,27
11,10,28
11,2,28
11,9,28
11,1,28
11,22,28
11,0,28
11,5,28
11,3,28
22,12,29
22,11,29
22,1,29
22,2,29
22,16,29
22,0,29
22,14,29
22,3,29
1,4,30
1,13,30
1,2,30
1,19,30
1,23,30
1,5,30
1,3,30
3,22,31
3,1,31
3,7,31
3,8,31
3,14,31
3,5,31
3,17,31
3,6,31
2,12,32
2,13,32
2,5,32
2,1,32
2,22,32
2,7,32
2,17,32
2,6,32
3,18,33
3,5,33
3,1,33
3,9,33
3,7,33
3,8,33
3,4,33
3,17,33
2,13,34
2,9,34
2,16,34
2,15,34
2,8,34
2,0,34
2,20,34
2,6,34
18,14,35
18,5,35
18,11,35
18,2,35
18,1,35
18,4,35
18,21,35
18,17,35
18,3,35
13,2,36
13,9,36
13,1,36
13,16,36
13,8,36
13,17,36
13,14,36
13,3,36
13,6,36
2,10,37
2,11,37
2,1,37
2,16,37
2,8,37
2,17,37
2,14,37
2,3,37
7,12,38
7,22,38
7,1,38
7,15,38
7,20,38
7,14,38
7,3,38
7,6,38
10,14,39
10,11,39
10,2,39
10,15,39
10,4,39
10,20,39
10,3,39
3,20,40
3,11,40
3,22,40
3,9,40
3,16,40
3,1,40
3,8,40
3,17,40
23,18,41
23,20,41
23,11,41
23,16,41
23,1,41
23,7,41
23,19,41
23,5,41
12,13,42
12,2,42
12,15,42
12,7,42
12,8,42
12,17,42
12,14,42
12,3,42
12,6,42
10,13,43
10,11,43
10,22,43
10,1,43
10,16,43
10,7,43
10,8,43
10,4,43
10,20,43
18,20,44
18,5,44
18,16,44
18,1,44
18,8,44
18,19,44
18,17,44
18,3,44
13,22,45
13,1,45
13,9,45
13,7,45
13,16,45
13,19,45
13,23,45
13,17,45
13,3,45
11,13,46
11,2,46
11,9,46
11,22,46
11,15,46
11,16,46
11,20,46
11,14,46
12,18,47
12,22,47
12,2,47
12,21,47
12,15,47
12,7,47
12,20,47
12,17,47
12,3,47
15,12,48
15,8,48
15,19,48
15,23,48
15,14,48
15,21,48
15,17,48
15,6,48
18,22,49
18,2,49
18,9,49
18,16,49
18,1,49
18,7,49
18,8,49
18,23,49
18,4,49
