source,target,picId
8,6,1
8,14,1
8,4,1
8,3,1
8,5,1
8,1,1
8,12,1
8,16,1
18,13,2
18,6,2
18,7,2
18,3,2
18,1,2
18,12,2
18,21,2
9,7,3
9,14,3
9,3,3
9,1,3
9,18,3
9,12,3
9,21,3
9,22,3
9,17,3
20,0,4
20,3,4
20,11,4
20,14,4
20,8,4
20,13,4
5,22,5
5,9,5
5,0,5
5,3,5
5,18,5
5,13,5
5,15,5
15,9,6
15,6,6
15,20,6
15,2,6
15,0,6
15,5,6
15,18,6
15,17,6
11,23,7
11,2,7
11,5,7
11,15,7
11,1,7
11,13,7
11,21,7
11,16,7
11,22,7
0,19,8
0,23,8
0,5,8
0,1,8
0,12,8
0,13,8
0,15,8
0,22,8
9,10,9
9,7,9
9,20,9
9,14,9
9,3,9
9,8,9
9,5,9
9,18,9
9,13,9
9,6,10
9,23,10
9,14,10
9,8,10
9,5,10
9,18,10
9,12,10
9,13,10
9,15,10
7,0,11
7,3,11
7,4,11
7,8,11
7,5,11
7,12,11
7,13,11
7,21,11
7,17,11
12,7,12
12,0,12
12,3,12
12,5,12
12,1,12
12,13,12
12,21,12
5,1,13
5,21,13
5,0,13
5,3,13
5,8,13
5,15,13
23,12,14
23,7,14
23,2,14
23,0,14
23,13,14
23,15,14
23,22,14
5,6,15
5,20,15
5,0,15
5,8,15
5,1,15
5,18,15
5,13,15
5,15,15
3,9,16
3,20,16
3,2,16
3,0,16
3,8,16
3,1,16
3,13,16
3,15,16
5,9,17
5,11,17
5,7,17
5,2,17
5,0,17
5,3,17
5,13,17
5,21,17
9,23,18
9,20,18
9,0,18
9,5,18
9,18,18
9,12,18
9,13,18
9,15,18
9,22,18
23,2,19
23,0,19
23,4,19
23,8,19
23,5,19
23,1,19
23,13,19
23,21,19
23,15,19
13,23,20
13,7,20
13,20,20
13,0,20
13,8,20
13,5,20
13,1,20
13,21,20
1,23,21
1,20,21
1,0,21
1,5,21
1,18,21
1,13,21
1,21,21
1,15,21
8,9,22
8,19,22
8,6,22
8,14,22
8,4,22
8,3,22
8,12,22
8,21,22
7,18,23
7,9,23
7,6,23
7,3,23
7,5,23
7,12,23
7,13,23
8,23,24
8,6,24
8,2,24
8,4,24
8,14,24
8,5,24
8,18,24
8,21,24
3,1,25
3,6,25
3,7,25
3,14,25
3,0,25
3,5,25
3,16,25
17,9,26
17,11,26
17,23,26
17,20,26
17,0,26
17,5,26
17,18,26
17,13,26
7,20,27
7,0,27
7,3,27
7,8,27
7,1,27
7,5,27
7,13,27
7,21,27
7,16,27
13,9,28
13,23,28
13,7,28
13,14,28
13,0,28
13,5,28
13,18,28
13,22,28
5,9,29
5,23,29
5,7,29
5,20,29
5,0,29
5,18,29
5,12,29
5,13,29
2,9,30
2,11,30
2,7,30
2,14,30
2,3,30
2,5,30
2,18,30
2,21,30
6,23,31
6,7,31
6,4,31
6,3,31
6,8,31
6,5,31
6,18,31
6,15,31
6,17,31
9,11,32
9,6,32
9,7,32
9,4,32
9,8,32
9,5,32
9,18,32
9,12,32
23,10,33
23,6,33
23,2,33
23,14,33
23,8,33
23,5,33
23,18,33
23,15,33
9,11,34
9,6,34
9,20,34
9,4,34
9,0,34
9,5,34
9,13,34
9,15,34
19,10,35
19,6,35
19,2,35
19,3,35
19,5,35
19,18,35
19,13,35
19,21,35
19,17,35
11,23,36
11,6,36
11,20,36
11,4,36
11,5,36
11,13,36
11,21,36
11,15,36
11,17,36
9,6,37
9,23,37
9,20,37
9,8,37
9,5,37
9,13,37
9,15,37
9,22,37
9,17,37
5,23,38
5,7,38
5,4,38
5,0,38
5,8,38
5,12,38
5,21,38
5,17,38
17,9,39
17,20,39
17,0,39
17,3,39
17,5,39
17,18,39
17,13,39
17,16,39
23,13,40
23,15,40
23,20,40
23,2,40
23,0,40
23,5,40
21,10,41
21,20,41
21,0,41
21,8,41
21,5,41
21,1,41
21,18,41
21,13,41
11,6,42
11,23,42
11,4,42
11,8,42
11,1,42
11,5,42
11,12,42
11,21,42
11,15,42
11,7,43
11,20,43
11,0,43
11,3,43
11,8,43
11,5,43
11,12,43
11,15,43
11,22,43
10,9,44
10,6,44
10,23,44
10,20,44
10,0,44
10,5,44
10,1,44
10,15,44
14,11,45
14,6,45
14,20,45
14,3,45
14,8,45
14,5,45
14,1,45
14,15,45
11,14,46
11,0,46
11,8,46
11,5,46
11,12,46
11,13,46
11,21,46
11,15,46
11,17,46
12,9,47
12,19,47
12,10,47
12,23,47
12,0,47
12,8,47
12,5,47
12,15,47
6,5,48
6,19,48
6,4,48
6,1,48
6,21,48
6,15,48
6,17,48
2,21,49
2,10,49
2,7,49
2,20,49
2,3,49
2,8,49
2,5,49
